site_id,lon,lat
1,105,20.4
2,105,22.2
3,105,24
4,105,25.8
5,105,27.6
6,105,29.4
7,105,31.2
8,105,33
9,105,34.8
10,105,36.6
11,105,38.4
12,105,40.2
13,105,42
14,106.6,20.4
15,106.6,22.2
16,106.6,24
17,106.6,25.8
18,106.6,27.6
19,106.6,29.4
20,106.6,31.2
21,106.6,33
22,106.6,34.8
23,106.6,36.6
24,106.6,38.4
25,106.6,40.2
26,106.6,42
27,108.2,22.2
28,108.2,24
29,108.2,25.8
30,108.2,27.6
31,108.2,29.4
32,108.2,31.2
33,108.2,33
34,108.2,34.8
35,108.2,36.6
36,108.2,38.4
37,108.2,40.2
38,108.2,42
39,109.8,22.2
40,109.8,24
41,109.8,25.8
42,109.8,27.6
43,109.8,29.4
44,109.8,31.2
45,109.8,33
46,109.8,34.8
47,109.8,36.6
48,109.8,38.4
49,109.8,40.2
50,109.8,42
51,111.4,22.2
52,111.4,24
53,111.4,25.8
54,111.4,27.6
55,111.4,29.4
56,111.4,31.2
57,111.4,33
58,111.4,34.8
59,111.4,36.6
60,111.4,38.4
61,111.4,40.2
62,111.4,42
63,113,22.2
64,113,24
65,113,25.8
66,113,27.6
67,113,29.4
68,113,31.2
69,113,33
70,113,34.8
71,113,36.6
72,113,38.4
73,113,40.2
74,113,42
75,114.6,24
76,114.6,25.8
77,114.6,27.6
78,114.6,29.4
79,114.6,31.2
80,114.6,33
81,114.6,34.8
82,114.6,36.6
83,114.6,38.4
84,114.6,40.2
85,114.6,42
86,116.2,24
87,116.2,25.8
88,116.2,27.6
89,116.2,29.4
90,116.2,31.2
91,116.2,33
92,116.2,34.8
93,116.2,36.6
94,116.2,38.4
95,116.2,40.2
96,116.2,42
97,117.8,25.8
98,117.8,27.6
99,117.8,29.4
100,117.8,31.2
101,117.8,33
102,117.8,34.8
103,117.8,36.6
104,117.8,40.2
105,117.8,42
106,119.4,25.8
107,119.4,27.6
108,119.4,29.4
109,119.4,31.2
110,119.4,33
111,119.4,36.6
112,119.4,40.2
113,119.4,42
114,121,24
115,121,29.4
116,121,31.2
117,121,42
118,122.6,40.2
119,122.6,42
120,124.2,40.2
121,124.2,42
