dense_site_id,lon,lat,original_site_id,is_original_site
1,105,20.4,1,TRUE
2,105,21.3,,FALSE
3,105,22.2,2,TRUE
4,105,23.1,,FALSE
5,105,24,3,TRUE
6,105,24.9,,FALSE
7,105,25.8,4,TRUE
8,105,26.7,,FALSE
9,105,27.6,5,TRUE
10,105,28.5,,FALSE
11,105,29.4,6,TRUE
12,105,30.3,,FALSE
13,105,31.2,7,TRUE
14,105,32.1,,FALSE
15,105,33,8,TRUE
16,105,33.9,,FALSE
17,105,34.8,9,TRUE
18,105,35.7,,FALSE
19,105,36.6,10,TRUE
20,105,37.5,,FALSE
21,105,38.4,11,TRUE
22,105,39.3,,FALSE
23,105,40.2,12,TRUE
24,105,41.1,,FALSE
25,105,42,13,TRUE
26,105.8,20.4,,FALSE
27,105.8,21.3,,FALSE
28,105.8,22.2,,FALSE
29,105.8,23.1,,FALSE
30,105.8,24,,FALSE
31,105.8,24.9,,FALSE
32,105.8,25.8,,FALSE
33,105.8,26.7,,FALSE
34,105.8,27.6,,FALSE
35,105.8,28.5,,FALSE
36,105.8,29.4,,FALSE
37,105.8,30.3,,FALSE
38,105.8,31.2,,FALSE
39,105.8,32.1,,FALSE
40,105.8,33,,FALSE
41,105.8,33.9,,FALSE
42,105.8,34.8,,FALSE
43,105.8,35.7,,FALSE
44,105.8,36.6,,FALSE
45,105.8,37.5,,FALSE
46,105.8,38.4,,FALSE
47,105.8,39.3,,FALSE
48,105.8,40.2,,FALSE
49,105.8,41.1,,FALSE
50,105.8,42,,FALSE
51,106.6,20.4,14,TRUE
52,106.6,21.3,,FALSE
53,106.6,22.2,15,TRUE
54,106.6,23.1,,FALSE
55,106.6,24,16,TRUE
56,106.6,24.9,,FALSE
57,106.6,25.8,17,TRUE
58,106.6,26.7,,FALSE
59,106.6,27.6,18,TRUE
60,106.6,28.5,,FALSE
61,106.6,29.4,19,TRUE
62,106.6,30.3,,FALSE
63,106.6,31.2,20,TRUE
64,106.6,32.1,,FALSE
65,106.6,33,21,TRUE
66,106.6,33.9,,FALSE
67,106.6,34.8,22,TRUE
68,106.6,35.7,,FALSE
69,106.6,36.6,23,TRUE
70,106.6,37.5,,FALSE
71,106.6,38.4,24,TRUE
72,106.6,39.3,,FALSE
73,106.6,40.2,25,TRUE
74,106.6,41.1,,FALSE
75,106.6,42,26,TRUE
76,107.4,22.2,,FALSE
77,107.4,23.1,,FALSE
78,107.4,24,,FALSE
79,107.4,24.9,,FALSE
80,107.4,25.8,,FALSE
81,107.4,26.7,,FALSE
82,107.4,27.6,,FALSE
83,107.4,28.5,,FALSE
84,107.4,29.4,,FALSE
85,107.4,30.3,,FALSE
86,107.4,31.2,,FALSE
87,107.4,32.1,,FALSE
88,107.4,33,,FALSE
89,107.4,33.9,,FALSE
90,107.4,34.8,,FALSE
91,107.4,35.7,,FALSE
92,107.4,36.6,,FALSE
93,107.4,37.5,,FALSE
94,107.4,38.4,,FALSE
95,107.4,39.3,,FALSE
96,107.4,40.2,,FALSE
97,107.4,41.1,,FALSE
98,107.4,42,,FALSE
99,108.2,22.2,27,TRUE
100,108.2,23.1,,FALSE
101,108.2,24,28,TRUE
102,108.2,24.9,,FALSE
103,108.2,25.8,29,TRUE
104,108.2,26.7,,FALSE
105,108.2,27.6,30,TRUE
106,108.2,28.5,,FALSE
107,108.2,29.4,31,TRUE
108,108.2,30.3,,FALSE
109,108.2,31.2,32,TRUE
110,108.2,32.1,,FALSE
111,108.2,33,33,TRUE
112,108.2,33.9,,FALSE
113,108.2,34.8,34,TRUE
114,108.2,35.7,,FALSE
115,108.2,36.6,35,TRUE
116,108.2,37.5,,FALSE
117,108.2,38.4,36,TRUE
118,108.2,39.3,,FALSE
119,108.2,40.2,37,TRUE
120,108.2,41.1,,FALSE
121,108.2,42,38,TRUE
122,109,22.2,,FALSE
123,109,23.1,,FALSE
124,109,24,,FALSE
125,109,24.9,,FALSE
126,109,25.8,,FALSE
127,109,26.7,,FALSE
128,109,27.6,,FALSE
129,109,28.5,,FALSE
130,109,29.4,,FALSE
131,109,30.3,,FALSE
132,109,31.2,,FALSE
133,109,32.1,,FALSE
134,109,33,,FALSE
135,109,33.9,,FALSE
136,109,34.8,,FALSE
137,109,35.7,,FALSE
138,109,36.6,,FALSE
139,109,37.5,,FALSE
140,109,38.4,,FALSE
141,109,39.3,,FALSE
142,109,40.2,,FALSE
143,109,41.1,,FALSE
144,109,42,,FALSE
145,109.8,21.3,,FALSE
146,109.8,22.2,39,TRUE
147,109.8,23.1,,FALSE
148,109.8,24,40,TRUE
149,109.8,24.9,,FALSE
150,109.8,25.8,41,TRUE
151,109.8,26.7,,FALSE
152,109.8,27.6,42,TRUE
153,109.8,28.5,,FALSE
154,109.8,29.4,43,TRUE
155,109.8,30.3,,FALSE
156,109.8,31.2,44,TRUE
157,109.8,32.1,,FALSE
158,109.8,33,45,TRUE
159,109.8,33.9,,FALSE
160,109.8,34.8,46,TRUE
161,109.8,35.7,,FALSE
162,109.8,36.6,47,TRUE
163,109.8,37.5,,FALSE
164,109.8,38.4,48,TRUE
165,109.8,39.3,,FALSE
166,109.8,40.2,49,TRUE
167,109.8,41.1,,FALSE
168,109.8,42,50,TRUE
169,110.6,21.3,,FALSE
170,110.6,22.2,,FALSE
171,110.6,23.1,,FALSE
172,110.6,24,,FALSE
173,110.6,24.9,,FALSE
174,110.6,25.8,,FALSE
175,110.6,26.7,,FALSE
176,110.6,27.6,,FALSE
177,110.6,28.5,,FALSE
178,110.6,29.4,,FALSE
179,110.6,30.3,,FALSE
180,110.6,31.2,,FALSE
181,110.6,32.1,,FALSE
182,110.6,33,,FALSE
183,110.6,33.9,,FALSE
184,110.6,34.8,,FALSE
185,110.6,35.7,,FALSE
186,110.6,36.6,,FALSE
187,110.6,37.5,,FALSE
188,110.6,38.4,,FALSE
189,110.6,39.3,,FALSE
190,110.6,40.2,,FALSE
191,110.6,41.1,,FALSE
192,110.6,42,,FALSE
193,111.4,22.2,51,TRUE
194,111.4,23.1,,FALSE
195,111.4,24,52,TRUE
196,111.4,24.9,,FALSE
197,111.4,25.8,53,TRUE
198,111.4,26.7,,FALSE
199,111.4,27.6,54,TRUE
200,111.4,28.5,,FALSE
201,111.4,29.4,55,TRUE
202,111.4,30.3,,FALSE
203,111.4,31.2,56,TRUE
204,111.4,32.1,,FALSE
205,111.4,33,57,TRUE
206,111.4,33.9,,FALSE
207,111.4,34.8,58,TRUE
208,111.4,35.7,,FALSE
209,111.4,36.6,59,TRUE
210,111.4,37.5,,FALSE
211,111.4,38.4,60,TRUE
212,111.4,39.3,,FALSE
213,111.4,40.2,61,TRUE
214,111.4,41.1,,FALSE
215,111.4,42,62,TRUE
216,112.2,22.2,,FALSE
217,112.2,23.1,,FALSE
218,112.2,24,,FALSE
219,112.2,24.9,,FALSE
220,112.2,25.8,,FALSE
221,112.2,26.7,,FALSE
222,112.2,27.6,,FALSE
223,112.2,28.5,,FALSE
224,112.2,29.4,,FALSE
225,112.2,30.3,,FALSE
226,112.2,31.2,,FALSE
227,112.2,32.1,,FALSE
228,112.2,33,,FALSE
229,112.2,33.9,,FALSE
230,112.2,34.8,,FALSE
231,112.2,35.7,,FALSE
232,112.2,36.6,,FALSE
233,112.2,37.5,,FALSE
234,112.2,38.4,,FALSE
235,112.2,39.3,,FALSE
236,112.2,40.2,,FALSE
237,112.2,41.1,,FALSE
238,112.2,42,,FALSE
239,113,22.2,63,TRUE
240,113,23.1,,FALSE
241,113,24,64,TRUE
242,113,24.9,,FALSE
243,113,25.8,65,TRUE
244,113,26.7,,FALSE
245,113,27.6,66,TRUE
246,113,28.5,,FALSE
247,113,29.4,67,TRUE
248,113,30.3,,FALSE
249,113,31.2,68,TRUE
250,113,32.1,,FALSE
251,113,33,69,TRUE
252,113,33.9,,FALSE
253,113,34.8,70,TRUE
254,113,35.7,,FALSE
255,113,36.6,71,TRUE
256,113,37.5,,FALSE
257,113,38.4,72,TRUE
258,113,39.3,,FALSE
259,113,40.2,73,TRUE
260,113,41.1,,FALSE
261,113,42,74,TRUE
262,113.8,23.1,,FALSE
263,113.8,24,,FALSE
264,113.8,24.9,,FALSE
265,113.8,25.8,,FALSE
266,113.8,26.7,,FALSE
267,113.8,27.6,,FALSE
268,113.8,28.5,,FALSE
269,113.8,29.4,,FALSE
270,113.8,30.3,,FALSE
271,113.8,31.2,,FALSE
272,113.8,32.1,,FALSE
273,113.8,33,,FALSE
274,113.8,33.9,,FALSE
275,113.8,34.8,,FALSE
276,113.8,35.7,,FALSE
277,113.8,36.6,,FALSE
278,113.8,37.5,,FALSE
279,113.8,38.4,,FALSE
280,113.8,39.3,,FALSE
281,113.8,40.2,,FALSE
282,113.8,41.1,,FALSE
283,113.8,42,,FALSE
284,114.6,23.1,,FALSE
285,114.6,24,75,TRUE
286,114.6,24.9,,FALSE
287,114.6,25.8,76,TRUE
288,114.6,26.7,,FALSE
289,114.6,27.6,77,TRUE
290,114.6,28.5,,FALSE
291,114.6,29.4,78,TRUE
292,114.6,30.3,,FALSE
293,114.6,31.2,79,TRUE
294,114.6,32.1,,FALSE
295,114.6,33,80,TRUE
296,114.6,33.9,,FALSE
297,114.6,34.8,81,TRUE
298,114.6,35.7,,FALSE
299,114.6,36.6,82,TRUE
300,114.6,37.5,,FALSE
301,114.6,38.4,83,TRUE
302,114.6,39.3,,FALSE
303,114.6,40.2,84,TRUE
304,114.6,41.1,,FALSE
305,114.6,42,85,TRUE
306,115.4,23.1,,FALSE
307,115.4,24,,FALSE
308,115.4,24.9,,FALSE
309,115.4,25.8,,FALSE
310,115.4,26.7,,FALSE
311,115.4,27.6,,FALSE
312,115.4,28.5,,FALSE
313,115.4,29.4,,FALSE
314,115.4,30.3,,FALSE
315,115.4,31.2,,FALSE
316,115.4,32.1,,FALSE
317,115.4,33,,FALSE
318,115.4,33.9,,FALSE
319,115.4,34.8,,FALSE
320,115.4,35.7,,FALSE
321,115.4,36.6,,FALSE
322,115.4,37.5,,FALSE
323,115.4,38.4,,FALSE
324,115.4,39.3,,FALSE
325,115.4,40.2,,FALSE
326,115.4,41.1,,FALSE
327,115.4,42,,FALSE
328,116.2,23.1,,FALSE
329,116.2,24,86,TRUE
330,116.2,24.9,,FALSE
331,116.2,25.8,87,TRUE
332,116.2,26.7,,FALSE
333,116.2,27.6,88,TRUE
334,116.2,28.5,,FALSE
335,116.2,29.4,89,TRUE
336,116.2,30.3,,FALSE
337,116.2,31.2,90,TRUE
338,116.2,32.1,,FALSE
339,116.2,33,91,TRUE
340,116.2,33.9,,FALSE
341,116.2,34.8,92,TRUE
342,116.2,35.7,,FALSE
343,116.2,36.6,93,TRUE
344,116.2,37.5,,FALSE
345,116.2,38.4,94,TRUE
346,116.2,39.3,,FALSE
347,116.2,40.2,95,TRUE
348,116.2,41.1,,FALSE
349,116.2,42,96,TRUE
350,117,24,,FALSE
351,117,24.9,,FALSE
352,117,25.8,,FALSE
353,117,26.7,,FALSE
354,117,27.6,,FALSE
355,117,28.5,,FALSE
356,117,29.4,,FALSE
357,117,30.3,,FALSE
358,117,31.2,,FALSE
359,117,32.1,,FALSE
360,117,33,,FALSE
361,117,33.9,,FALSE
362,117,34.8,,FALSE
363,117,35.7,,FALSE
364,117,36.6,,FALSE
365,117,37.5,,FALSE
366,117,38.4,,FALSE
367,117,39.3,,FALSE
368,117,40.2,,FALSE
369,117,41.1,,FALSE
370,117,42,,FALSE
371,117.8,24.9,,FALSE
372,117.8,25.8,97,TRUE
373,117.8,26.7,,FALSE
374,117.8,27.6,98,TRUE
375,117.8,28.5,,FALSE
376,117.8,29.4,99,TRUE
377,117.8,30.3,,FALSE
378,117.8,31.2,100,TRUE
379,117.8,32.1,,FALSE
380,117.8,33,101,TRUE
381,117.8,33.9,,FALSE
382,117.8,34.8,102,TRUE
383,117.8,35.7,,FALSE
384,117.8,36.6,103,TRUE
385,117.8,37.5,,FALSE
386,117.8,39.3,,FALSE
387,117.8,40.2,104,TRUE
388,117.8,41.1,,FALSE
389,117.8,42,105,TRUE
390,118.6,24.9,,FALSE
391,118.6,25.8,,FALSE
392,118.6,26.7,,FALSE
393,118.6,27.6,,FALSE
394,118.6,28.5,,FALSE
395,118.6,29.4,,FALSE
396,118.6,30.3,,FALSE
397,118.6,31.2,,FALSE
398,118.6,32.1,,FALSE
399,118.6,33,,FALSE
400,118.6,33.9,,FALSE
401,118.6,34.8,,FALSE
402,118.6,35.7,,FALSE
403,118.6,36.6,,FALSE
404,118.6,37.5,,FALSE
405,118.6,39.3,,FALSE
406,118.6,40.2,,FALSE
407,118.6,41.1,,FALSE
408,118.6,42,,FALSE
409,119.4,25.8,106,TRUE
410,119.4,26.7,,FALSE
411,119.4,27.6,107,TRUE
412,119.4,28.5,,FALSE
413,119.4,29.4,108,TRUE
414,119.4,30.3,,FALSE
415,119.4,31.2,109,TRUE
416,119.4,32.1,,FALSE
417,119.4,33,110,TRUE
418,119.4,33.9,,FALSE
419,119.4,35.7,,FALSE
420,119.4,36.6,111,TRUE
421,119.4,40.2,112,TRUE
422,119.4,41.1,,FALSE
423,119.4,42,113,TRUE
424,120.2,23.1,,FALSE
425,120.2,27.6,,FALSE
426,120.2,28.5,,FALSE
427,120.2,29.4,,FALSE
428,120.2,30.3,,FALSE
429,120.2,31.2,,FALSE
430,120.2,32.1,,FALSE
431,120.2,33,,FALSE
432,120.2,33.9,,FALSE
433,120.2,36.6,,FALSE
434,120.2,37.5,,FALSE
435,120.2,40.2,,FALSE
436,120.2,41.1,,FALSE
437,120.2,42,,FALSE
438,121,23.1,,FALSE
439,121,24,114,TRUE
440,121,28.5,,FALSE
441,121,29.4,115,TRUE
442,121,31.2,116,TRUE
443,121,32.1,,FALSE
444,121,37.5,,FALSE
445,121,41.1,,FALSE
446,121,42,117,TRUE
447,121.8,24.9,,FALSE
448,121.8,29.4,,FALSE
449,121.8,31.2,,FALSE
450,121.8,39.3,,FALSE
451,121.8,41.1,,FALSE
452,121.8,42,,FALSE
453,122.6,40.2,118,TRUE
454,122.6,41.1,,FALSE
455,122.6,42,119,TRUE
456,123.4,40.2,,FALSE
457,123.4,41.1,,FALSE
458,123.4,42,,FALSE
459,124.2,40.2,120,TRUE
460,124.2,41.1,,FALSE
461,124.2,42,121,TRUE
462,125,38.4,,FALSE
463,125,40.2,,FALSE
464,125,41.1,,FALSE
465,125,42,,FALSE
