year,analysis_role,yearly_slope,months,day_definition
1991,confirmatory,-0.909402009806487,3,utc
1992,confirmatory,-0.438373142807645,3,utc
1993,confirmatory,-0.259771167704567,3,utc
1994,confirmatory,-0.490107267622895,3,utc
1995,confirmatory,-0.168056620123665,3,utc
1996,confirmatory,-0.642835287243811,3,utc
1997,confirmatory,-0.89596940957694,3,utc
1998,confirmatory,-0.329155694506179,3,utc
1999,confirmatory,-0.722126901801699,3,utc
2000,confirmatory,-0.766999777842872,3,utc
2001,confirmatory,0.114859732368086,3,utc
2002,confirmatory,-0.387166370466018,3,utc
2003,confirmatory,-0.762479184277793,3,utc
2004,confirmatory,-0.59684264897635,3,utc
2005,confirmatory,-0.891656234923259,3,utc
2006,confirmatory,-0.450503717041583,3,utc
2007,confirmatory,-0.595956780866641,3,utc
2008,confirmatory,-1.040813639061,3,utc
2009,confirmatory,-0.323772400909126,3,utc
2010,confirmatory,-0.284751117268798,3,utc
2011,confirmatory,-0.591074282056895,3,utc
2012,confirmatory,-1.02222749605933,3,utc
2013,confirmatory,-0.942566611310174,3,utc
2014,confirmatory,-0.954833362516778,3,utc
2015,discovery,-0.572279486123491,3,utc
2016,confirmatory,-0.165767978485308,3,utc
2017,confirmatory,-1.26874265242996,3,utc
2018,confirmatory,-0.91313368602879,3,utc
2019,confirmatory,-0.337726389180404,3,utc
2020,confirmatory,-1.02867414961661,3,utc
2021,confirmatory,-1.37328087826976,3,utc
2022,discovery,-1.20856851905039,3,utc
2023,confirmatory,-1.29387219089407,3,utc
2024,confirmatory,0.0273168177346205,3,utc
2025,confirmatory,-1.98133521868237,3,utc
1991,confirmatory,-0.909402009806487,3,utc_plus_8
1992,confirmatory,-0.438373142807645,3,utc_plus_8
1993,confirmatory,-0.259771167704567,3,utc_plus_8
1994,confirmatory,-0.490107267622895,3,utc_plus_8
1995,confirmatory,-0.168056620123665,3,utc_plus_8
1996,confirmatory,-0.642835287243811,3,utc_plus_8
1997,confirmatory,-0.89596940957694,3,utc_plus_8
1998,confirmatory,-0.329155694506179,3,utc_plus_8
1999,confirmatory,-0.722126901801699,3,utc_plus_8
2000,confirmatory,-0.753590266163053,3,utc_plus_8
2001,confirmatory,0.114859732368086,3,utc_plus_8
2002,confirmatory,-0.387166370466018,3,utc_plus_8
2003,confirmatory,-0.762479184277793,3,utc_plus_8
2004,confirmatory,-0.59684264897635,3,utc_plus_8
2005,confirmatory,-0.891656234923259,3,utc_plus_8
2006,confirmatory,-0.450503717041583,3,utc_plus_8
2007,confirmatory,-0.595956780866641,3,utc_plus_8
2008,confirmatory,-1.040813639061,3,utc_plus_8
2009,confirmatory,-0.406960675503268,3,utc_plus_8
2010,confirmatory,-0.284751117268798,3,utc_plus_8
2011,confirmatory,-0.668752806762849,3,utc_plus_8
2012,confirmatory,-1.02222749605933,3,utc_plus_8
2013,confirmatory,-0.90950684081369,3,utc_plus_8
2014,confirmatory,-0.954833362516778,3,utc_plus_8
2015,discovery,-0.572279486123491,3,utc_plus_8
2016,confirmatory,-0.138010988833257,3,utc_plus_8
2017,confirmatory,-1.26874265242996,3,utc_plus_8
2018,confirmatory,-0.91313368602879,3,utc_plus_8
2019,confirmatory,-0.337726389180404,3,utc_plus_8
2020,confirmatory,-1.02867414961661,3,utc_plus_8
2021,confirmatory,-1.50233651200142,3,utc_plus_8
2022,discovery,-1.20856851905039,3,utc_plus_8
2023,confirmatory,-1.29387219089407,3,utc_plus_8
2024,confirmatory,0.0273168177346205,3,utc_plus_8
2025,confirmatory,-1.98133521868237,3,utc_plus_8
