year,analysis_role,yearly_slope,yearly_correlation,months,variable,day_definition
1991,confirmatory,0.947687601319461,0.219218086618248,3,wind_speed_mean,utc
1992,confirmatory,0.0131907233380874,-0.0658049320188822,3,wind_speed_mean,utc
1993,confirmatory,0.401124939323944,0.139413891271941,3,wind_speed_mean,utc
1994,confirmatory,-1.0858459433222,-0.207386660688008,3,wind_speed_mean,utc
1995,confirmatory,-0.335868399038372,-0.100657399966013,3,wind_speed_mean,utc
1996,confirmatory,0.0987182244823016,0.0295660816318341,3,wind_speed_mean,utc
1997,confirmatory,0.153507242553157,-0.00635339907461755,3,wind_speed_mean,utc
1998,confirmatory,0.0619580428723801,-0.028303459744739,3,wind_speed_mean,utc
1999,confirmatory,-1.32124058484819,-0.155454591911137,3,wind_speed_mean,utc
2000,confirmatory,0.908962849468817,0.141112505303792,3,wind_speed_mean,utc
2001,confirmatory,-0.736690179630732,-0.0768295752804058,3,wind_speed_mean,utc
2002,confirmatory,0.398827878509205,0.102988416492839,3,wind_speed_mean,utc
2003,confirmatory,0.0386677629079045,-0.0230321423621374,3,wind_speed_mean,utc
2004,confirmatory,-0.359273219254534,-0.109252793085889,3,wind_speed_mean,utc
2005,confirmatory,-0.168025979805502,-0.0367257655896479,3,wind_speed_mean,utc
2006,confirmatory,-1.32267275790051,-0.295628767978536,3,wind_speed_mean,utc
2007,confirmatory,-1.28735259197563,-0.256228989763079,3,wind_speed_mean,utc
2008,confirmatory,-0.174154190449864,-0.0748053859577017,3,wind_speed_mean,utc
2009,confirmatory,0.0682421030530803,0.00163105227185653,3,wind_speed_mean,utc
2010,confirmatory,-0.295595598383747,-0.0430974526201153,3,wind_speed_mean,utc
2011,confirmatory,-0.246956803008856,-0.0345686006730968,3,wind_speed_mean,utc
2012,confirmatory,-0.186659146326504,-0.00242855839545251,3,wind_speed_mean,utc
2013,confirmatory,-1.1556368677188,-0.249487162136245,3,wind_speed_mean,utc
2014,confirmatory,-0.243133334873963,-0.0350664691768916,3,wind_speed_mean,utc
2015,discovery,-0.0556924530012748,-0.0160263259192828,3,wind_speed_mean,utc
2016,confirmatory,0.308530885692648,0.0227976700123536,3,wind_speed_mean,utc
2017,confirmatory,2.40295252052009,0.321767212288062,3,wind_speed_mean,utc
2018,confirmatory,-0.0365257844794783,-0.00118314144489935,3,wind_speed_mean,utc
2019,confirmatory,0.696051932969103,0.145521262178438,3,wind_speed_mean,utc
2020,confirmatory,-0.200864609876632,-0.0896602283457104,3,wind_speed_mean,utc
2021,confirmatory,1.53450377020293,0.165330486116311,3,wind_speed_mean,utc
2022,discovery,0.110760654266964,-0.0544440720162814,3,wind_speed_mean,utc
2023,confirmatory,-1.02394702680962,-0.0770224627695357,3,wind_speed_mean,utc
2024,confirmatory,0.396565445895611,0.0891224436024457,3,wind_speed_mean,utc
2025,confirmatory,-0.646549741779135,-0.129136716753476,3,wind_speed_mean,utc
1991,confirmatory,11.4444635988064,0.0518497516796031,3,swvl1,utc
1992,confirmatory,18.5900958620876,0.208811630796868,3,swvl1,utc
1993,confirmatory,-2.19054907243285,-0.113162872493582,3,swvl1,utc
1994,confirmatory,-11.9295278957048,-0.0725112655888994,3,swvl1,utc
1995,confirmatory,21.9360847265554,0.109208348554948,3,swvl1,utc
