file,mean_extreme,mean_moderate,relative_effect,absolute_effect,n_extreme,n_moderate,metric,year,month,day_definition,analysis_role
199106,20.6014335704662,18.7523607131204,0.0986048042501684,1.84907285734579,8,14,spatial_variance,1991,6,utc,confirmatory
199107,12.6419663242048,15.9130695941147,-0.205560797089685,-3.27110326990984,8,15,spatial_variance,1991,7,utc,confirmatory
199108,13.5429586146049,12.6411477191075,0.0713393210439475,0.901810895497373,8,15,spatial_variance,1991,8,utc,confirmatory
199206,17.828057556611,17.9101589237412,-0.0045840669242414,-0.0821013671302282,8,14,spatial_variance,1992,6,utc,confirmatory
199207,13.9931668654199,16.5842183173456,-0.156235970990308,-2.59105145192575,8,15,spatial_variance,1992,7,utc,confirmatory
199208,12.8734000410753,13.7303880647937,-0.062415426255569,-0.856988023718477,8,15,spatial_variance,1992,8,utc,confirmatory
199306,21.0335396846034,22.8930451742401,-0.0812257816941287,-1.85950548963665,8,14,spatial_variance,1993,6,utc,confirmatory
199307,15.4024966138198,15.5238012956338,-0.00781410941198202,-0.12130468181395,8,15,spatial_variance,1993,7,utc,confirmatory
199308,16.1483600788238,18.8795158759002,-0.144662385149544,-2.7311557970764,8,15,spatial_variance,1993,8,utc,confirmatory
199406,17.7410648954224,15.0684585348422,0.177364284103803,2.67260636058014,8,14,spatial_variance,1994,6,utc,confirmatory
199407,10.3509465924577,15.0392262610317,-0.311736760070022,-4.68827966857402,8,15,spatial_variance,1994,7,utc,confirmatory
199408,12.5344038215086,13.7135940633915,-0.0859869583737211,-1.17919024188295,8,15,spatial_variance,1994,8,utc,confirmatory
199506,24.478859983929,21.9365679630633,0.115892879193611,2.54229202086574,8,14,spatial_variance,1995,6,utc,confirmatory
199507,12.4749892998725,16.6619231591396,-0.251287550619293,-4.18693385926707,8,15,spatial_variance,1995,7,utc,confirmatory
199508,11.5346484428143,14.7875194494652,-0.219974081370932,-3.25287100665089,8,15,spatial_variance,1995,8,utc,confirmatory
199606,20.2086376658624,23.0273684865049,-0.122407856646512,-2.81873082064249,8,14,spatial_variance,1996,6,utc,confirmatory
199607,11.5543256490692,13.9239405089872,-0.170182776807223,-2.36961485991801,8,15,spatial_variance,1996,7,utc,confirmatory
199608,11.7661704649046,15.8988901152134,-0.259937619567183,-4.13271965030878,8,15,spatial_variance,1996,8,utc,confirmatory
199706,13.0481004654754,19.9756634499843,-0.346800145179373,-6.92756298450884,8,14,spatial_variance,1997,6,utc,confirmatory
199707,11.4733875620875,12.7052764529972,-0.0969588419006102,-1.2318888909097,8,15,spatial_variance,1997,7,utc,confirmatory
199708,13.1840137961315,15.7246040976379,-0.161567838893191,-2.54059030150636,8,15,spatial_variance,1997,8,utc,confirmatory
199806,14.5821360687976,20.6226465885252,-0.292906659375554,-6.04051051972758,8,14,spatial_variance,1998,6,utc,confirmatory
199807,14.881285892804,13.648397428655,0.0903321046000971,1.23288846414896,8,15,spatial_variance,1998,7,utc,confirmatory
199808,17.1378741973301,16.9805387429003,0.00926563384189283,0.157335454429791,8,15,spatial_variance,1998,8,utc,confirmatory
199906,14.6102055142602,21.4766273291804,-0.319716020102967,-6.86642181492019,8,14,spatial_variance,1999,6,utc,confirmatory
199907,10.1922615199351,10.8229464008057,-0.058272937656207,-0.630684880870621,8,15,spatial_variance,1999,7,utc,confirmatory
199908,11.2503728413881,17.1715426315064,-0.344824569183095,-5.92116979011836,8,15,spatial_variance,1999,8,utc,confirmatory
200006,16.5709903534278,18.5007180123822,-0.104305554933751,-1.92972765895437,8,14,spatial_variance,2000,6,utc,confirmatory
200007,8.94791503995718,15.3617888559951,-0.417521284543294,-6.41387381603794,8,15,spatial_variance,2000,7,utc,confirmatory
200008,12.6096819747598,16.9281691312546,-0.255106569588884,-4.31848715649481,8,15,spatial_variance,2000,8,utc,confirmatory
200106,17.6301573267797,18.9823047595938,-0.0712319947413555,-1.3521474328142,8,14,spatial_variance,2001,6,utc,confirmatory
200107,16.1450739002092,17.1702631890274,-0.0597072553595675,-1.02518928881824,8,15,spatial_variance,2001,7,utc,confirmatory
200108,12.8182226734052,19.5868480465882,-0.345569912886621,-6.76862537318296,8,15,spatial_variance,2001,8,utc,confirmatory
200206,16.7995429071341,17.6730156581124,-0.0494240919532761,-0.873472750978234,8,14,spatial_variance,2002,6,utc,confirmatory
200207,17.4552636223743,13.3607094409506,0.306462332671784,4.09455418142366,8,15,spatial_variance,2002,7,utc,confirmatory
200208,13.5464311651537,18.6570990300274,-0.273926179876542,-5.11066786487374,8,15,spatial_variance,2002,8,utc,confirmatory
200306,16.1338678916355,19.0063222033014,-0.15113151723625,-2.87245431166596,8,14,spatial_variance,2003,6,utc,confirmatory
200307,12.9420460934232,15.2404753946594,-0.150810866571896,-2.29842930123624,8,15,spatial_variance,2003,7,utc,confirmatory
200308,15.8477301859762,16.9674161095549,-0.065990361546456,-1.11968592357869,8,15,spatial_variance,2003,8,utc,confirmatory
200406,19.4688993359736,17.3115351465337,0.124620039250064,2.15736418943989,8,14,spatial_variance,2004,6,utc,confirmatory
200407,12.4500247753463,16.9847665205679,-0.2669887595882,-4.53474174522162,8,15,spatial_variance,2004,7,utc,confirmatory
200408,11.4099217401952,17.1531993118678,-0.334822528861945,-5.74327757167253,8,15,spatial_variance,2004,8,utc,confirmatory
200506,19.3158973542074,22.0799970842503,-0.125185692710735,-2.76409973004288,8,14,spatial_variance,2005,6,utc,confirmatory
200507,10.8190082573769,14.8657813461219,-0.272220678787308,-4.046773088745,8,15,spatial_variance,2005,7,utc,confirmatory
200508,12.3722342560009,15.2415546693521,-0.188256413180793,-2.86932041335119,8,15,spatial_variance,2005,8,utc,confirmatory
200606,19.5130690141172,20.7163643668869,-0.058084291792679,-1.20329535276972,8,14,spatial_variance,2006,6,utc,confirmatory
200607,12.8089017905422,14.490568346446,-0.116052491227249,-1.68166655590377,8,15,spatial_variance,2006,7,utc,confirmatory
200608,9.68361182634517,14.6660394659983,-0.339725503344264,-4.98242763965309,8,15,spatial_variance,2006,8,utc,confirmatory
200706,18.7027930616852,19.5259756362223,-0.0421583325654693,-0.82318257453711,8,14,spatial_variance,2007,6,utc,confirmatory
200707,12.3202279278622,15.3950702394599,-0.199729021288677,-3.07484231159777,8,15,spatial_variance,2007,7,utc,confirmatory
200708,14.0958075538755,17.8980691203993,-0.212439763247433,-3.80226156652381,8,15,spatial_variance,2007,8,utc,confirmatory
200806,17.2481232981322,16.2929470740411,0.0586251351428546,0.955176224091041,8,14,spatial_variance,2008,6,utc,confirmatory
200807,13.9615489347553,15.4274139091255,-0.0950168954437112,-1.46586497437024,8,15,spatial_variance,2008,7,utc,confirmatory
200808,13.20078213477,17.7033740128294,-0.254335239982864,-4.50259187805936,8,15,spatial_variance,2008,8,utc,confirmatory
200906,24.8987934354325,28.2584504342659,-0.118890347743891,-3.35965699883339,8,14,spatial_variance,2009,6,utc,confirmatory
200907,14.5355463363163,17.7193136747938,-0.179677802250688,-3.18376733847751,8,15,spatial_variance,2009,7,utc,confirmatory
200908,15.42164824054,19.7902934103934,-0.220746862073256,-4.36864516985339,8,15,spatial_variance,2009,8,utc,confirmatory
201006,17.9716372079238,15.6207779427769,0.150495658651495,2.35085926514695,8,14,spatial_variance,2010,6,utc,confirmatory
201007,9.61736906859575,15.6555930790014,-0.38569116991835,-6.03822401040569,8,15,spatial_variance,2010,7,utc,confirmatory
201008,17.9528675819586,23.1642414158947,-0.224974940485647,-5.21137383393606,8,15,spatial_variance,2010,8,utc,confirmatory
201106,15.2009420337229,19.2735253539378,-0.211304535388636,-4.07258332021492,8,14,spatial_variance,2011,6,utc,confirmatory
201107,14.5137256568882,16.7450593696888,-0.133253257784181,-2.23133371280056,8,15,spatial_variance,2011,7,utc,confirmatory
201108,13.228762392382,15.4787183161546,-0.145358024987402,-2.24995592377256,8,15,spatial_variance,2011,8,utc,confirmatory
201206,12.9928925064535,21.489380892702,-0.395380789640803,-8.4964883862485,8,14,spatial_variance,2012,6,utc,confirmatory
201207,10.3241024867526,15.3421037794775,-0.327073872322339,-5.01800129272488,8,15,spatial_variance,2012,7,utc,confirmatory
201208,9.86039355395032,16.4960319772749,-0.402256641625448,-6.63563842332461,8,15,spatial_variance,2012,8,utc,confirmatory
201306,16.9576241629032,15.4932364041664,0.0945178735117611,1.46438775873681,8,14,spatial_variance,2013,6,utc,confirmatory
201307,12.0965733168498,13.5872762897119,-0.109713156711979,-1.49070297286212,8,15,spatial_variance,2013,7,utc,confirmatory
201308,10.9141591840763,16.1463184875561,-0.324046581114586,-5.2321593034798,8,15,spatial_variance,2013,8,utc,confirmatory
201406,18.1865319171836,18.4438804904419,-0.0139530601161555,-0.257348573258323,8,14,spatial_variance,2014,6,utc,confirmatory
201407,13.2679022863712,15.1338764535685,-0.123297832708112,-1.86597416719732,8,15,spatial_variance,2014,7,utc,confirmatory
201408,18.2659008614119,17.0778296558411,0.06956804403799,1.18807120557084,8,15,spatial_variance,2014,8,utc,confirmatory
201506,16.7592493181671,24.3906584676225,-0.312882457010567,-7.63140914945531,8,14,spatial_variance,2015,6,utc,discovery
201507,13.1081764620566,18.1241989229549,-0.276758298792744,-5.01602246089828,8,15,spatial_variance,2015,7,utc,discovery
201508,13.8137189925593,20.3710498502528,-0.321894595806121,-6.55733085769346,8,15,spatial_variance,2015,8,utc,discovery
201606,21.5458012536667,21.5579949145726,-0.000565621290581131,-0.0121936609059219,8,14,spatial_variance,2016,6,utc,confirmatory
201607,12.8274771230138,15.2999105241098,-0.161597899360249,-2.47243340109591,8,15,spatial_variance,2016,7,utc,confirmatory
201608,12.7789525586822,11.0314058480575,0.158415594049818,1.74754671062467,8,15,spatial_variance,2016,8,utc,confirmatory
