day_definition,metric,years,estimate,standard_error,t_statistic,degrees_freedom,t_p_value,ci_lower,ci_upper,hac_lag,hac_standard_error,hac_statistic,hac_p_value,hac_ci_lower,hac_ci_upper,negative_years,negative_fraction,sign_p_value,consistency_threshold,confirmatory_consistency,t_holm_p,hac_holm_p,sign_holm_p,scale_consistency
utc,graph_h_0.125,33,-0.0285600818902134,0.0107380686225776,-2.65970379721392,32,0.00605840848253303,-0.0504328119119044,-0.00668735186852235,2,0.0108383441123317,-2.63509643117146,0.00642946245086089,-0.0506370664005162,-0.00648309737991054,22,0.666666666666667,0.0400716562289745,0.025,FALSE,0.00605840848253303,0.00642946245086089,0.0400716562289745,FALSE
utc,graph_h_0.250,33,-0.0394471641661876,0.0125432575370933,-3.14488991791274,32,0.0017878370720143,-0.0649969436791001,-0.0138973846532751,2,0.0128365755573488,-3.07302862745232,0.00215358192061416,-0.0655944129347963,-0.0132999153975788,23,0.696969696969697,0.0175410166848451,0.025,TRUE,0.0035756741440286,0.00430716384122832,0.0350820333696903,FALSE
utc,graph_h_0.500,33,-0.0590668266866499,0.0147681500928716,-3.99960904481603,32,0.00017530954836993,-0.0891485640320435,-0.0289850893412564,2,0.0152434608794736,-3.87489607207163,0.000248541297179948,-0.0901167404217794,-0.0280169129515204,25,0.757575757575758,0.00227569206617773,0.025,TRUE,0.000525928645109791,0.000745623891539843,0.00682707619853319,TRUE
utc,graph_h_1.000,33,-0.104414263326514,0.0149853477979782,-6.96775708739984,32,3.40562128601379e-08,-0.134938417919563,-0.0738901087334662,2,0.0153485581046136,-6.80287116319601,5.4287181179234e-08,-0.135678253103837,-0.0731502735491922,29,0.878787878787879,5.46430237591267e-06,0.025,TRUE,1.36224851440551e-07,2.17148724716936e-07,2.18572095036507e-05,TRUE
utc,graph_h_2.000,33,-0.132684079837477,0.0147932892525676,-8.96920742724255,32,1.51344417268803e-10,-0.162817023975481,-0.102551135699472,2,0.0149138530378303,-8.89670023574137,1.82562529090186e-10,-0.163062604369697,-0.102305555305256,30,0.909090909090909,7.00587406754495e-07,0.025,TRUE,7.56722086344017e-10,9.12812645450929e-10,3.50293703377247e-06,TRUE
utc_plus_8,graph_h_0.125,33,-0.0284186956722673,0.0107161071690444,-2.65196075626794,32,0.00617296755186167,-0.0502466916769858,-0.00659069966754892,2,0.0108508119094984,-2.61903864054548,0.00668283349784137,-0.0505210762543386,-0.00631631509019612,22,0.666666666666667,0.0400716562289745,0.025,FALSE,0.00617296755186167,0.00668283349784137,0.0400716562289745,FALSE
utc_plus_8,graph_h_0.250,33,-0.0396331463099381,0.0125664321278871,-3.1538901341762,32,0.00174643403992132,-0.0652301309195597,-0.0140361617003165,2,0.012822194011212,-3.09098008307174,0.00205607249106462,-0.0657511008276903,-0.0135151917921859,23,0.696969696969697,0.0175410166848451,0.025,TRUE,0.00349286807984264,0.00411214498212924,0.0350820333696903,FALSE
utc_plus_8,graph_h_0.500,33,-0.0596167843840333,0.0148319088476149,-4.01949506274238,32,0.000165777204992643,-0.089828394062901,-0.0294051747051656,2,0.0152275668948418,-3.91505647591197,0.000222184951026228,-0.0906343231319058,-0.0285992456361607,25,0.757575757575758,0.00227569206617773,0.025,TRUE,0.00049733161497793,0.000666554853078683,0.00682707619853319,TRUE
utc_plus_8,graph_h_1.000,33,-0.105058421269452,0.0150529305218919,-6.97926700164214,32,3.29687841426007e-08,-0.135720237366282,-0.0743966051726222,2,0.0153589622315009,-6.84020311307097,4.88372954310555e-08,-0.136343603559741,-0.0737732389791635,29,0.878787878787879,5.46430237591267e-06,0.025,TRUE,1.31875136570403e-07,1.95349181724222e-07,2.18572095036507e-05,TRUE
utc_plus_8,graph_h_2.000,33,-0.133309515449638,0.014849309981908,-8.97748889423544,32,1.48143638261407e-10,-0.163556570079162,-0.103062460820115,2,0.0149339754626112,-8.92659263994324,1.68965615985661e-10,-0.163729028019846,-0.10289000287943,30,0.909090909090909,7.00587406754495e-07,0.025,TRUE,7.40718191307034e-10,8.44828079928304e-10,3.50293703377247e-06,TRUE
