day_definition,analysis_role,year,yearly_profile_effect,scales,sensitivity,lower_quantile,upper_quantile
utc,confirmatory,1991,0.0294721631473775,5,threshold_70,0.25,0.7
utc,confirmatory,1992,0.0330161033801292,5,threshold_70,0.25,0.7
utc,confirmatory,1993,-0.0503851455982559,5,threshold_70,0.25,0.7
utc,confirmatory,1994,0.010949818387149,5,threshold_70,0.25,0.7
utc,confirmatory,1995,-0.0440461710698657,5,threshold_70,0.25,0.7
utc,confirmatory,1996,-0.0751483465297391,5,threshold_70,0.25,0.7
utc,confirmatory,1997,-0.130027579607276,5,threshold_70,0.25,0.7
utc,confirmatory,1998,-0.0125554685465979,5,threshold_70,0.25,0.7
utc,confirmatory,1999,-0.173594801092616,5,threshold_70,0.25,0.7
utc,confirmatory,2000,-0.109985674543779,5,threshold_70,0.25,0.7
utc,confirmatory,2001,-0.0825694542997865,5,threshold_70,0.25,0.7
utc,confirmatory,2002,-0.00398150588516676,5,threshold_70,0.25,0.7
utc,confirmatory,2003,-0.0574145897514155,5,threshold_70,0.25,0.7
utc,confirmatory,2004,-0.0181433096595287,5,threshold_70,0.25,0.7
utc,confirmatory,2005,-0.123142406444222,5,threshold_70,0.25,0.7
utc,confirmatory,2006,-0.0730360974819966,5,threshold_70,0.25,0.7
utc,confirmatory,2007,-0.0251528634891529,5,threshold_70,0.25,0.7
utc,confirmatory,2008,-0.00395685046260423,5,threshold_70,0.25,0.7
utc,confirmatory,2009,-0.0814676948711707,5,threshold_70,0.25,0.7
utc,confirmatory,2010,-0.0266966267097557,5,threshold_70,0.25,0.7
utc,confirmatory,2011,-0.0586573464938308,5,threshold_70,0.25,0.7
utc,confirmatory,2012,-0.288422115255715,5,threshold_70,0.25,0.7
utc,confirmatory,2013,-0.03604286629198,5,threshold_70,0.25,0.7
utc,confirmatory,2014,-0.00274316772442515,5,threshold_70,0.25,0.7
utc,discovery,2015,-0.20550442099392,5,threshold_70,0.25,0.7
utc,confirmatory,2016,0.0567411326069983,5,threshold_70,0.25,0.7
utc,confirmatory,2017,-0.107514890349792,5,threshold_70,0.25,0.7
utc,confirmatory,2018,-0.164722729506566,5,threshold_70,0.25,0.7
utc,confirmatory,2019,-0.0933993915897033,5,threshold_70,0.25,0.7
utc,confirmatory,2020,-0.0966382413113418,5,threshold_70,0.25,0.7
utc,confirmatory,2021,-0.0952037914576052,5,threshold_70,0.25,0.7
utc,discovery,2022,-0.0952105858662236,5,threshold_70,0.25,0.7
utc,confirmatory,2023,-0.219029898246264,5,threshold_70,0.25,0.7
utc,confirmatory,2024,-0.0165382744356681,5,threshold_70,0.25,0.7
utc,confirmatory,2025,-0.136456595769115,5,threshold_70,0.25,0.7
utc,confirmatory,1991,0.0511290902234138,5,threshold_80,0.25,0.8
utc,confirmatory,1992,-0.00655406652654164,5,threshold_80,0.25,0.8
utc,confirmatory,1993,-0.0221558490981539,5,threshold_80,0.25,0.8
