day_definition,analysis_role,year,metric,yearly_relative_effect,months
utc,confirmatory,1991,spatial_variance,-0.0118722239318564,3
utc,confirmatory,1992,spatial_variance,-0.0744118213900396,3
utc,confirmatory,1993,spatial_variance,-0.0779007587518848,3
utc,confirmatory,1994,spatial_variance,-0.07345314477998,3
utc,confirmatory,1995,spatial_variance,-0.118456250932205,3
utc,confirmatory,1996,spatial_variance,-0.184176084340306,3
utc,confirmatory,1997,spatial_variance,-0.201775608657725,3
utc,confirmatory,1998,spatial_variance,-0.0644363069778546,3
utc,confirmatory,1999,spatial_variance,-0.24093784231409,3
utc,confirmatory,2000,spatial_variance,-0.258977803021976,3
utc,confirmatory,2001,spatial_variance,-0.158836387662515,3
utc,confirmatory,2002,spatial_variance,-0.00562931305267785,3
utc,confirmatory,2003,spatial_variance,-0.122644248451534,3
utc,confirmatory,2004,spatial_variance,-0.15906374973336,3
utc,confirmatory,2005,spatial_variance,-0.195220928226279,3
utc,confirmatory,2006,spatial_variance,-0.171287428788064,3
utc,confirmatory,2007,spatial_variance,-0.151442372367193,3
utc,confirmatory,2008,spatial_variance,-0.0969090000945734,3
utc,confirmatory,2009,spatial_variance,-0.173105004022612,3
utc,confirmatory,2010,spatial_variance,-0.153390150584167,3
utc,confirmatory,2011,spatial_variance,-0.163305272720073,3
utc,confirmatory,2012,spatial_variance,-0.374903767862863,3
utc,confirmatory,2013,spatial_variance,-0.113080621438268,3
utc,confirmatory,2014,spatial_variance,-0.0225609495954257,3
utc,discovery,2015,spatial_variance,-0.303845117203144,3
utc,confirmatory,2016,spatial_variance,-0.00124930886700403,3
utc,confirmatory,2017,spatial_variance,-0.137369358939067,3
utc,confirmatory,2018,spatial_variance,-0.258178357415774,3
utc,confirmatory,2019,spatial_variance,-0.144754951025288,3
utc,confirmatory,2020,spatial_variance,-0.116198479193575,3
utc,confirmatory,2021,spatial_variance,-0.132777770867351,3
utc,discovery,2022,spatial_variance,-0.226013035925957,3
utc,confirmatory,2023,spatial_variance,-0.274605371579289,3
utc,confirmatory,2024,spatial_variance,-0.0842335203071182,3
utc,confirmatory,2025,spatial_variance,-0.252651216760884,3
utc,confirmatory,1991,graph_h_0.125,0.0728104103348761,3
utc,confirmatory,1992,graph_h_0.125,0.0469622102652186,3
utc,confirmatory,1993,graph_h_0.125,-0.0168806595686261,3
utc,confirmatory,1994,graph_h_0.125,0.0382724642248152,3
utc,confirmatory,1995,graph_h_0.125,0.0071882249179143,3
utc,confirmatory,1996,graph_h_0.125,-0.0692398000783272,3
utc,confirmatory,1997,graph_h_0.125,-0.0743258900264881,3
utc,confirmatory,1998,graph_h_0.125,-0.00115279621032564,3
utc,confirmatory,1999,graph_h_0.125,-0.107182387745874,3
utc,confirmatory,2000,graph_h_0.125,-0.110360130100906,3
utc,confirmatory,2001,graph_h_0.125,-0.0677674123387186,3
utc,confirmatory,2002,graph_h_0.125,0.0252865627660573,3
utc,confirmatory,2003,graph_h_0.125,0.00959803450263101,3
utc,confirmatory,2004,graph_h_0.125,-8.81542141653776e-05,3
utc,confirmatory,2005,graph_h_0.125,-0.0504887663811848,3
utc,confirmatory,2006,graph_h_0.125,-0.0400547114878037,3
utc,confirmatory,2007,graph_h_0.125,0.0468949235201491,3
utc,confirmatory,2008,graph_h_0.125,0.0321173205929446,3
utc,confirmatory,2009,graph_h_0.125,-0.0841417310213148,3
utc,confirmatory,2010,graph_h_0.125,-0.00842748042416882,3
utc,confirmatory,2011,graph_h_0.125,-0.0158478818703253,3
utc,confirmatory,2012,graph_h_0.125,-0.15719744091093,3
utc,confirmatory,2013,graph_h_0.125,0.0081760839155226,3
utc,confirmatory,2014,graph_h_0.125,-0.00628986025451676,3
utc,discovery,2015,graph_h_0.125,-0.123079427138251,3
utc,confirmatory,2016,graph_h_0.125,0.0791235786353605,3
utc,confirmatory,2017,graph_h_0.125,-0.0312266405911891,3
utc,confirmatory,2018,graph_h_0.125,-0.0938305446840039,3
utc,confirmatory,2019,graph_h_0.125,-0.067148573949525,3
utc,confirmatory,2020,graph_h_0.125,-0.0212655197749972,3
utc,confirmatory,2021,graph_h_0.125,-0.0701670121205107,3
utc,discovery,2022,graph_h_0.125,0.0335208556723568,3
utc,confirmatory,2023,graph_h_0.125,-0.136173247022488,3
utc,confirmatory,2024,graph_h_0.125,0.0402269224876415,3
utc,confirmatory,2025,graph_h_0.125,-0.119882797763782,3
utc,confirmatory,1991,graph_h_0.250,0.0772193043969679,3
utc,confirmatory,1992,graph_h_0.250,0.0357621114741342,3
utc,confirmatory,1993,graph_h_0.250,-0.0077644076883164,3
utc,confirmatory,1994,graph_h_0.250,0.044874376423918,3
utc,confirmatory,1995,graph_h_0.250,-0.0125260205932586,3
utc,confirmatory,1996,graph_h_0.250,-0.0618795490724397,3
utc,confirmatory,1997,graph_h_0.250,-0.101542941452297,3
utc,confirmatory,1998,graph_h_0.250,0.00182770212113067,3
utc,confirmatory,1999,graph_h_0.250,-0.137737525201367,3
utc,confirmatory,2000,graph_h_0.250,-0.132511514090615,3
utc,confirmatory,2001,graph_h_0.250,-0.0721552042248397,3
utc,confirmatory,2002,graph_h_0.250,0.0229622544984481,3
utc,confirmatory,2003,graph_h_0.250,0.00722706547793043,3
utc,confirmatory,2004,graph_h_0.250,-0.0100055813115597,3
utc,confirmatory,2005,graph_h_0.250,-0.0650721707589446,3
utc,confirmatory,2006,graph_h_0.250,-0.0530504371221135,3
utc,confirmatory,2007,graph_h_0.250,0.0442564225238167,3
utc,confirmatory,2008,graph_h_0.250,0.0127545300339518,3
utc,confirmatory,2009,graph_h_0.250,-0.0865327532762421,3
utc,confirmatory,2010,graph_h_0.250,-0.0187952931947101,3
utc,confirmatory,2011,graph_h_0.250,-0.0260348482477945,3
utc,confirmatory,2012,graph_h_0.250,-0.22059433230254,3
utc,confirmatory,2013,graph_h_0.250,-0.0101326410670987,3
utc,confirmatory,2014,graph_h_0.250,-0.000154558802731482,3
utc,discovery,2015,graph_h_0.250,-0.166616624996464,3
utc,confirmatory,2016,graph_h_0.250,0.082525669920732,3
utc,confirmatory,2017,graph_h_0.250,-0.0318802981147309,3
utc,confirmatory,2018,graph_h_0.250,-0.112763271908289,3
utc,confirmatory,2019,graph_h_0.250,-0.0759870318800792,3
utc,confirmatory,2020,graph_h_0.250,-0.0297781700532905,3
utc,confirmatory,2021,graph_h_0.250,-0.0680958665399885,3
utc,discovery,2022,graph_h_0.250,-0.00651240722892503,3
utc,confirmatory,2023,graph_h_0.250,-0.174558395850552,3
utc,confirmatory,2024,graph_h_0.250,0.026664413704038,3
utc,confirmatory,2025,graph_h_0.250,-0.14827745530546,3
utc,confirmatory,1991,graph_h_0.500,0.0841929483340979,3
utc,confirmatory,1992,graph_h_0.500,0.0290348609692341,3
utc,confirmatory,1993,graph_h_0.500,-0.00453338941520938,3
utc,confirmatory,1994,graph_h_0.500,0.0378557097944356,3
utc,confirmatory,1995,graph_h_0.500,-0.0544034124062934,3
utc,confirmatory,1996,graph_h_0.500,-0.0631009536661929,3
utc,confirmatory,1997,graph_h_0.500,-0.137180895383376,3
utc,confirmatory,1998,graph_h_0.500,-0.00254242751816947,3
utc,confirmatory,1999,graph_h_0.500,-0.166321158710419,3
utc,confirmatory,2000,graph_h_0.500,-0.167465437590459,3
utc,confirmatory,2001,graph_h_0.500,-0.0834092261189106,3
utc,confirmatory,2002,graph_h_0.500,0.0325062604442615,3
utc,confirmatory,2003,graph_h_0.500,-0.00461815918625408,3
utc,confirmatory,2004,graph_h_0.500,-0.0316132102774909,3
utc,confirmatory,2005,graph_h_0.500,-0.089872883585345,3
utc,confirmatory,2006,graph_h_0.500,-0.0871037914247244,3
utc,confirmatory,2007,graph_h_0.500,0.0107483058646041,3
utc,confirmatory,2008,graph_h_0.500,-0.0184360023692082,3
utc,confirmatory,2009,graph_h_0.500,-0.105173919999568,3
utc,confirmatory,2010,graph_h_0.500,-0.0411858363557323,3
utc,confirmatory,2011,graph_h_0.500,-0.045185232123702,3
utc,confirmatory,2012,graph_h_0.500,-0.300720077034793,3
utc,confirmatory,2013,graph_h_0.500,-0.0343228410880713,3
utc,confirmatory,2014,graph_h_0.500,0.0183011762108167,3
utc,discovery,2015,graph_h_0.500,-0.22276200196,3
utc,confirmatory,2016,graph_h_0.500,0.0720613647047562,3
utc,confirmatory,2017,graph_h_0.500,-0.0459666813863084,3
utc,confirmatory,2018,graph_h_0.500,-0.133525278570567,3
utc,confirmatory,2019,graph_h_0.500,-0.0855768236917217,3
utc,confirmatory,2020,graph_h_0.500,-0.0584645738217068,3
utc,confirmatory,2021,graph_h_0.500,-0.0706766462904355,3
utc,discovery,2022,graph_h_0.500,-0.0860933695694468,3
utc,confirmatory,2023,graph_h_0.500,-0.216359272784755,3
utc,confirmatory,2024,graph_h_0.500,0.000943782034090475,3
utc,confirmatory,2025,graph_h_0.500,-0.187091558216331,3
utc,confirmatory,1991,graph_h_1.000,0.0417117272560609,3
utc,confirmatory,1992,graph_h_1.000,-0.020332868128934,3
utc,confirmatory,1993,graph_h_1.000,-0.0387083344701543,3
utc,confirmatory,1994,graph_h_1.000,-0.0169828077791292,3
utc,confirmatory,1995,graph_h_1.000,-0.0962045925376297,3
utc,confirmatory,1996,graph_h_1.000,-0.125820438205431,3
utc,confirmatory,1997,graph_h_1.000,-0.175340087279025,3
utc,confirmatory,1998,graph_h_1.000,-0.0353998162898714,3
utc,confirmatory,1999,graph_h_1.000,-0.204904293245616,3
utc,confirmatory,2000,graph_h_1.000,-0.21902491624923,3
utc,confirmatory,2001,graph_h_1.000,-0.121156899890626,3
utc,confirmatory,2002,graph_h_1.000,0.0211157904918054,3
utc,confirmatory,2003,graph_h_1.000,-0.0699852807298201,3
utc,confirmatory,2004,graph_h_1.000,-0.0975191114757803,3
utc,confirmatory,2005,graph_h_1.000,-0.1445061924135,3
utc,confirmatory,2006,graph_h_1.000,-0.137148251828098,3
utc,confirmatory,2007,graph_h_1.000,-0.0777551608583054,3
utc,confirmatory,2008,graph_h_1.000,-0.0632149565716343,3
utc,confirmatory,2009,graph_h_1.000,-0.144531858280787,3
utc,confirmatory,2010,graph_h_1.000,-0.0975469252224275,3
utc,confirmatory,2011,graph_h_1.000,-0.109016879809027,3
utc,confirmatory,2012,graph_h_1.000,-0.350954295420711,3
utc,confirmatory,2013,graph_h_1.000,-0.0782294775280763,3
utc,confirmatory,2014,graph_h_1.000,0.00178584752558201,3
utc,discovery,2015,graph_h_1.000,-0.270982009165673,3
utc,confirmatory,2016,graph_h_1.000,0.0337330147212309,3
utc,confirmatory,2017,graph_h_1.000,-0.0928970639913206,3
utc,confirmatory,2018,graph_h_1.000,-0.194482989369864,3
utc,confirmatory,2019,graph_h_1.000,-0.112835521990278,3
utc,confirmatory,2020,graph_h_1.000,-0.0954080150388683,3
utc,confirmatory,2021,graph_h_1.000,-0.102657020283418,3
utc,discovery,2022,graph_h_1.000,-0.167342055529632,3
utc,confirmatory,2023,graph_h_1.000,-0.248661974113393,3
utc,confirmatory,2024,graph_h_1.000,-0.0467310231454683,3
utc,confirmatory,2025,graph_h_1.000,-0.226060017623234,3
utc,confirmatory,1991,graph_h_2.000,0.00476602527898155,3
utc,confirmatory,1992,graph_h_2.000,-0.0581011831111122,3
utc,confirmatory,1993,graph_h_2.000,-0.0660195098865772,3
