source,bandwidth_km,years,estimate,standard_error,ci_lower,ci_upper,negative_years
31_point_curve,125.79976503129836,33,-0.028560081890210826,0.010738068622577444,-0.05043281191190151,-0.006687351868520149,22
31_point_curve,137.9803247260425,33,-0.029583342164471036,0.010906853703579297,-0.051799876145533,-0.007366808183409072,22
31_point_curve,151.34026686589957,33,-0.030760260225518084,0.011094866108948628,-0.05335976294406097,-0.008160757506975192,22
31_point_curve,165.9937851321695,33,-0.0321067754704991,0.011304035999969058,-0.05513234331450942,-0.009081207626488782,22
31_point_curve,182.06613000702586,33,-0.03360267671544528,0.011536200660554238,-0.057101148497774645,-0.010104204933115906,23
31_point_curve,199.6946793480354,33,-0.035209112974398216,0.011793006037398227,-0.059230680191600944,-0.011187545757195487,23
31_point_curve,219.0301126210337,33,-0.036882991435833845,0.012075234576969011,-0.061479439375764354,-0.012286543495903336,23
31_point_curve,240.23769882807687,33,-0.0385886187963558,0.012381843382532565,-0.06380960843573719,-0.013367629156974415,23
31_point_curve,263.4987091389892,33,-0.0403098406698299,0.012709150899401465,-0.06619753390388668,-0.014422147435773122,22
31_point_curve,289.01196630093193,33,-0.04206324973851443,0.01305042539131959,-0.06864609636443164,-0.015480403112597216,22
31_point_curve,316.99554406952353,33,-0.04390941382321161,0.013395983330194716,-0.07119613893692091,-0.01662268870950231,22
31_point_curve,347.68863118734225,33,-0.045956422395830386,0.013733858951392485,-0.07393137762829972,-0.01798146716336105,22
31_point_curve,381.35357584210885,33,-0.04835015703915352,0.014051049350790861,-0.07697120797238283,-0.019729106105924207,23
31_point_curve,418.2781280794939,33,-0.05124984473260631,0.014335186494378588,-0.08044966408772497,-0.022050025377487646,23
31_point_curve,458.77789933749733,33,-0.054794011918279706,0.014576288724967506,-0.08448494044606754,-0.02510308339049187,23
31_point_curve,503.1990601251935,33,-0.05906682668665214,0.01476815009287179,-0.08914856403204607,-0.0289850893412582,25
31_point_curve,551.9212989041702,33,-0.06407491474125211,0.014909027927007337,-0.09444361084435118,-0.03370621863815304,26
31_point_curve,605.3610674635984,33,-0.06974059793959925,0.015001524015445387,-0.10029770240937742,-0.03918349346982107,27
31_point_curve,663.9751405286781,33,-0.07591218814207061,0.015051773060979469,-0.1065716465681742,-0.04525272971596702,27
31_point_curve,728.2645200281036,33,-0.08238776870937858,0.01506817279366328,-0.11308063229780967,-0.0516949051209475,27
31_point_curve,798.7787173921417,33,-0.08894613214319314,0.01505994311774653,-0.11962223243034352,-0.05827003185604275,28
31_point_curve,876.120450484135,33,-0.09537726291441297,0.015035818028847993,-0.12600422200357198,-0.06475030382525396,29
31_point_curve,960.9507953123076,33,-0.10150566481259164,0.01500312175168849,-0.13206602376459745,-0.07094530586058584,29
31_point_curve,1053.9948365559571,33,-0.10720295200779197,0.014967341046450694,-0.13769042804824638,-0.07671547596733755,29
31_point_curve,1156.047865203728,33,-0.11238994519890735,0.014932139392652654,-0.1428057178169956,-0.0819741725808191,30
31_point_curve,1267.9821762780944,33,-0.11703119163390663,0.014899652611444865,-0.14738079084413105,-0.08668159242368222,30
31_point_curve,1390.7545247493692,33,-0.12112561462882299,0.01487089195439466,-0.151416630297722,-0.09083459895992396,30
31_point_curve,1525.4143033684356,33,-0.12469635886262664,0.014846129721624066,-0.15493693551393672,-0.09445578221131656,30
31_point_curve,1673.1125123179759,33,-0.1277817164788969,0.014825206206395596,-0.15797967332437574,-0.09758375963341809,30
31_point_curve,1835.1115973499898,33,-0.1304279454585241,0.014807745003420875,-0.1605903349974468,-0.1002655559196014,30
31_point_curve,2012.7962405007745,33,-0.13268407983747452,0.014793289252567456,-0.16281702397547912,-0.10255113569946991,30
prespecified_scale,125.799765031298,33,-0.0285600818902134,0.0107380686225776,-0.0504328119119044,-0.0066873518685223,22
prespecified_scale,251.599530062597,33,-0.0394471641661876,0.0125432575370933,-0.0649969436791001,-0.0138973846532751,23
prespecified_scale,503.199060125194,33,-0.0590668266866499,0.0147681500928716,-0.0891485640320435,-0.0289850893412564,25
prespecified_scale,1006.39812025039,33,-0.104414263326514,0.0149853477979782,-0.134938417919563,-0.0738901087334662,29
prespecified_scale,2012.79624050077,33,-0.132684079837477,0.0147932892525676,-0.162817023975481,-0.102551135699472,30
