kernel,h_factor,bandwidth_km,nearest_neighbour_km_median,weighted_distance_mean_km,weighted_distance_median_km,weighted_distance_q10_km,weighted_distance_q90_km,effective_edges,mean_effective_neighbours,total_edges
Gaussian,0.125,125.7997650312984,150.17809275494437,200.25494508122236,199.02599999999984,150.17809275494437,249.3287151924406,366.19505742533363,6.07451709117417,7260.0
Gaussian,0.25,251.5995300625968,150.17809275494437,318.70314729941117,249.32871519244097,150.17809275494437,498.657430384879,1138.1619008249222,18.8765086154853,7260.0
Gaussian,0.5,503.1990601251936,150.17809275494437,548.5809627287969,498.6574303848783,199.0260000000003,922.7870243140918,3222.65773927188,53.38500270614344,7260.0
Gaussian,1.0,1006.3981202503873,150.17809275494437,825.9510192803695,776.8190505283819,300.35618550988875,1410.6186731090074,6004.801365533015,99.78797896714455,7260.0
Gaussian,2.0,2012.7962405007745,150.17809275494437,991.8466927476304,959.3428097775131,360.3126237728157,1693.9391851896003,7108.9101141471165,117.75780355544288,7260.0
Exponential,0.125,62.913519119518426,150.17809275494437,200.2549450812224,199.02599999999939,150.17809275494255,249.32871519244134,334.40956731011005,5.560300285009963,7260.0
Exponential,0.25,153.2141941215794,150.17809275494437,318.7031472994111,249.32871519243986,150.17809275494437,597.078,1006.3909935325304,16.73838815866747,7260.0
Exponential,0.5,367.27733687324354,150.17809275494437,548.5809627287969,492.5367849893167,199.02599999999984,1006.3981202503868,2961.6096771403127,49.16153292662824,7260.0
Exponential,1.0,1035.552074935981,150.17809275494437,825.9510192803693,750.89046377472,249.32871519243986,1464.2189798713898,5937.018151059551,98.84342613578019,7260.0
Exponential,2.0,3602.7227095651187,150.17809275494437,991.8466927476304,922.7870243140918,360.3126237728157,1701.7584046979764,7112.20912682922,117.79570264480047,7260.0
Compact quadratic,0.125,396.65690553239517,150.17809275494437,200.2549450812224,199.02599999999984,150.17809275494437,249.3287151924406,381.9346399475902,6.32773248619276,7260.0
Compact quadratic,0.25,775.2035592841303,150.17809275494437,318.70314729941117,300.3561855098877,150.17809275494437,498.657430384879,1162.8057341228855,19.281482210326093,7260.0
Compact quadratic,0.5,1543.920279253981,150.17809275494437,548.5809627287969,498.657430384879,199.0260000000003,959.3428097775131,3240.1307225445325,53.68149724380352,7260.0
Compact quadratic,1.0,3160.513362049418,150.17809275494437,825.9510192803692,776.8190505283802,249.3287151924406,1434.5751440750464,5994.545306793811,99.66757368627309,7260.0
Compact quadratic,2.0,8366.904603321327,150.17809275494437,991.8466927476304,922.7870243140918,360.3126237728157,1701.758404697976,7113.023545198224,117.81225227555227,7260.0
