analysis,estimand,n_years,estimate,se,ci_lower,ci_upper,p_one_sided,transformed_effect,transformed_ci_lower,transformed_ci_upper
area_weighted_fixed_labels,ratio_effect,33,-0.08108217763195064,0.012711852688001669,-0.10697537422929415,-0.05518898103460712,1.822592041917451e-07,,,
area_weighted_relabelled_primary_hours,ratio_effect,33,-0.07674738870806012,0.012456745910603181,-0.102120949804378,-0.051373827611742244,3.407034166915625e-07,,,
compact_quadratic_matched_distance,ratio_effect,33,-0.07333590218368759,0.013296295365563735,-0.10041956955829837,-0.0462522348090768,2.215971989393664e-06,,,
equal_site_ratio,ratio_effect,33,-0.07283448318140784,0.013325741361000521,-0.09997813008595519,-0.04569083627686049,2.561778625405608e-06,,,
exponential_matched_distance,ratio_effect,33,-0.07707605484860856,0.013284989198289283,-0.10413669231411128,-0.050015417383105845,9.641996919741983e-07,,,
leave_one_year_daily_climatology_anomaly,ratio_effect,33,-0.09808325448407179,0.021651815091152465,-0.14218655858967286,-0.053979950378470726,3.872045100544356e-05,,,
site_month_climatology_anomaly,ratio_effect,33,-0.03919404953463956,0.023304293121281922,-0.08666334123914658,0.008275242169867456,0.051167854851278845,,,
site_month_standardised_anomaly,ratio_effect,33,-0.09872868615034212,0.019315862824751007,-0.13807381119577886,-0.059383561104905384,7.1890300150944775e-06,,,
site_year_month_anomaly,ratio_effect,33,-0.013224642204755797,0.021160409856382102,-0.05632698660250227,0.029877702192990678,0.26821077040567987,,,
site_year_month_linear_detrended,ratio_effect,33,-0.0880729562536372,0.022674217768390063,-0.1342588264629464,-0.041887086044328,0.00024212385818909497,,,
equal_site_ratio,log_effect,33,-0.08663070419191828,0.015021472919993407,-0.11722844325053582,-0.056032965133300736,1.066148668084803e-06,-0.08298431684243712,-0.11061800335942273,-0.05449203341950637
