analysis,scale,n_years,estimate,se,ci_lower,ci_upper,p_one_sided
area_weighted_fixed_labels,1006.398120,33,-0.1130837739709382,0.014510361898679925,-0.14264041394803237,-0.08352713399384404,3.4418366543443294e-09
area_weighted_fixed_labels,125.799765,33,-0.0352834601691061,0.00998146575497475,-0.05561504058201932,-0.01495187975619288,0.0006335425027407529
area_weighted_fixed_labels,2012.796241,33,-0.1404428419636436,0.014414049828290885,-0.16980330067318464,-0.11108238325410255,2.1325424172464867e-11
area_weighted_fixed_labels,251.599530,33,-0.04804239473017916,0.011789997097233948,-0.0720578329368328,-0.02402695652352553,0.00014183939185273485
area_weighted_fixed_labels,503.199060,33,-0.06855841732588608,0.01411289641392606,-0.09730544660421056,-0.0398113880475616,1.5012439521766113e-05
area_weighted_relabelled_primary_hours,1006.398120,33,-0.10717838013414213,0.014361496175906143,-0.1364317905568201,-0.07792496971146418,8.536262013464082e-09
area_weighted_relabelled_primary_hours,125.799765,33,-0.033640949731308156,0.009459638425632364,-0.052909602657555135,-0.014372296805061177,0.0005978281077920033
area_weighted_relabelled_primary_hours,2012.796241,33,-0.1336285891594442,0.01427637736400163,-0.16270861823599814,-0.10454856008289025,5.571966810390254e-11
area_weighted_relabelled_primary_hours,251.599530,33,-0.045180614760207544,0.011410935118092293,-0.06842392898230956,-0.021937300538105525,0.00019624334550366702
area_weighted_relabelled_primary_hours,503.199060,33,-0.06410840975519869,0.013875344949353765,-0.09237156253454808,-0.035845256975849296,2.9850494698565173e-05
compact_quadratic_matched_distance,1006.398120,33,-0.10759570345409178,0.014905194666182738,-0.13795659146040304,-0.0772348154477805,1.6837296463361356e-08
compact_quadratic_matched_distance,125.799765,33,-0.028218441016995773,0.01072604253382592,-0.05006667469751706,-0.006370207336474486,0.006495831041403974
compact_quadratic_matched_distance,2012.796241,33,-0.13422397947806555,0.01475692960812979,-0.16428286144395873,-0.10416509751217237,1.0930531011389171e-10
compact_quadratic_matched_distance,251.599530,33,-0.03941586771530252,0.012499220778088935,-0.06487594728546119,-0.013955788145143855,0.0017483644879698953
compact_quadratic_matched_distance,503.199060,33,-0.05722551925398238,0.014856065468315855,-0.08748633435902115,-0.026964704148943613,0.00026491027248592644
equal_site_ratio,1006.398120,33,-0.10441426332651235,0.014985347797978135,-0.1349384179195604,-0.07389010873346429,3.405621286014686e-08
equal_site_ratio,125.799765,33,-0.028560081890210982,0.010738068622577424,-0.05043281191190162,-0.006687351868520347,0.006058408482535614
equal_site_ratio,2012.796241,33,-0.13268407983747438,0.014793289252567444,-0.16281702397547895,-0.10255113569946979,1.5134441726882682e-10
equal_site_ratio,251.599530,33,-0.03944716416618962,0.012543257537093427,-0.06499694367910244,-0.013897384653276789,0.001787837072013731
equal_site_ratio,503.199060,33,-0.05906682668665189,0.014768150092871767,-0.08914856403204578,-0.028985089341258,0.00017530954836988654
exponential_matched_distance,1006.398120,33,-0.11127557065115336,0.014800460014265448,-0.14142312115275862,-0.0811280201495481,7.322194292067888e-09
exponential_matched_distance,125.799765,33,-0.02867585976957681,0.0107816562183849,-0.05063737481852895,-0.006714344720624668,0.006058615551987251
exponential_matched_distance,2012.796241,33,-0.13451537487936388,0.014749867727437737,-0.16455987226500787,-0.10447087749371989,1.0275370029991308e-10
exponential_matched_distance,251.599530,33,-0.04125847692311022,0.012712942242959208,-0.06715389287127628,-0.015363060974944165,0.001374255466154282
exponential_matched_distance,503.199060,33,-0.06965499201983859,0.014513312209014575,-0.09921764158242695,-0.04009234245725023,1.7785417155576348e-05
leave_one_year_daily_climatology_anomaly,1006.398120,33,-0.08278692304049692,0.02640751284529861,-0.13657726647293658,-0.02899657960805726,0.0018345238989415167
leave_one_year_daily_climatology_anomaly,125.799765,33,-0.11104699816943715,0.016828776897077374,-0.14532609496074508,-0.07676790137812922,9.70535882699076e-08
leave_one_year_daily_climatology_anomaly,2012.796241,33,-0.06421018145844445,0.028110671566638084,-0.12146974567958536,-0.006950617237303544,0.014569027640321688
leave_one_year_daily_climatology_anomaly,251.599530,33,-0.12148131027871747,0.01947865125043015,-0.16115802449634944,-0.0818045960610855,2.7404169286452993e-07
leave_one_year_daily_climatology_anomaly,503.199060,33,-0.11089085947326306,0.023100813664826157,-0.1579456770882062,-0.06383604185831993,1.7738343727948694e-05
site_month_climatology_anomaly,1006.398120,33,0.003727847397645413,0.02939870627516135,-0.056155357668820446,0.06361105246411128,0.5500551648401723
site_month_climatology_anomaly,125.799765,33,-0.09387888338914657,0.017234692331493152,-0.12898480286344108,-0.05877296391485206,2.7044101973506174e-06
site_month_climatology_anomaly,2012.796241,33,0.04225179955209778,0.032075605650473876,-0.023084071109029686,0.10758767021322524,0.9014462959690484
site_month_climatology_anomaly,251.599530,33,-0.09166661374336475,0.019987210511031063,-0.13237922927604012,-0.050953998210689376,3.293026234021035e-05
site_month_climatology_anomaly,503.199060,33,-0.05640439749042969,0.024455994158314214,-0.10621962743896537,-0.006589167541894016,0.013859128848621338
site_month_standardised_anomaly,1006.398120,33,-0.08200117144872515,0.022897385717346994,-0.12864161989445633,-0.03536072300299398,0.0005585282391984547
