simulation,delta,p_value,rejects_05
1,-0.177151662038766,0.187,FALSE
2,0.215385069744216,0.835,FALSE
3,-0.110572804469427,0.234,FALSE
4,0.106262413370423,0.71,FALSE
5,-0.406056238835345,0.061,FALSE
6,-0.184902231032533,0.146,FALSE
7,-0.369600528192978,0.012,TRUE
8,-0.0235688510164986,0.439,FALSE
9,0.150146982719734,0.779,FALSE
10,0.188745444848556,0.851,FALSE
11,0.0100586848295049,0.521,FALSE
12,0.197116410722405,0.842,FALSE
13,-0.169757924834654,0.129,FALSE
14,0.264274084630774,0.864,FALSE
15,-0.158335796267223,0.246,FALSE
16,0.320934882030901,0.952,FALSE
17,-0.275871467033228,0.062,FALSE
18,-0.458611891330483,0.012,TRUE
19,-0.159023129844155,0.195,FALSE
20,-0.0521535753379602,0.432,FALSE
21,0.146241737670657,0.796,FALSE
22,-0.384675753851199,0.038,TRUE
23,-0.0427430783276445,0.416,FALSE
24,0.0641136078405478,0.617,FALSE
25,0.165688262157933,0.779,FALSE
26,0.20060015662221,0.879,FALSE
27,0.0780214208002444,0.661,FALSE
28,-0.175391257458306,0.187,FALSE
29,-0.224677178019157,0.119,FALSE
30,0.529446348846444,0.999,FALSE
31,0.148134459728923,0.796,FALSE
32,0.414890603564089,0.971,FALSE
33,-0.0824065982992773,0.335,FALSE
34,0.267838685946123,0.901,FALSE
35,-0.166451606945696,0.198,FALSE
36,0.0781830004977414,0.627,FALSE
37,-0.0753824412164479,0.338,FALSE
38,0.276204826417159,0.934,FALSE
39,-0.184098728832232,0.164,FALSE
40,-0.0262101441195799,0.463,FALSE
41,0.10106207645771,0.749,FALSE
42,-0.148674369097015,0.223,FALSE
43,-0.145307348505864,0.21,FALSE
44,0.0100526614127424,0.507,FALSE
45,0.0684448769961101,0.659,FALSE
46,-0.539269343404797,0.01,TRUE
47,-0.227943769886923,0.149,FALSE
48,0.17905514062191,0.848,FALSE
49,-0.557539938569629,0.004,TRUE
50,0.16463820024177,0.871,FALSE
51,-0.117839971676752,0.316,FALSE
52,0.0662447657253269,0.654,FALSE
53,-0.158768226716342,0.219,FALSE
54,-0.0318377626979405,0.454,FALSE
55,0.0966488620436613,0.682,FALSE
56,0.021691084250384,0.51,FALSE
57,-0.215844072993785,0.168,FALSE
58,-0.333697420126084,0.053,FALSE
59,0.0469261892167861,0.587,FALSE
60,-0.202174175631177,0.118,FALSE
61,-0.0231833275911099,0.463,FALSE
62,-0.0260903567652578,0.428,FALSE
63,0.0615052364049581,0.651,FALSE
64,-0.0177660048191023,0.474,FALSE
65,0.138366975465097,0.765,FALSE
66,0.283550033102936,0.95,FALSE
67,0.0224119499710098,0.545,FALSE
