lat,regime,anomaly
20.4,Middle days,5.06128452635018
20.5,Middle days,5.00356754067309
20.6,Middle days,4.95615716098921
20.7,Middle days,4.90458543569906
20.8,Middle days,4.86169865611088
20.9,Middle days,4.78345865308512
21,Middle days,4.7724230111045
21.1,Middle days,4.72714266364485
21.2,Middle days,4.66832996334933
21.3,Middle days,4.61540439763163
21.4,Middle days,4.56490756721412
21.5,Middle days,4.59133768997957
21.6,Middle days,4.59614088463691
21.7,Middle days,4.60427220292467
21.8,Middle days,4.56250758058327
21.9,Middle days,4.52497097805055
22,Middle days,4.44494287559641
22.1,Middle days,4.36455101886422
22.2,Middle days,4.33177831704198
22.3,Middle days,4.2958593140112
22.4,Middle days,4.18999536698763
22.5,Middle days,4.0667019045723
22.6,Middle days,4.01895832833214
22.7,Middle days,3.95149207905438
22.8,Middle days,3.91315518473175
22.9,Middle days,3.82816115253364
23,Middle days,3.76935230055485
23.1,Middle days,3.69934753358255
23.2,Middle days,3.6308115675588
23.3,Middle days,3.59378116497125
23.4,Middle days,3.53506526989277
23.5,Middle days,3.47335676157519
23.6,Middle days,3.39095718705767
23.7,Middle days,3.32234648340995
23.8,Middle days,3.26657461571411
23.9,Middle days,3.19298057401658
24,Middle days,3.11777239527633
24.1,Middle days,3.04255146679232
24.2,Middle days,2.97335216365422
24.3,Middle days,2.89626789457201
24.4,Middle days,2.82085930666834
24.5,Middle days,2.74076876601614
24.6,Middle days,2.66899168574185
24.7,Middle days,2.6000680327312
24.8,Middle days,2.5274695167624
24.9,Middle days,2.4604115476408
25,Middle days,2.39262136656181
25.1,Middle days,2.33063326135406
25.2,Middle days,2.27195630632292
25.3,Middle days,2.21461705399485
25.4,Middle days,2.1555047937199
25.5,Middle days,2.10907892090226
25.6,Middle days,2.06094484992051
25.7,Middle days,2.01574610321745
25.8,Middle days,1.98005627429558
25.9,Middle days,1.94772169935417
26,Middle days,1.91589278916686
26.1,Middle days,1.89468948157053
26.2,Middle days,1.88324577602558
26.3,Middle days,1.87416547650814
26.4,Middle days,1.86966311086781
26.5,Middle days,1.86800480847589
26.6,Middle days,1.86976906249382
26.7,Middle days,1.87889322191952
26.8,Middle days,1.89254110186623
26.9,Middle days,1.90852466760427
27,Middle days,1.92782597679957
27.1,Middle days,1.94976786958389
27.2,Middle days,1.97441699862733
27.3,Middle days,2.00107093408116
27.4,Middle days,2.02981239836522
27.5,Middle days,2.05999461049744
27.6,Middle days,2.09200634029489
27.7,Middle days,2.1253345262459
27.8,Middle days,2.15881156699562
27.9,Middle days,2.19284860251531
28,Middle days,2.2287073991093
28.1,Middle days,2.26210278598802
28.2,Middle days,2.29633006528329
28.3,Middle days,2.33121503464635
28.4,Middle days,2.36428496008588
28.5,Middle days,2.39676078208455
28.6,Middle days,2.4275209538636
28.7,Middle days,2.45797874965409
28.8,Middle days,2.48715128314465
28.9,Middle days,2.51278829638688
29,Middle days,2.53834045382667
29.1,Middle days,2.55952403521366
29.2,Middle days,2.57995984047778
29.3,Middle days,2.60328032319077
29.4,Middle days,2.61821325019599
29.5,Middle days,2.62835472261589
29.6,Middle days,2.63466176005192
29.7,Middle days,2.64215839392254
29.8,Middle days,2.64708036708451
29.9,Middle days,2.64931299175964
30,Middle days,2.63996520832171
30.1,Middle days,2.63252160442062
30.2,Middle days,2.59816096076195
30.3,Middle days,2.5600755737802
30.4,Middle days,2.55478232727178
30.5,Middle days,2.53012228895036
30.6,Middle days,2.50591153202428
30.7,Middle days,2.4879450530199
30.8,Middle days,2.4589832780272
30.9,Middle days,2.44293952374157
31,Middle days,2.40403040756331
31.1,Middle days,2.36189086770447
31.2,Middle days,2.3104787721709
31.3,Middle days,2.25529502428675
31.4,Middle days,2.19653192757127
31.5,Middle days,2.14166200348645
31.6,Middle days,2.07666053737634
31.7,Middle days,2.00097526297022
31.8,Middle days,1.93871514129381
31.9,Middle days,1.9065729431665
32,Middle days,1.81665597842219
32.1,Middle days,1.76435277634433
32.2,Middle days,1.68628344077128
32.3,Middle days,1.61569941732336
32.4,Middle days,1.53410243382315
32.5,Middle days,1.44042194804751
32.6,Middle days,1.34411959789548
32.7,Middle days,1.25656650540374
32.8,Middle days,1.17910129502497
32.9,Middle days,1.10092384109386
33,Middle days,1.02212765081335
33.1,Middle days,0.942791477446568
33.2,Middle days,0.850082971818193
33.3,Middle days,0.769358768964175
33.4,Middle days,0.674523270631746
33.5,Middle days,0.592359610813215
33.6,Middle days,0.495357639906847
33.7,Middle days,0.411699441967953
33.8,Middle days,0.312498675222609
33.9,Middle days,0.227290409562084
34,Middle days,0.125901292956803
34.1,Middle days,0.0392260817542152
34.2,Middle days,-0.0479566139386299
34.3,Middle days,-0.151808031313243
34.4,Middle days,-0.273238142236402
34.5,Middle days,-0.413559129550289
34.6,Middle days,-0.538303225230211
34.7,Middle days,-0.645934817454847
34.8,Middle days,-0.791239663866213
34.9,Middle days,-0.880909495452824
35,Middle days,-0.951351311399571
35.1,Middle days,-1.02133198537144
35.2,Middle days,-1.10938921550629
35.3,Middle days,-1.17773979189502
35.4,Middle days,-1.24495827336457
35.5,Middle days,-1.31078667276559
35.6,Middle days,-1.37495963487246
35.7,Middle days,-1.41838056636024
35.8,Middle days,-1.47838135240826
35.9,Middle days,-1.53605585488309
36,Middle days,-1.59128943175944
36.1,Middle days,-1.66284556605065
36.2,Middle days,-1.69321077551423
36.3,Middle days,-1.72205191237107
36.4,Middle days,-1.76639845517063
36.5,Middle days,-1.80782111734687
36.6,Middle days,-1.86542486888678
36.7,Middle days,-1.84408583727107
36.8,Middle days,-1.84061045064629
36.9,Middle days,-1.81985011588464
37,Middle days,-1.80037326695318
37.1,Middle days,-1.82925846725453
37.2,Middle days,-1.98681747207468
37.3,Middle days,-2.06503516722977
37.4,Middle days,-2.12678517055901
37.5,Middle days,-2.36341844876961
37.6,Middle days,-2.51521694459803
37.7,Middle days,-2.60448078264951
37.8,Middle days,-2.77073380466797
37.9,Middle days,-2.86684879853867
38,Middle days,-2.94021545764535
38.1,Middle days,-2.99858555369796
38.2,Middle days,-3.32125850392739
38.3,Middle days,-3.45279247891757
38.4,Middle days,-3.57494216681088
38.5,Middle days,-3.63806130653497
38.6,Middle days,-3.76881089233977
38.7,Middle days,-3.83773827502122
38.8,Middle days,-3.84192393890411
38.9,Middle days,-3.77918609653739
39,Middle days,-3.84882383901331
39.1,Middle days,-3.85612132269461
39.2,Middle days,-3.60907237744993
39.3,Middle days,-3.60526477834524
39.4,Middle days,-3.50209930741174
39.5,Middle days,-3.5533550712042
39.6,Middle days,-3.61700572651946
39.7,Middle days,-3.62838166814677
39.8,Middle days,-3.60391368268863
39.9,Middle days,-3.58713098733654
40,Middle days,-3.66200666751456
40.1,Middle days,-3.7365699730517
40.2,Middle days,-3.83255161615452
40.3,Middle days,-3.93126571574468
40.4,Middle days,-4.05044632422976
40.5,Middle days,-4.1695813392816
40.6,Middle days,-4.25026996567075
40.7,Middle days,-4.33378525510027
40.8,Middle days,-4.39396304598893
40.9,Middle days,-4.35987237709205
41,Middle days,-4.45907422804235
41.1,Middle days,-4.57778197635733
41.2,Middle days,-4.696461705714
41.3,Middle days,-4.81497902685018
41.4,Middle days,-4.93322182891263
41.5,Middle days,-5.05108220686428
41.6,Middle days,-5.16845704613731
41.7,Middle days,-5.28524835170999
41.8,Middle days,-5.40136346262961
41.9,Middle days,-5.51671515256489
42,Middle days,-5.63122140281414
20.4,High days,3.84118967118678
20.5,High days,3.78663100659712
20.6,High days,3.74706036708239
20.7,High days,3.70309289542763
20.8,High days,3.66368062091556
20.9,High days,3.59236728542822
21,High days,3.5849031322999
21.1,High days,3.54494791966768
21.2,High days,3.49074302074175
21.3,High days,3.43893697389748
21.4,High days,3.39305810936601
21.5,High days,3.41798608915887
21.6,High days,3.42505372121202
21.7,High days,3.43724002996743
21.8,High days,3.39954651824131
21.9,High days,3.36608262604682
22,High days,3.29053624207941
22.1,High days,3.21498152179499
22.2,High days,3.188145301622
22.3,High days,3.15879817131635
22.4,High days,3.05785154770593
22.5,High days,2.94069684610755
22.6,High days,2.89930658234552
22.7,High days,2.83890096260759
22.8,High days,2.8076714504368
22.9,High days,2.73028355688993
23,High days,2.6790318345026
23.1,High days,2.61701710185676
23.2,High days,2.55628198278677
23.3,High days,2.52857573652444
23.4,High days,2.47886638327079
23.5,High days,2.42629172346884
23.6,High days,2.3525521756834
23.7,High days,2.29299378349262
23.8,High days,2.24702767363894
23.9,High days,2.18275341517492
24,High days,2.11698990505294
24.1,High days,2.05144693790243
24.2,High days,1.99219585888512
24.3,High days,1.92519084683588
24.4,High days,1.86079726505772
24.5,High days,1.78993829976818
24.6,High days,1.7287194662642
24.7,High days,1.670398104462
24.8,High days,1.60893820465141
24.9,High days,1.55294835650639
25,High days,1.4963464363461
25.1,High days,1.44720521486019
25.2,High days,1.40332553103474
25.3,High days,1.35813849095706
25.4,High days,1.31203221645468
25.5,High days,1.27670811055282
25.6,High days,1.24224082915472
25.7,High days,1.21177751501876
25.8,High days,1.19004931754046
25.9,High days,1.17279981738022
26,High days,1.15820080360275
26.1,High days,1.15318313319897
26.2,High days,1.15652133130495
26.3,High days,1.16351946965845
26.4,High days,1.17546296133946
