year,expected_yearly_profile_effect,reproduced_yearly_profile_effect,absolute_error
1991,0.0561400831201969,0.056140083120197,1.11022302462516e-16
1992,0.00666502629370813,0.00666502629370818,5.20417042793042e-17
1993,-0.0267812602057767,-0.0267812602057764,2.74086309204336e-16
1994,0.00954083314612564,0.00954083314612576,1.21430643318377e-16
1995,-0.053687164905572,-0.0536871649055722,1.59594559789866e-16
1996,-0.0974236315643846,-0.0974236315643845,1.11022302462516e-16
1997,-0.136547100071319,-0.136547100071319,0
1998,-0.0186425145701842,-0.018642514570184,1.6306400674182e-16
1999,-0.169247423884233,-0.169247423884234,8.04911692853239e-16
2000,-0.175347911615885,-0.175347911615885,4.71844785465692e-16
2001,-0.0983967886492667,-0.0983967886492667,1.38777878078145e-17
2002,0.0210149855672617,0.0210149855672619,2.04697370165263e-16
2003,-0.0330657671535986,-0.0330657671535986,6.93889390390723e-18
2004,-0.0559695351444428,-0.055969535144443,1.59594559789866e-16
2005,-0.105975349005018,-0.105975349005018,1.94289029309402e-16
2006,-0.0958782716790327,-0.0958782716790328,1.38777878078145e-16
2007,-0.0211516444496908,-0.0211516444496907,6.59194920871187e-17
2008,-0.0247771073337344,-0.0247771073337343,8.32667268468867e-17
2009,-0.117107824889222,-0.117107824889222,4.71844785465692e-16
2010,-0.0604727282935537,-0.0604727282935537,0
2011,-0.0687240240073746,-0.0687240240073746,2.77555756156289e-17
2012,-0.279647793738847,-0.279647793738847,3.88578058618805e-16
2013,-0.0435249270602251,-0.0435249270602254,2.63677968348475e-16
2014,-0.000310473947731767,-0.000310473947731849,8.15320033709099e-17
2016,0.0553326001254082,0.055332600125408,2.4980018054066e-16
2017,-0.0651767415355849,-0.0651767415355851,2.22044604925031e-16
2018,-0.154634947783425,-0.154634947783426,7.21644966006352e-16
2019,-0.0952561359009287,-0.0952561359009287,2.77555756156289e-17
2020,-0.0631218411308778,-0.063121841130878,2.08166817117217e-16
2021,-0.0870828794681223,-0.0870828794681224,1.11022302462516e-16
2023,-0.208516919653307,-0.208516919653308,8.88178419700125e-16
2024,-0.0104516555748937,-0.0104516555748936,1.07552855510562e-16
2025,-0.185311110022944,-0.185311110022945,8.60422844084496e-16
