configuration,analysis_role,year,yearly_profile_effect,scales
primary_121_reproduction,confirmatory,1991,0.056140083120197,5
primary_121_reproduction,confirmatory,1992,0.00666502629370818,5
primary_121_reproduction,confirmatory,1993,-0.0267812602057764,5
primary_121_reproduction,confirmatory,1994,0.00954083314612576,5
primary_121_reproduction,confirmatory,1995,-0.0536871649055722,5
primary_121_reproduction,confirmatory,1996,-0.0974236315643845,5
primary_121_reproduction,confirmatory,1997,-0.136547100071319,5
primary_121_reproduction,confirmatory,1998,-0.018642514570184,5
primary_121_reproduction,confirmatory,1999,-0.169247423884234,5
primary_121_reproduction,confirmatory,2000,-0.175347911615885,5
primary_121_reproduction,confirmatory,2001,-0.0983967886492667,5
primary_121_reproduction,confirmatory,2002,0.0210149855672619,5
primary_121_reproduction,confirmatory,2003,-0.0330657671535986,5
primary_121_reproduction,confirmatory,2004,-0.055969535144443,5
primary_121_reproduction,confirmatory,2005,-0.105975349005018,5
primary_121_reproduction,confirmatory,2006,-0.0958782716790328,5
primary_121_reproduction,confirmatory,2007,-0.0211516444496907,5
primary_121_reproduction,confirmatory,2008,-0.0247771073337343,5
primary_121_reproduction,confirmatory,2009,-0.117107824889222,5
primary_121_reproduction,confirmatory,2010,-0.0604727282935537,5
primary_121_reproduction,confirmatory,2011,-0.0687240240073746,5
primary_121_reproduction,confirmatory,2012,-0.279647793738847,5
primary_121_reproduction,confirmatory,2013,-0.0435249270602254,5
primary_121_reproduction,confirmatory,2014,-0.000310473947731849,5
primary_121_reproduction,discovery,2015,-0.215622169316996,5
primary_121_reproduction,confirmatory,2016,0.055332600125408,5
primary_121_reproduction,confirmatory,2017,-0.0651767415355851,5
primary_121_reproduction,confirmatory,2018,-0.154634947783426,5
primary_121_reproduction,confirmatory,2019,-0.0952561359009287,5
primary_121_reproduction,confirmatory,2020,-0.063121841130878,5
primary_121_reproduction,confirmatory,2021,-0.0870828794681224,5
primary_121_reproduction,discovery,2022,-0.0871149993948634,5
primary_121_reproduction,confirmatory,2023,-0.208516919653308,5
primary_121_reproduction,confirmatory,2024,-0.0104516555748936,5
primary_121_reproduction,confirmatory,2025,-0.185311110022945,5
dense_465_fixed_labels,confirmatory,1991,0.0485642573868788,5
dense_465_fixed_labels,confirmatory,1992,-0.0167589604329997,5
dense_465_fixed_labels,confirmatory,1993,-0.0391248738881117,5
dense_465_fixed_labels,confirmatory,1994,-0.0256310983786616,5
dense_465_fixed_labels,confirmatory,1995,-0.0682778591780877,5
dense_465_fixed_labels,confirmatory,1996,-0.0986106460057992,5
dense_465_fixed_labels,confirmatory,1997,-0.140540414359332,5
dense_465_fixed_labels,confirmatory,1998,-0.0187101488383057,5
dense_465_fixed_labels,confirmatory,1999,-0.158759688271988,5
dense_465_fixed_labels,confirmatory,2000,-0.186411698235345,5
dense_465_fixed_labels,confirmatory,2001,-0.109438670207266,5
dense_465_fixed_labels,confirmatory,2002,0.0216585518267425,5
dense_465_fixed_labels,confirmatory,2003,-0.0498143750000584,5
dense_465_fixed_labels,confirmatory,2004,-0.073174802253593,5
dense_465_fixed_labels,confirmatory,2005,-0.111495756926407,5
dense_465_fixed_labels,confirmatory,2006,-0.0961368821532941,5
dense_465_fixed_labels,confirmatory,2007,-0.0174061165311557,5
dense_465_fixed_labels,confirmatory,2008,-0.0407349899462607,5
dense_465_fixed_labels,confirmatory,2009,-0.118415935234975,5
dense_465_fixed_labels,confirmatory,2010,-0.0660474923345017,5
dense_465_fixed_labels,confirmatory,2011,-0.0727714693111906,5
dense_465_fixed_labels,confirmatory,2012,-0.277314241899875,5
dense_465_fixed_labels,confirmatory,2013,-0.057567354014719,5
dense_465_fixed_labels,confirmatory,2014,0.012401757632349,5
dense_465_fixed_labels,discovery,2015,-0.221622870550801,5
dense_465_fixed_labels,confirmatory,2016,0.0319884634198714,5
dense_465_fixed_labels,confirmatory,2017,-0.0695144170176973,5
dense_465_fixed_labels,confirmatory,2018,-0.147443779096666,5
dense_465_fixed_labels,confirmatory,2019,-0.119960219326692,5
dense_465_fixed_labels,confirmatory,2020,-0.0601034458484342,5
dense_465_fixed_labels,confirmatory,2021,-0.0932045699783782,5
dense_465_fixed_labels,discovery,2022,-0.0849675820820997,5
dense_465_fixed_labels,confirmatory,2023,-0.209842614311972,5
dense_465_fixed_labels,confirmatory,2024,-0.0344745991030678,5
dense_465_fixed_labels,confirmatory,2025,-0.185805762660027,5
dense_465_recomputed,confirmatory,1991,0.0306193780632563,5
dense_465_recomputed,confirmatory,1992,-0.0104782987054625,5
dense_465_recomputed,confirmatory,1993,-0.0498393020434093,5
dense_465_recomputed,confirmatory,1994,-0.0179302900093622,5
dense_465_recomputed,confirmatory,1995,-0.0807607013977157,5
dense_465_recomputed,confirmatory,1996,-0.105427495293903,5
dense_465_recomputed,confirmatory,1997,-0.125266153029408,5
dense_465_recomputed,confirmatory,1998,0.00442196764445588,5
dense_465_recomputed,confirmatory,1999,-0.129143111103575,5
dense_465_recomputed,confirmatory,2000,-0.184174121484389,5
dense_465_recomputed,confirmatory,2001,-0.045589905083395,5
dense_465_recomputed,confirmatory,2002,0.0162152799230165,5
dense_465_recomputed,confirmatory,2003,-0.0560375469642524,5
dense_465_recomputed,confirmatory,2004,-0.036514446817743,5
dense_465_recomputed,confirmatory,2005,-0.115882393362171,5
dense_465_recomputed,confirmatory,2006,-0.0931044445204138,5
dense_465_recomputed,confirmatory,2007,-0.013077737720436,5
dense_465_recomputed,confirmatory,2008,-0.0394830078657228,5
dense_465_recomputed,confirmatory,2009,-0.126582432648944,5
dense_465_recomputed,confirmatory,2010,-0.0417916401533055,5
dense_465_recomputed,confirmatory,2011,-0.0742693354979824,5
dense_465_recomputed,confirmatory,2012,-0.277618913931997,5
dense_465_recomputed,confirmatory,2013,-0.0319525755780018,5
dense_465_recomputed,confirmatory,2014,-0.0216614772950882,5
dense_465_recomputed,discovery,2015,-0.210686523539623,5
dense_465_recomputed,confirmatory,2016,0.061739150856879,5
dense_465_recomputed,confirmatory,2017,-0.0768193282605631,5
dense_465_recomputed,confirmatory,2018,-0.140857356826463,5
dense_465_recomputed,confirmatory,2019,-0.035556701879908,5
dense_465_recomputed,confirmatory,2020,-0.0956543876435641,5
dense_465_recomputed,confirmatory,2021,-0.0344818694610892,5
dense_465_recomputed,discovery,2022,-0.0959905311327951,5
dense_465_recomputed,confirmatory,2023,-0.214981401978858,5
dense_465_recomputed,confirmatory,2024,-0.042058284356694,5
dense_465_recomputed,confirmatory,2025,-0.188786440095614,5
