configuration,analysis_role,year,metric,yearly_relative_effect,months
primary_121_reproduction,confirmatory,1991,graph_h_0.125,0.0728104103348773,3
primary_121_reproduction,confirmatory,1992,graph_h_0.125,0.0469622102652211,3
primary_121_reproduction,confirmatory,1993,graph_h_0.125,-0.0168806595686229,3
primary_121_reproduction,confirmatory,1994,graph_h_0.125,0.0382724642248177,3
primary_121_reproduction,confirmatory,1995,graph_h_0.125,0.00718822491791652,3
primary_121_reproduction,confirmatory,1996,graph_h_0.125,-0.0692398000783222,3
primary_121_reproduction,confirmatory,1997,graph_h_0.125,-0.0743258900264836,3
primary_121_reproduction,confirmatory,1998,graph_h_0.125,-0.00115279621032312,3
primary_121_reproduction,confirmatory,1999,graph_h_0.125,-0.107182387745869,3
primary_121_reproduction,confirmatory,2000,graph_h_0.125,-0.1103601301009,3
primary_121_reproduction,confirmatory,2001,graph_h_0.125,-0.0677674123387142,3
primary_121_reproduction,confirmatory,2002,graph_h_0.125,0.0252865627660592,3
primary_121_reproduction,confirmatory,2003,graph_h_0.125,0.00959803450263486,3
primary_121_reproduction,confirmatory,2004,graph_h_0.125,-8.81542141610477e-05,3
primary_121_reproduction,confirmatory,2005,graph_h_0.125,-0.0504887663811806,3
primary_121_reproduction,confirmatory,2006,graph_h_0.125,-0.0400547114878,3
primary_121_reproduction,confirmatory,2007,graph_h_0.125,0.0468949235201515,3
primary_121_reproduction,confirmatory,2008,graph_h_0.125,0.0321173205929466,3
primary_121_reproduction,confirmatory,2009,graph_h_0.125,-0.0841417310213115,3
primary_121_reproduction,confirmatory,2010,graph_h_0.125,-0.00842748042416415,3
primary_121_reproduction,confirmatory,2011,graph_h_0.125,-0.0158478818703215,3
primary_121_reproduction,confirmatory,2012,graph_h_0.125,-0.157197440910923,3
primary_121_reproduction,confirmatory,2013,graph_h_0.125,0.00817608391552464,3
primary_121_reproduction,confirmatory,2014,graph_h_0.125,-0.00628986025451321,3
primary_121_reproduction,discovery,2015,graph_h_0.125,-0.123079427138244,3
primary_121_reproduction,confirmatory,2016,graph_h_0.125,0.0791235786353603,3
primary_121_reproduction,confirmatory,2017,graph_h_0.125,-0.0312266405911865,3
primary_121_reproduction,confirmatory,2018,graph_h_0.125,-0.0938305446839977,3
primary_121_reproduction,confirmatory,2019,graph_h_0.125,-0.06714857394952,3
primary_121_reproduction,confirmatory,2020,graph_h_0.125,-0.0212655197749942,3
primary_121_reproduction,confirmatory,2021,graph_h_0.125,-0.0701670121205076,3
primary_121_reproduction,discovery,2022,graph_h_0.125,0.0335208556723578,3
primary_121_reproduction,confirmatory,2023,graph_h_0.125,-0.136173247022482,3
primary_121_reproduction,confirmatory,2024,graph_h_0.125,0.0402269224876427,3
primary_121_reproduction,confirmatory,2025,graph_h_0.125,-0.119882797763776,3
primary_121_reproduction,confirmatory,1991,graph_h_0.250,0.0772193043969673,3
primary_121_reproduction,confirmatory,1992,graph_h_0.250,0.0357621114741322,3
primary_121_reproduction,confirmatory,1993,graph_h_0.250,-0.00776440768831795,3
primary_121_reproduction,confirmatory,1994,graph_h_0.250,0.0448743764239166,3
primary_121_reproduction,confirmatory,1995,graph_h_0.250,-0.0125260205932609,3
primary_121_reproduction,confirmatory,1996,graph_h_0.250,-0.0618795490724436,3
primary_121_reproduction,confirmatory,1997,graph_h_0.250,-0.101542941452301,3
primary_121_reproduction,confirmatory,1998,graph_h_0.250,0.00182770212112919,3
primary_121_reproduction,confirmatory,1999,graph_h_0.250,-0.137737525201372,3
primary_121_reproduction,confirmatory,2000,graph_h_0.250,-0.132511514090621,3
primary_121_reproduction,confirmatory,2001,graph_h_0.250,-0.0721552042248428,3
primary_121_reproduction,confirmatory,2002,graph_h_0.250,0.0229622544984469,3
primary_121_reproduction,confirmatory,2003,graph_h_0.250,0.00722706547792792,3
primary_121_reproduction,confirmatory,2004,graph_h_0.250,-0.0100055813115633,3
primary_121_reproduction,confirmatory,2005,graph_h_0.250,-0.0650721707589482,3
primary_121_reproduction,confirmatory,2006,graph_h_0.250,-0.0530504371221169,3
primary_121_reproduction,confirmatory,2007,graph_h_0.250,0.0442564225238149,3
primary_121_reproduction,confirmatory,2008,graph_h_0.250,0.0127545300339499,3
primary_121_reproduction,confirmatory,2009,graph_h_0.250,-0.0865327532762454,3
primary_121_reproduction,confirmatory,2010,graph_h_0.250,-0.0187952931947136,3
primary_121_reproduction,confirmatory,2011,graph_h_0.250,-0.0260348482477972,3
primary_121_reproduction,confirmatory,2012,graph_h_0.250,-0.220594332302546,3
primary_121_reproduction,confirmatory,2013,graph_h_0.250,-0.0101326410671007,3
primary_121_reproduction,confirmatory,2014,graph_h_0.250,-0.000154558802734887,3
primary_121_reproduction,discovery,2015,graph_h_0.250,-0.166616624996469,3
primary_121_reproduction,confirmatory,2016,graph_h_0.250,0.0825256699207317,3
primary_121_reproduction,confirmatory,2017,graph_h_0.250,-0.0318802981147331,3
primary_121_reproduction,confirmatory,2018,graph_h_0.250,-0.112763271908294,3
primary_121_reproduction,confirmatory,2019,graph_h_0.250,-0.0759870318800833,3
primary_121_reproduction,confirmatory,2020,graph_h_0.250,-0.0297781700532935,3
primary_121_reproduction,confirmatory,2021,graph_h_0.250,-0.0680958665399912,3
primary_121_reproduction,discovery,2022,graph_h_0.250,-0.00651240722892714,3
primary_121_reproduction,confirmatory,2023,graph_h_0.250,-0.174558395850557,3
primary_121_reproduction,confirmatory,2024,graph_h_0.250,0.0266644137040377,3
primary_121_reproduction,confirmatory,2025,graph_h_0.250,-0.148277455305466,3
primary_121_reproduction,confirmatory,1991,graph_h_0.500,0.0841929483340984,3
primary_121_reproduction,confirmatory,1992,graph_h_0.500,0.0290348609692332,3
primary_121_reproduction,confirmatory,1993,graph_h_0.500,-0.00453338941520968,3
primary_121_reproduction,confirmatory,1994,graph_h_0.500,0.0378557097944353,3
primary_121_reproduction,confirmatory,1995,graph_h_0.500,-0.0544034124062945,3
primary_121_reproduction,confirmatory,1996,graph_h_0.500,-0.0631009536661938,3
primary_121_reproduction,confirmatory,1997,graph_h_0.500,-0.137180895383379,3
primary_121_reproduction,confirmatory,1998,graph_h_0.500,-0.00254242751817039,3
primary_121_reproduction,confirmatory,1999,graph_h_0.500,-0.166321158710422,3
primary_121_reproduction,confirmatory,2000,graph_h_0.500,-0.167465437590462,3
primary_121_reproduction,confirmatory,2001,graph_h_0.500,-0.0834092261189117,3
primary_121_reproduction,confirmatory,2002,graph_h_0.500,0.0325062604442609,3
primary_121_reproduction,confirmatory,2003,graph_h_0.500,-0.00461815918625523,3
primary_121_reproduction,confirmatory,2004,graph_h_0.500,-0.0316132102774928,3
primary_121_reproduction,confirmatory,2005,graph_h_0.500,-0.0898728835853461,3
primary_121_reproduction,confirmatory,2006,graph_h_0.500,-0.0871037914247257,3
primary_121_reproduction,confirmatory,2007,graph_h_0.500,0.0107483058646035,3
primary_121_reproduction,confirmatory,2008,graph_h_0.500,-0.0184360023692081,3
primary_121_reproduction,confirmatory,2009,graph_h_0.500,-0.105173919999569,3
primary_121_reproduction,confirmatory,2010,graph_h_0.500,-0.0411858363557338,3
primary_121_reproduction,confirmatory,2011,graph_h_0.500,-0.0451852321237033,3
primary_121_reproduction,confirmatory,2012,graph_h_0.500,-0.300720077034795,3
primary_121_reproduction,confirmatory,2013,graph_h_0.500,-0.0343228410880723,3
primary_121_reproduction,confirmatory,2014,graph_h_0.500,0.0183011762108161,3
primary_121_reproduction,discovery,2015,graph_h_0.500,-0.222762001960002,3
primary_121_reproduction,confirmatory,2016,graph_h_0.500,0.072061364704756,3
primary_121_reproduction,confirmatory,2017,graph_h_0.500,-0.0459666813863097,3
primary_121_reproduction,confirmatory,2018,graph_h_0.500,-0.13352527857057,3
primary_121_reproduction,confirmatory,2019,graph_h_0.500,-0.085576823691723,3
primary_121_reproduction,confirmatory,2020,graph_h_0.500,-0.0584645738217082,3
