configuration,sites,bandwidth_km,years,estimate,standard_error,ci_lower,ci_upper,negative_years,bandwidth_key,dense_reference,difference_from_dense
primary_121,121,125.799765031298,33,-0.0285600818902134,0.0107380686225776,-0.0504328119119044,-0.0066873518685223,22,125.799765,-0.0339500518568671,0.0053899699666536995
primary_121,121,251.599530062597,33,-0.0394471641661876,0.0125432575370933,-0.0649969436791001,-0.0138973846532751,23,251.59953,-0.0454309811532339,0.005983816987046302
primary_121,121,503.199060125194,33,-0.0590668266866499,0.0147681500928716,-0.0891485640320435,-0.0289850893412564,25,503.19906,-0.0689753830390306,0.0099085563523807
primary_121,121,1006.39812025039,33,-0.104414263326514,0.0149853477979782,-0.134938417919563,-0.0738901087334662,29,1006.39812,-0.113403796212582,0.008989532886067991
primary_121,121,2012.79624050077,33,-0.132684079837477,0.0147932892525676,-0.162817023975481,-0.102551135699472,30,2012.796241,-0.139585219629047,0.006901139791570005
longitude_refined,239,125.7997650312984,33,-0.028387724240138468,0.011048683518014787,-0.05089315609932084,-0.005882292380956094,20,125.799765,-0.0339500518568671,0.005562327616728632
longitude_refined,239,251.5995300625968,33,-0.03845639660034583,0.012934030700744984,-0.0648021550000299,-0.012110638200661758,22,251.59953,-0.0454309811532339,0.006974584552888068
longitude_refined,239,503.1990601251936,33,-0.059681421745965586,0.01501259747017226,-0.09026108210490422,-0.02910176138702695,25,503.19906,-0.0689753830390306,0.009293961293065013
longitude_refined,239,1006.3981202503873,33,-0.10552138366609112,0.015177763286166933,-0.1364374757828291,-0.07460529154935314,29,1006.39812,-0.113403796212582,0.007882412546490872
longitude_refined,239,2012.7962405007745,33,-0.13351333939658902,0.01494951697270963,-0.16396450898692397,-0.10306216980625407,30,2012.796241,-0.139585219629047,0.006071880232457971
latitude_refined,236,125.7997650312984,33,-0.031293142393807066,0.009468603237018206,-0.050580056043283694,-0.012006228744330435,21,125.799765,-0.0339500518568671,0.0026569094630600337
latitude_refined,236,251.5995300625968,33,-0.04308208488541032,0.011629062590508945,-0.06676971022920249,-0.019394459541618152,23,251.59953,-0.0454309811532339,0.002348896267823579
latitude_refined,236,503.1990601251936,33,-0.06529021994472632,0.014004070086158905,-0.09381557724737556,-0.03676486264207708,26,503.19906,-0.0689753830390306,0.003685163094304278
latitude_refined,236,1006.3981202503873,33,-0.10865278761574884,0.014386215499880867,-0.1379565496536587,-0.07934902557783897,29,1006.39812,-0.113403796212582,0.004751008596833153
latitude_refined,236,2012.7962405007745,33,-0.1345828580863724,0.014230502078910167,-0.16356944226508283,-0.105596273907662,31,2012.796241,-0.139585219629047,0.005002361542674583
dense_465,465,125.799765031298,33,-0.0339500518568671,0.009823572367478,-0.0539600139640764,-0.0139400897496579,22,125.799765,-0.0339500518568671,0.0
dense_465,465,251.599530062597,33,-0.0454309811532339,0.0118450132501187,-0.0695584835961274,-0.0213034787103404,24,251.59953,-0.0454309811532339,0.0
dense_465,465,503.199060125194,33,-0.0689753830390306,0.0141114290605108,-0.097719423416257,-0.0402313426618043,27,503.19906,-0.0689753830390306,0.0
dense_465,465,1006.39812025039,33,-0.113403796212582,0.014457760640808,-0.142853290933609,-0.0839543014915551,29,1006.39812,-0.113403796212582,0.0
dense_465,465,2012.79624050077,33,-0.139585219629047,0.0142780662115014,-0.168668688775385,-0.110501750482709,31,2012.796241,-0.139585219629047,0.0
