basis,bandwidth_km,total_effect_years,total_effect_estimate,total_effect_standard_error,total_effect_ci_lower,total_effect_ci_upper,total_effect_negative_years,structured_component_years,structured_component_estimate,structured_component_standard_error,structured_component_ci_lower,structured_component_ci_upper,structured_component_negative_years,residual_component_years,residual_component_estimate,residual_component_standard_error,residual_component_ci_lower,residual_component_ci_upper,residual_component_negative_years,identity_error
latitude,125.799765,33,-0.02856008188761679,0.010738068622147065,-0.05043281190843081,-0.0066873518668027696,22,33,-0.02580261777941748,0.001686836833435534,-0.02923859197041897,-0.022366643588415988,33,33,-0.0027574641081992714,0.009740151508568946,-0.02259750348635656,0.01708257526995802,16,4.0332320816460765e-17
latitude,251.59953,33,-0.03944716416155744,0.012543257536211513,-0.06499694367267386,-0.013897384650441012,23,33,-0.04601756944657352,0.002592131896698884,-0.05129756933760595,-0.040737569555541094,33,33,0.006570405285016234,0.011042995922768358,-0.015923441321764584,0.029064251891797052,15,1.5265566588595902e-16
latitude,503.19906,33,-0.059066826674143945,0.014768150092424166,-0.0891485640186261,-0.028985089329661786,25,33,-0.08384631159139884,0.00439724858503091,-0.09280321385373105,-0.07488940932906663,33,33,0.024779484917254763,0.01225622044556483,-0.0001856191731136568,0.049744589007623186,10,1.3183898417423734e-16
latitude,1006.39812,33,-0.10441426331116577,0.014985347798074835,-0.1349384179044108,-0.07389010871792073,29,33,-0.12727451817729027,0.00669833862963592,-0.14091858747778252,-0.11363044887679802,33,33,0.022860254866124623,0.010826655407293129,0.0008070794688566467,0.044913430263392604,10,1.214306433183765e-16
latitude,2012.796241,33,-0.13268407984304964,0.014793289252532284,-0.1628170239809826,-0.10255113570511667,30,33,-0.14957561881711923,0.007877419672763604,-0.16562139760899997,-0.1335298400252385,33,33,0.01689153897406958,0.00966203965310103,-0.002789391761165577,0.036572469709304736,11,6.938893903907228e-18
latitude_longitude,125.799765,33,-0.02856008188761679,0.010738068622147065,-0.05043281190843081,-0.0066873518668027696,22,33,-0.02812535510526975,0.002480570559591154,-0.03317811198890645,-0.023072598221633045,32,33,-0.0004347267823471342,0.008872562865759702,-0.01850754592555898,0.01763809236086471,15,9.302454639925628e-17
latitude_longitude,251.59953,33,-0.03944716416155744,0.012543257536211513,-0.06499694367267386,-0.013897384650441012,23,33,-0.050732061880131955,0.0037976948601976513,-0.0584677131691556,-0.042996410591108314,33,33,0.011284897718574632,0.009562760912533361,-0.008193808839701514,0.03076360427685078,12,1.1796119636642288e-16
latitude_longitude,503.19906,33,-0.059066826674143945,0.014768150092424166,-0.0891485640186261,-0.028985089329661786,25,33,-0.09324645251899033,0.006178777265556658,-0.10583220995301591,-0.08066069508496475,33,33,0.03417962584484641,0.0098337525004855,0.014148927485273355,0.05421032420441947,8,2.7755575615628914e-17
latitude_longitude,1006.39812,33,-0.10441426331116577,0.014985347798074835,-0.1349384179044108,-0.07389010871792073,29,33,-0.13942215030710287,0.008469520510771166,-0.15667399903861187,-0.12217030157559386,33,33,0.03500788699593682,0.007962586471574754,0.01878862911180189,0.051227144880071754,7,2.7755575615628914e-16
latitude_longitude,2012.796241,33,-0.13268407984304964,0.014793289252532284,-0.1628170239809826,-0.10255113570511667,30,33,-0.16232028001015353,0.009484485729041293,-0.1816395452372092,-0.14300101478309785,33,33,0.029636200167104065,0.006722468225284309,0.015942980488671404,0.043329419845536725,6,1.7694179454963432e-16
latitude_longitude_elevation,125.799765,33,-0.02856008188761679,0.010738068622147065,-0.05043281190843081,-0.0066873518668027696,22,33,-0.011641056939839455,0.007350761011669458,-0.02661406714431548,0.00333195326463657,18,33,-0.016919024947777504,0.00527114434237371,-0.02765599461694958,-0.006182055278605426,21,1.700029006457271e-16
latitude_longitude_elevation,251.59953,33,-0.03944716416155744,0.012543257536211513,-0.06499694367267386,-0.013897384650441012,23,33,-0.02849363659651393,0.009058944234973942,-0.04694610216527802,-0.010041171027749849,21,33,-0.01095352756504352,0.005587522313783923,-0.022334938073317327,0.0004278829432302865,21,1.0408340855860843e-17
latitude_longitude_elevation,503.19906,33,-0.059066826674143945,0.014768150092424166,-0.0891485640186261,-0.028985089329661786,25,33,-0.061328362547395855,0.011041064801375546,-0.08381827558862139,-0.038838449506170325,28,33,0.0022615358732516536,0.00507911166824795,-0.008084276038959856,0.012607347785463163,14,2.5673907444456745e-16
latitude_longitude_elevation,1006.39812,33,-0.10441426331116577,0.014985347798074835,-0.1349384179044108,-0.07389010871792073,29,33,-0.11385990390350414,0.011652424849036355,-0.13759511661066934,-0.09012469119633895,33,33,0.009445640592338433,0.0040855578783474894,0.0011236315232963246,0.017767649661380544,10,5.551115123125783e-17
latitude_longitude_elevation,2012.796241,33,-0.13268407984304964,0.014793289252532284,-0.1628170239809826,-0.10255113570511667,30,33,-0.1433613931619422,0.011838805609231012,-0.16747625105412733,-0.11924653526975709,33,33,0.010677313318892807,0.0035913203440685534,0.003362033163012968,0.017992593474772646,10,2.3418766925686896e-16
