year,slope_log_q_per_c,bandwidths
1991,-0.0859320043652565,5
1992,-0.024995049495571187,5
1993,-0.026998179259885336,5
1994,-0.036183403639268,5
1995,-0.03902633426690928,5
1996,-0.047645024024487684,5
1997,-0.09094267075980395,5
1998,-0.03010314876912546,5
1999,-0.0864096635604121,5
2000,-0.09025643184146266,5
2001,0.025774866494230282,5
2002,-0.03856203962965529,5
2003,-0.05776742227729105,5
2004,-0.053129971820291076,5
2005,-0.08668735730776268,5
2006,-0.04525973882118669,5
2007,-0.054347405500320925,5
2008,-0.08668516029595189,5
2009,-0.02718365026796497,5
2010,-0.030048005380356936,5
2011,-0.05144432243739683,5
2012,-0.10799656237415527,5
2013,-0.07806717615327483,5
2014,-0.09595461519290292,5
2016,-0.008624291515819584,5
2017,-0.10806455266084843,5
2018,-0.10960031554343878,5
2019,-0.025536600211437083,5
2020,-0.0900045649358245,5
2021,-0.12785931840278913,5
2023,-0.12074499426613856,5
2024,0.019003067912088584,5
2025,-0.2292729459414938,5
