basis,year,bandwidth_km,total_effect,structured_component,residual_component
latitude,1950,125.799765,-0.061716808364845284,-0.030171959712216978,-0.031544848652628174
latitude,1950,251.59953,-0.07648900535342455,-0.050774239269754405,-0.0257147660836702
latitude,1950,503.19906,-0.10544213701431403,-0.08901486745786524,-0.016427269556448448
latitude,1950,1006.39812,-0.1654224973027644,-0.1404744499723868,-0.024948047330378184
latitude,1950,2012.796241,-0.20372246347310866,-0.1714958845837049,-0.03222657888940377
latitude,1951,125.799765,-0.04829783515924126,-0.03563366811985772,-0.01266416703938368
latitude,1951,251.59953,-0.0370438247867168,-0.05927340007024184,0.022229575283526083
latitude,1951,503.19906,-0.038194642031581384,-0.10408221585968762,0.06588757382810652
latitude,1951,1006.39812,-0.09750853916222364,-0.16335856590316425,0.06585002674094088
latitude,1951,2012.796241,-0.1445206075540406,-0.20028300218500292,0.055762394630961644
latitude,1952,125.799765,-0.09466764652961475,-0.0446283736163283,-0.05003927291328631
latitude,1952,251.59953,-0.129935235230353,-0.07367176538259089,-0.056263469847762225
latitude,1952,503.19906,-0.1824493440963619,-0.12684197356634655,-0.055607370530014834
latitude,1952,1006.39812,-0.24291125019906765,-0.19369949707022796,-0.04921175312883963
latitude,1952,2012.796241,-0.2756119492320715,-0.22969110292890615,-0.04592084630316632
latitude,1953,125.799765,0.05933362295107739,-0.023112448136616507,0.08244607108769379
latitude,1953,251.59953,0.043152647938427345,-0.042102789306848985,0.08525543724527623
latitude,1953,503.19906,-0.0019435511231530357,-0.07574215517236167,0.07379860404920885
latitude,1953,1006.39812,-0.07184343400073033,-0.11665816675446815,0.04481473275373724
latitude,1953,2012.796241,-0.10952017571174776,-0.13785477825498052,0.02833460254323315
latitude,1954,125.799765,-0.09466476644016096,-0.021238659216604967,-0.07342610722355634
latitude,1954,251.59953,-0.09049341315344656,-0.034146593030625394,-0.056346820122821634
latitude,1954,503.19906,-0.09211221017551045,-0.06637961749510234,-0.025732592680408423
latitude,1954,1006.39812,-0.12766421332556746,-0.10654195247374816,-0.021122260851819518
latitude,1954,2012.796241,-0.14877366844201748,-0.1255783784591431,-0.023195289982873957
latitude,1955,125.799765,-0.0384433369029115,-0.023635609237177932,-0.014807727665734348
latitude,1955,251.59953,-0.04881241721331806,-0.04396645533232605,-0.004845961880993028
latitude,1955,503.19906,-0.07403285959345624,-0.08105730354889297,0.007024443955437318
latitude,1955,1006.39812,-0.11441274741093733,-0.12952701916737094,0.0151142717564334
latitude,1955,2012.796241,-0.1423157228868329,-0.15770435271682126,0.01538862982998884
latitude,1956,125.799765,-0.02064709952436374,-0.030435793961549495,0.009788694437185745
latitude,1956,251.59953,-0.04323591421513786,-0.05894552140189637,0.015709607186758377
latitude,1956,503.19906,-0.09454347350840046,-0.12749256871870104,0.03294909521030032
latitude,1956,1006.39812,-0.1644697332108497,-0.20613244586614574,0.04166271265529579
latitude,1956,2012.796241,-0.19884952122264699,-0.24216606261007065,0.04331654138742411
latitude,1957,125.799765,-0.06899799019844409,-0.013506030555719972,-0.05549195964272415
latitude,1957,251.59953,-0.07226354839987359,-0.021923833792871095,-0.05033971460700178
latitude,1957,503.19906,-0.05608934207576711,-0.03704857781966427,-0.01904076425610233
latitude,1957,1006.39812,-0.05794692683489039,-0.054574503299474976,-0.003372423535414957
latitude,1957,2012.796241,-0.06608170126473759,-0.06378463794002702,-0.0022970633247103704
latitude,1958,125.799765,0.01585465282836196,-0.03111431298596141,0.04696896581432414
latitude,1958,251.59953,-0.014626750335436525,-0.056483422929764694,0.04185667259432807
latitude,1958,503.19906,-0.06160448311016578,-0.10742830327806781,0.0458238201679022
latitude,1958,1006.39812,-0.13003219744765018,-0.17042194280183698,0.040389745354187025
latitude,1958,2012.796241,-0.16868326621223365,-0.20350090641343233,0.03481764020119841
latitude,1959,125.799765,-0.06816745640684217,-0.034869558947992686,-0.03329789745884901
latitude,1959,251.59953,-0.10202947019020142,-0.05885050996881925,-0.04317896022138187
latitude,1959,503.19906,-0.13675158018280567,-0.10222998575462927,-0.034521594428176816
latitude,1959,1006.39812,-0.1792073132187555,-0.1616252437933447,-0.01758206942541057
latitude,1959,2012.796241,-0.20704593452903164,-0.1971352369451784,-0.009910697583853533
latitude,1960,125.799765,-0.06988068619005923,-0.036012898204986925,-0.03386778798507142
latitude,1960,251.59953,-0.08255716801553586,-0.05837661069635603,-0.024180557319180337
latitude,1960,503.19906,-0.10113203140751748,-0.10206751452507794,0.0009354831175605408
latitude,1960,1006.39812,-0.14857537449295993,-0.15781283967500565,0.00923746518204501
latitude,1960,2012.796241,-0.18028817034158448,-0.18810605608249323,0.007817885740908609
latitude,1961,125.799765,-0.06581826602362958,-0.020601579696378675,-0.045216686327250545
latitude,1961,251.59953,-0.11315494857686863,-0.0408648128590273,-0.07229013571784258
latitude,1961,503.19906,-0.18978216003250492,-0.0856426256861433,-0.1041395343463614
latitude,1961,1006.39812,-0.2440124138425733,-0.13893528490969417,-0.10507712893287875
latitude,1961,2012.796241,-0.2633718417185947,-0.16469395814968987,-0.09867788356890472
latitude,1962,125.799765,-0.03883719274628628,-0.024770710666442004,-0.014066482079844268
latitude,1962,251.59953,-0.044355273277993566,-0.03924294946565234,-0.00511232381234214
latitude,1962,503.19906,-0.065636702503506,-0.06931433616844046,0.003677633664934949
latitude,1962,1006.39812,-0.10868590387469783,-0.10710698660020129,-0.0015789172744963894
latitude,1962,2012.796241,-0.13086295660785155,-0.12538689384070342,-0.0054760627671479765
latitude,1963,125.799765,-0.05411899448105655,-0.018497051787583065,-0.03562194269347326
latitude,1963,251.59953,-0.052044596303230134,-0.02659868955957266,-0.025445906743656987
latitude,1963,503.19906,-0.03914290184310853,-0.03315362561533869,-0.0059892762277698325
latitude,1963,1006.39812,-0.052394190157526034,-0.04872497459762004,-0.003669215559906342
latitude,1963,2012.796241,-0.07393960610494689,-0.0644089120751508,-0.009530694029796229
latitude,1964,125.799765,-0.069727884093665,-0.03146919849759515,-0.03825868559606927
latitude,1964,251.59953,-0.0957947682805146,-0.056939535788468366,-0.0388552324920464
latitude,1964,503.19906,-0.13794030852462127,-0.10211975182630557,-0.03582055669831515
latitude,1964,1006.39812,-0.18291637976000577,-0.15407291237076734,-0.02884346738923869
latitude,1964,2012.796241,-0.2077451226266924,-0.1802581363950326,-0.02748698623165935
latitude,1965,125.799765,-0.042067962665754764,-0.02022357502254543,-0.021844387643209198
latitude,1965,251.59953,-0.04380749651888205,-0.039419338937805366,-0.004388157581076857
latitude,1965,503.19906,-0.03721157379988722,-0.07332617518876532,0.036114601388877794
latitude,1965,1006.39812,-0.05632316201454011,-0.11340127902165505,0.057078117007114994
latitude,1965,2012.796241,-0.07811372507631492,-0.1366800933615088,0.05856636828519396
latitude,1966,125.799765,-0.002020647133428035,-0.023764005555948483,0.021743358422520623
latitude,1966,251.59953,-0.0030688443038972605,-0.0434740013922127,0.04040515708831479
latitude,1966,503.19906,-0.013123609147139717,-0.07734047826449758,0.0642168691173569
latitude,1966,1006.39812,-0.06875377307292162,-0.11700278249835873,0.04824900942543698
latitude,1966,2012.796241,-0.1061844231359086,-0.1394336892909713,0.033249266155062775
latitude,1967,125.799765,-0.09584385240257409,-0.020302896491267444,-0.07554095591130695
latitude,1967,251.59953,-0.14127328766513236,-0.03901098943307114,-0.10226229823206184
latitude,1967,503.19906,-0.18607858846869338,-0.06863495752832319,-0.11744363094036991
latitude,1967,1006.39812,-0.21244960162411872,-0.10693194585384402,-0.10551765577027472
latitude,1967,2012.796241,-0.23018562317067892,-0.1327260409656492,-0.09745958220502994
latitude,1968,125.799765,0.05917930546467721,-0.005263919688954802,0.0644432251536316
latitude,1968,251.59953,0.050364514474346554,-0.02075264327281454,0.07111715774716092
latitude,1968,503.19906,0.011629145613247438,-0.05606481121965751,0.06769395683290494
latitude,1968,1006.39812,-0.039988985207111416,-0.09395150869065327,0.05396252348354197
latitude,1968,2012.796241,-0.06308598277393751,-0.10929475432867551,0.04620877155473798
latitude,1969,125.799765,-0.033230323320128936,-0.010600659424830497,-0.02262966389529772
latitude,1969,251.59953,-0.0362601232852961,-0.02478834985509055,-0.011471773430205168
latitude,1969,503.19906,-0.053995162670461914,-0.0585836385487386,0.004588475878277158
latitude,1969,1006.39812,-0.09584433390331636,-0.09897680786079384,0.003132473957477099
latitude,1969,2012.796241,-0.1177679050157608,-0.11651099676602482,-0.0012569082497359922
latitude,1970,125.799765,-0.0864267814208064,-0.022762636991682947,-0.06366414442912298
latitude,1970,251.59953,-0.06402371860290786,-0.03977582580588584,-0.024247892797021775
latitude,1970,503.19906,-0.061109829525373006,-0.07959716960060384,0.018487340075230934
latitude,1970,1006.39812,-0.10467335098480453,-0.1304742342001951,0.025800883215390483
latitude,1970,2012.796241,-0.13287833999802837,-0.1542625528020617,0.02138421280403308
latitude,1971,125.799765,-0.15021163432681045,-0.03465162787718568,-0.1155600064496242
latitude,1971,251.59953,-0.17179845139216995,-0.058449903153084404,-0.1133485482390864
latitude,1971,503.19906,-0.1975044223370662,-0.10124743983331412,-0.09625698250375125
latitude,1971,1006.39812,-0.239693065400717,-0.1541906513147739,-0.085502414085943
latitude,1971,2012.796241,-0.26437675852247433,-0.1823067371385675,-0.08207002138390698
latitude,1972,125.799765,-0.061295964744248026,-0.030185429289797328,-0.031110535454450933
latitude,1972,251.59953,-0.09247714843007053,-0.05608670306909461,-0.036390445360975784
latitude,1972,503.19906,-0.13490768269744155,-0.10680357796718841,-0.028104104730252863
latitude,1972,1006.39812,-0.18319885609271958,-0.16361535792849188,-0.019583498164227404
latitude,1972,2012.796241,-0.20694345403806744,-0.19114554088869415,-0.015797913149373618
latitude,1973,125.799765,-0.039116818317172224,-0.025500933524002043,-0.013615884793170588
