year,analysis_role,forcing_segment,hours_with_buffer,sites,dewpoint_exceedances_clipped,t2m_min_c,t2m_max_c,sp_min_pa,sp_max_pa,wbt_min_c,wbt_max_c,input_sha256,output_sha256
1950,post-analysis historical extension,1950-1978,2232,121,58,1.2749267578125227,39.37398681640627,80444.96875,101535.4921875,5.279510498046875,29.323822021484375,a6d9020e3cb81ff7933f8e59164e18513a953aeb2a5e75b9e300eb36766ca1ef,36184c78033de4b701cb099a10e4336f32e647f29a044e04124361b83f8d582e
1951,post-analysis historical extension,1950-1978,2232,121,50,0.32247314453127274,39.63149414062502,80312.40625,101511.46875,4.657440185546875,29.011627197265625,13180dd03cc95b1b109d81cd0cc960491fa56a76916d26bb8ef27ddbbb5bd2a5,8da407ba8ba56b4270fabd5c69491ff4f63512be150d7a9d3b25a53c45c3bfc8
1952,post-analysis historical extension,1950-1978,2232,121,73,1.2228637695312727,39.68734130859377,80526.140625,101612.03125,4.782623291015625,28.641632080078125,cda19521c1723bcb7446580c9fd0f07b713c81b2ad72b1a80d562a35707e1da2,21f69238a57a9b16c11af94419ce005482ed8b71eff227aa78f12956a5055bdf
1953,post-analysis historical extension,1950-1978,2232,121,29,1.1989379882812727,40.49111328125002,80321.625,101886.2265625,6.725616455078125,29.557708740234375,892ccfbd0dc81f4e837c3ef6c29cb24ee1fc7691ebf5d8120c1593571f463689,a0eb9dfaf72c949440a5a32fafdf1b5c12be1377fa37dd80efb354aabaaef065
1954,post-analysis historical extension,1950-1978,2232,121,59,3.2369018554687727,39.05135498046877,80282.9609375,101409.84375,7.506011962890625,29.012725830078125,e060efa01547b85b3485464a7f3f3f3de16805a016fff3096a3e15d44130a4e1,8854ae4455017e99b3989681b1b03b5beb990d21b6cf06fee640c19090946eac
1955,post-analysis historical extension,1950-1978,2232,121,53,-0.5577758789062273,40.19271240234377,80413.5859375,101682.1640625,6.957733154296875,28.445037841796875,e8cd536c925a0f4c4ecf7e48e0ecf92166cf5699c351929684da7100d73bc065,ec2796eb76c17e5011fa0d0b46ec060cb9de18267460834c6be641e8f0d9232c
1956,post-analysis historical extension,1950-1978,2232,121,21,3.8776489257812727,39.39296875000002,80394.09375,101287.0,7.512237548828125,29.532623291015625,ba8db88a2d6e022d3a9eb2027501e2d30794bd539c178e737b181c3ed4506490,7b41684c08338c969caf27638de7949aa335dbbf97d5fb84c4e2ac01636838d2
1957,post-analysis historical extension,1950-1978,2232,121,60,1.2437072753906477,38.51424560546877,80326.2890625,101576.7890625,4.364654541015625,28.769927978515625,54060294bf7055a0fd4130cebe256c99957aa2eb9c4b0c2568e82272233d1651,6fffa343e51540a918fddd3ebac257e63d92f06c8301c0be780984389c72181d
1958,post-analysis historical extension,1950-1978,2232,121,35,3.5711914062500227,41.14772949218752,80249.9375,101445.359375,5.898468017578125,29.374542236328125,3bb46a16344ca539c39081834ca6abd8ba5c66afb6e2d93364272ac1eb23fa9b,3a5bf2c653b81eff09265beb3ade4792cf38ecf660d1696275480b4c1781f477
1959,post-analysis historical extension,1950-1978,2232,121,65,3.9921813964843977,40.14702758789065,80272.390625,101224.171875,6.972930908203125,29.057220458984375,0b498628c40c86b8f513ae6ecd69fd368f9bea0c81a0c47c592ab2dc3b1eb77d,70a8831876e9d30afc0fffe96b144f2fae038c13d76d184de85456999ce29a2d
1960,post-analysis historical extension,1950-1978,2232,121,37,2.9826904296875227,41.26485595703127,80355.703125,101332.15625,6.149200439453125,28.677154541015625,35c12c67b1674846e1628e918c62dbb3cdc46cb849b58980ab86f84d733649af,7186fa03bb2c1fc23eba5898aca7141475cb11517011761cccaa4124aaefeae1
1961,post-analysis historical extension,1950-1978,2232,121,21,0.6684814453125227,41.48714599609377,80378.6328125,101249.96875,3.474212646484375,29.399566650390625,d64355a020d7556fdc48fd933781ec47a8f123b4b0628c7bb7c8bb04647b97f0,904b085eb23a71be775e4bac36e0a39407f1629f168a51f64b6e68755cd09f6f
1962,post-analysis historical extension,1950-1978,2232,121,81,0.008325195312522737,40.93413696289065,80401.546875,101458.34375,2.439605712890625,29.161041259765625,ff334ba2bca1d8db8797d9d60db11b34a0f0bc784be3a6772fd23eb96a678739,8d40d7126a29a23b54aa2f2f5916fc4954a332713af2f2d63f0e1f4871c49433
1963,post-analysis historical extension,1950-1978,2232,121,42,3.5411010742187727,41.74666748046877,80332.703125,101311.65625,4.119720458984375,29.271881103515625,7ebe6775b49ea661b8466b35dd034a18813db7b8315762f96c24c5fcbbdc559e,ea83620e11128f6fdef4d57d893a10e591ba0f00279533eae179891d7eeb982b
1964,post-analysis historical extension,1950-1978,2232,121,76,1.9760986328125227,39.32686767578127,80160.75,101133.359375,4.619415283203125,29.584075927734375,90ac0fc5f57f6ea83f38f90715637a2bb78c918f068a238da7027b7931c22c89,306054a4eec7e99ebe0b0c97f4688230f4e072beaa4d25e552e1dcaba49721bf
1965,post-analysis historical extension,1950-1978,2232,121,69,0.7134643554687727,40.18374023437502,80543.546875,101600.421875,5.441741943359375,29.123077392578125,96cee2cc9772491bead54a5118b21774858adbf1983c37dc9931882e799b0e27,bb2eb2a603bb8f915a0f4291ba616e70836eb34867beeadeef60177c6726107e
1966,post-analysis historical extension,1950-1978,2232,121,107,1.3274475097656477,42.01937255859377,80409.0078125,102021.703125,2.492584228515625,29.455596923828125,5ada8746002d932cf6655388cc16cf4775a4f6b438dade2114e1ce5e2d1ba4c5,593225782a272c9dfd4aa10e05b9c9aed4ae6fe5908f342b523249abaa3e513e
1967,post-analysis historical extension,1950-1978,2232,121,48,1.7651000976562727,42.47725830078127,80361.3046875,101111.796875,5.503326416015625,30.625396728515625,b5fe4242f799556faabe5aac1f444c2c659b4a7516bc3fb7c818da376dfe534a,d7e958fa3f5dc0b5a9e2b487f3b20eda016044626fb823c6b9c2814defae7bd6
1968,post-analysis historical extension,1950-1978,2232,121,117,3.2022338867187727,41.35140380859377,80363.6953125,101529.7109375,5.318511962890625,29.144256591796875,850f27e22793bce43a8f86b2633279f0541c9b3b8264819a3612446a80132ce5,bb5a6fb2213455947faa19eb06a31d96a746c4f4c292df0a00fbdeb714cf8904
1969,post-analysis historical extension,1950-1978,2232,121,69,2.0257202148437727,40.77431640625002,80532.8125,101359.140625,5.414398193359375,29.403961181640625,5661042a0693b7daebe16b3919e37079c73dab9513bd88fa2692d974675bef6c,c4ac93f24c6c75115f3644006836920910503bbc1990c9be32e0acb16fbef515
1970,post-analysis historical extension,1950-1978,2232,121,59,1.6120849609375227,40.10805664062502,80085.875,101321.7109375,4.662933349609375,29.530975341796875,4b6a0e3960baa4451f64f25f9ef902d7edf6690d792695d2b9ac8e2fca1e2c11,f096c41e53eee5dca0b27922c936ecb912d56d33fedd988addca392ec93ebf48
1971,post-analysis historical extension,1950-1978,2232,121,61,-0.11212768554685226,39.83406982421877,80335.1875,101241.125,4.848236083984375,29.590179443359375,855d766caf6601d1672fccb51a81eb04a859c8b7a515f58ead74f14ab2045cc7,0360e237cbf66ecd94f9a49c7592f2b63c768dd88e305c5ea9a653ae158dd63c
1972,post-analysis historical extension,1950-1978,2232,121,78,1.7090087890625227,43.68508300781252,80167.6875,101334.875,2.945892333984375,29.272918701171875,621021c0aad7eec0a5229ad5cdd4f3747cd3ceaa8404cf271763ba6bac1ffd9d,adab16aa2351cf1abdb8fd1a0d9f56945fdb4cc26bd622daf08119d087e7a8c2
1973,post-analysis historical extension,1950-1978,2232,121,54,1.8016601562500227,38.56679687500002,80194.71875,101576.8125,6.895538330078125,28.862762451171875,3d295ed7457933082a55cb488c2b64b600c7cd52a737ee3cc3b09700b614c8b6,b3525b7edbd819e2075fec14aa18ea7b24e3ef3131bdecb1c1e514403e3f9c6a
1974,post-analysis historical extension,1950-1978,2232,121,52,0.7597900390625227,39.34475097656252,80333.96875,101424.03125,5.080108642578125,28.614593505859375,bb9a7c5c616d1331e035fa0890c33d3d95c4d16191e5ca020875fb44ba1b763f,23aaeada22a1de882abdc4b456e5cacb6cb627633aebd906ee30f4cebbb9e31d
1975,post-analysis historical extension,1950-1978,2232,121,80,3.3964172363281477,40.84542236328127,80167.3125,101671.046875,5.495025634765625,28.751678466796875,8d8764fe7cf53df8b95f103776c1d9a2acbf343f0b86c4658f93329d90f36406,26b0ee2db2860cfa4fac5e077e53a44bd22f08ac5356f2913b9243a7201f36a3
1976,post-analysis historical extension,1950-1978,2232,121,69,-0.05234374999997726,39.10125122070315,80309.0,101620.109375,3.337554931640625,28.836517333984375,14dd471b13ceb85747cf7a66a41cb871163d82dcf134359d41f5a7cb0d8a85e1,3bf08b7d2095b8d23078f022da06a37c490a1b44faaf44efd4b171c442c49b1f
1977,post-analysis historical extension,1950-1978,2232,121,129,2.4787231445312727,39.16707763671877,80299.484375,101281.1015625,3.937713623046875,29.294097900390625,3bdf7b6fc67560629662a1244d6b89ea1cde848e2213c726d0e806335366f7f1,437579f8d56cdd1db0cc4dbfdf7beffc5f90a5464f3b6ed9f111a1b06879e705
1978,post-analysis historical extension,1950-1978,2232,121,63,0.9969116210937727,40.62227783203127,80289.875,101721.625,5.471343994140625,29.624298095703125,896250a9d67b975758040f76ae8d5849c2bc5cb8ce1737859274e974a019297c,54fe61f010a73a115f65d3785be0ca11ca07dbee195928ee8718d581aebb2600
1979,post-analysis historical extension,1979-1990,2232,121,50,1.9255004882812727,41.39656982421877,80356.53125,101654.171875,6.132781982421875,29.312042236328125,b157841f888a08cfbfb0ee595b07774832dd7e34226462a640b0dc5f7b5f4e09,d106ad05ef1d2ec5036379d9d967d59b43886379e955780c18fb8a3904f97060
1980,post-analysis historical extension,1979-1990,2232,121,54,-0.43350830078122726,39.64333496093752,80514.421875,101620.9296875,4.318450927734375,29.710540771484375,7cf4ad24ed28a94886c61dbb4f8f5947851c7d719ebb84066a9e79ce5c443938,6c40cbc6f541017906a517ce0113b28ac448a0d847723177cf7b3fd0b53b676e
1981,post-analysis historical extension,1979-1990,2232,121,25,2.7795043945312727,39.66481933593752,80455.34375,101706.640625,7.084320068359375,29.712799072265625,35da158d2ebf41b14ebb4777457234a904cee6c7f1266dab2f07dba402d3555b,29685bed4398d862b1ae11e73c55e6152f97a2f35e4ff96b3b3b8f3a5c751440
1982,post-analysis historical extension,1979-1990,2232,121,79,3.1522766113281477,39.48116455078127,80435.3125,101377.40625,4.659698486328125,29.656341552734375,12428aa7063791b1f06025ee63b1c87e9f4f73ea08b2488ee092eb3fb5249d3a,c6279d2665f8561057fd48e465f19437e41c94ee3efb06529f37e074687cfca5
1983,post-analysis historical extension,1979-1990,2232,121,66,2.6250854492187727,39.03801879882815,80509.15625,101312.359375,3.636322021484375,28.666229248046875,1457c22c045266a93ff68ee212a42b5abcef68030fbb36add1316601b03f2abd,9c68b61c178c610102ef6539f2e98658e735749f39a87c8277cca302a46a37bf
1984,post-analysis historical extension,1979-1990,2232,121,41,4.070031738281273,39.75301513671877,80442.34375,101306.4609375,4.154510498046875,29.141143798828125,bae2aee33977e2e8c7389cbf151c76787123df6bd114918cd03e301fc1698b67,3a1f6c2086303edd7b5c8f4aa2f9ad7f2c51a3b8da13cb39b97785aa0ff8e46f
1985,post-analysis historical extension,1979-1990,2232,121,61,2.9837890625000227,40.5788513183594,80532.46875,101589.0390625,5.846710205078125,29.417572021484375,ea5f89323ac496b3c72a0e1daca3cb83639ff3970f7c02a4c1ea440de971f1cf,1047b5b097e58ccb7224a8f0c88769f9a58e5242299736dffcaa3012315c8785
1986,post-analysis historical extension,1979-1990,2232,121,75,6.214562988281273,41.53402099609377,80090.359375,101225.296875,7.440216064453125,29.201141357421875,6013f9debb318c4b94782e052ada8cd50b7e58750e5da7bba52a5db9825be561,fa5b1eece99d6b9c1b4f5b620b1fb788e22549211e9891ba491d104602a72761
1987,post-analysis historical extension,1979-1990,2232,121,60,0.023736572265647737,39.31893310546877,80356.28125,101557.4296875,2.144989013671875,29.271453857421875,22c34338ae2bd613df359bdc27b43402cbe90ed2f6e3df40f6c51370744aa73a,5b182bcfdbbb9b7beebc4ed84ab8bb3ebddf1e20fabd1fb37effc707b6960913
1988,post-analysis historical extension,1979-1990,2232,121,93,2.4762512207031477,40.32662353515627,80172.59375,101415.4140625,6.166839599609375,30.283966064453125,220c8f5579fb17d523fb73f1e83748ef034fb2a58a1b153c9d784637eb46aedc,caa1f12d9632315be640c72201b338ae0f51e865c4c33a7cd384fe7970598255
1989,post-analysis historical extension,1979-1990,2232,121,58,1.4086853027343977,39.20729980468752,80377.0234375,101556.03125,4.537200927734375,29.283843994140625,f264b92b1fa45a352c43dd0278e5a0b27583305a8d6085893187c2d204e2c724,cc9abd616eae16285b8c006ee360a96194a370cd4ea4b6e38e875988aa09207a
1990,post-analysis historical extension,1979-1990,2232,121,43,3.0537963867187727,40.01699218750002,80312.109375,101342.2890625,5.101409912109375,30.193634033203125,66dca92f264ed6d6f17f82f63ed0c72656e33bf7634c8cd8ca20a5d65e033da3,94e1a2322d1640fd7d08a6f578cd5f838b2c8ff82593b678dc7e57dac2ca211c
