year,forcing_segment,bandwidth_km,relative_effect
1950,1950-1978,125.799765,-0.06171680836484531
1950,1950-1978,251.59953,-0.07648900535342455
1950,1950-1978,503.19906,-0.10544213701431397
1950,1950-1978,1006.39812,-0.16542249730276437
1950,1950-1978,2012.796241,-0.20372246347310866
1951,1950-1978,125.799765,-0.04829783515924128
1951,1950-1978,251.59953,-0.037043824786716785
1951,1950-1978,503.19906,-0.03819464203158137
1951,1950-1978,1006.39812,-0.09750853916222368
1951,1950-1978,2012.796241,-0.1445206075540406
1952,1950-1978,125.799765,-0.09466764652961475
1952,1950-1978,251.59953,-0.12993523523035302
1952,1950-1978,503.19906,-0.1824493440963619
1952,1950-1978,1006.39812,-0.24291125019906765
1952,1950-1978,2012.796241,-0.27561194923207155
1953,1950-1978,125.799765,0.059333622951077324
1953,1950-1978,251.59953,0.0431526479384274
1953,1950-1978,503.19906,-0.0019435511231530311
1953,1950-1978,1006.39812,-0.07184343400073034
1953,1950-1978,2012.796241,-0.10952017571174773
1954,1950-1978,125.799765,-0.09466476644016093
1954,1950-1978,251.59953,-0.09049341315344657
1954,1950-1978,503.19906,-0.09211221017551048
1954,1950-1978,1006.39812,-0.12766421332556746
1954,1950-1978,2012.796241,-0.14877366844201745
1955,1950-1978,125.799765,-0.03844333690291146
1955,1950-1978,251.59953,-0.04881241721331808
1955,1950-1978,503.19906,-0.07403285959345622
1955,1950-1978,1006.39812,-0.11441274741093732
1955,1950-1978,2012.796241,-0.1423157228868329
1956,1950-1978,125.799765,-0.02064709952436376
1956,1950-1978,251.59953,-0.04323591421513784
1956,1950-1978,503.19906,-0.09454347350840049
1956,1950-1978,1006.39812,-0.1644697332108497
1956,1950-1978,2012.796241,-0.198849521222647
1957,1950-1978,125.799765,-0.06899799019844406
1957,1950-1978,251.59953,-0.07226354839987359
1957,1950-1978,503.19906,-0.05608934207576707
1957,1950-1978,1006.39812,-0.05794692683489041
1957,1950-1978,2012.796241,-0.06608170126473756
1958,1950-1978,125.799765,0.015854652828361997
1958,1950-1978,251.59953,-0.014626750335436514
1958,1950-1978,503.19906,-0.06160448311016579
1958,1950-1978,1006.39812,-0.13003219744765018
1958,1950-1978,2012.796241,-0.16868326621223362
1959,1950-1978,125.799765,-0.06816745640684214
1959,1950-1978,251.59953,-0.10202947019020144
1959,1950-1978,503.19906,-0.13675158018280564
1959,1950-1978,1006.39812,-0.1792073132187555
1959,1950-1978,2012.796241,-0.20704593452903164
1960,1950-1978,125.799765,-0.06988068619005923
1960,1950-1978,251.59953,-0.08255716801553592
1960,1950-1978,503.19906,-0.10113203140751743
1960,1950-1978,1006.39812,-0.1485753744929599
1960,1950-1978,2012.796241,-0.18028817034158454
1961,1950-1978,125.799765,-0.06581826602362954
1961,1950-1978,251.59953,-0.11315494857686859
1961,1950-1978,503.19906,-0.18978216003250495
1961,1950-1978,1006.39812,-0.24401241384257324
1961,1950-1978,2012.796241,-0.2633718417185947
1962,1950-1978,125.799765,-0.03883719274628624
1962,1950-1978,251.59953,-0.044355273277993566
1962,1950-1978,503.19906,-0.06563670250350602
1962,1950-1978,1006.39812,-0.10868590387469783
1962,1950-1978,2012.796241,-0.13086295660785155
1963,1950-1978,125.799765,-0.05411899448105654
1963,1950-1978,251.59953,-0.05204459630323014
1963,1950-1978,503.19906,-0.0391429018431085
1963,1950-1978,1006.39812,-0.052394190157526034
1963,1950-1978,2012.796241,-0.07393960610494692
1964,1950-1978,125.799765,-0.06972788409366497
1964,1950-1978,251.59953,-0.09579476828051459
1964,1950-1978,503.19906,-0.13794030852462125
1964,1950-1978,1006.39812,-0.18291637976000577
1964,1950-1978,2012.796241,-0.20774512262669234
1965,1950-1978,125.799765,-0.04206796266575478
1965,1950-1978,251.59953,-0.043807496518882084
1965,1950-1978,503.19906,-0.03721157379988719
1965,1950-1978,1006.39812,-0.056323162014540094
1965,1950-1978,2012.796241,-0.07811372507631491
1966,1950-1978,125.799765,-0.0020206471334280516
1966,1950-1978,251.59953,-0.003068844303897237
1966,1950-1978,503.19906,-0.013123609147139725
1966,1950-1978,1006.39812,-0.06875377307292159
1966,1950-1978,2012.796241,-0.10618442313590863
1967,1950-1978,125.799765,-0.09584385240257405
1967,1950-1978,251.59953,-0.14127328766513234
1967,1950-1978,503.19906,-0.18607858846869332
1967,1950-1978,1006.39812,-0.21244960162411874
1967,1950-1978,2012.796241,-0.23018562317067892
1968,1950-1978,125.799765,0.059179305464677236
1968,1950-1978,251.59953,0.05036451447434653
1968,1950-1978,503.19906,0.011629145613247424
1968,1950-1978,1006.39812,-0.039988985207111395
1968,1950-1978,2012.796241,-0.06308598277393751
1969,1950-1978,125.799765,-0.03323032332012895
1969,1950-1978,251.59953,-0.03626012328529612
1969,1950-1978,503.19906,-0.053995162670461894
1969,1950-1978,1006.39812,-0.09584433390331641
1969,1950-1978,2012.796241,-0.11776790501576084
1970,1950-1978,125.799765,-0.08642678142080647
1970,1950-1978,251.59953,-0.06402371860290786
1970,1950-1978,503.19906,-0.06110982952537303
1970,1950-1978,1006.39812,-0.10467335098480453
1970,1950-1978,2012.796241,-0.13287833999802837
1971,1950-1978,125.799765,-0.15021163432681042
1971,1950-1978,251.59953,-0.17179845139216995
1971,1950-1978,503.19906,-0.1975044223370662
1971,1950-1978,1006.39812,-0.239693065400717
1971,1950-1978,2012.796241,-0.2643767585224743
1972,1950-1978,125.799765,-0.061295964744248
1972,1950-1978,251.59953,-0.09247714843007049
1972,1950-1978,503.19906,-0.13490768269744155
1972,1950-1978,1006.39812,-0.18319885609271958
1972,1950-1978,2012.796241,-0.20694345403806744
1973,1950-1978,125.799765,-0.03911681831717225
1973,1950-1978,251.59953,-0.04752150574255679
1973,1950-1978,503.19906,-0.05555738758834835
1973,1950-1978,1006.39812,-0.0845052894219549
1973,1950-1978,2012.796241,-0.10686727463909196
