i,j,rook
0,25,True
0,1,True
0,26,False
1,26,True
1,2,True
1,27,False
2,27,True
2,3,True
2,28,False
3,28,True
3,4,True
3,29,False
4,29,True
4,5,True
4,30,False
5,30,True
5,6,True
5,31,False
6,31,True
6,7,True
6,32,False
7,32,True
7,8,True
7,33,False
8,33,True
8,9,True
8,34,False
9,34,True
9,10,True
9,35,False
10,35,True
10,11,True
10,36,False
11,36,True
11,12,True
11,37,False
12,37,True
12,13,True
12,38,False
13,38,True
13,14,True
13,39,False
14,39,True
14,15,True
14,40,False
15,40,True
15,16,True
15,41,False
16,41,True
16,17,True
16,42,False
17,42,True
17,18,True
17,43,False
18,43,True
18,19,True
18,44,False
19,44,True
19,20,True
19,45,False
20,45,True
20,21,True
20,46,False
21,46,True
21,22,True
21,47,False
22,47,True
22,23,True
22,48,False
23,48,True
23,24,True
23,49,False
24,49,True
25,50,True
25,26,True
25,51,False
25,1,False
26,51,True
26,27,True
26,52,False
26,2,False
27,52,True
27,28,True
27,53,False
27,3,False
28,53,True
28,29,True
28,54,False
28,4,False
29,54,True
29,30,True
29,55,False
29,5,False
30,55,True
30,31,True
30,56,False
30,6,False
31,56,True
31,32,True
31,57,False
31,7,False
32,57,True
32,33,True
32,58,False
32,8,False
33,58,True
33,34,True
33,59,False
33,9,False
34,59,True
34,35,True
34,60,False
34,10,False
35,60,True
35,36,True
35,61,False
35,11,False
36,61,True
36,37,True
36,62,False
36,12,False
37,62,True
37,38,True
37,63,False
37,13,False
38,63,True
38,39,True
38,64,False
38,14,False
39,64,True
39,40,True
39,65,False
39,15,False
40,65,True
40,41,True
40,66,False
40,16,False
41,66,True
41,42,True
41,67,False
41,17,False
42,67,True
42,43,True
42,68,False
42,18,False
43,68,True
43,44,True
43,69,False
43,19,False
44,69,True
44,45,True
44,70,False
44,20,False
45,70,True
45,46,True
45,71,False
45,21,False
46,71,True
46,47,True
46,72,False
46,22,False
47,72,True
47,48,True
47,73,False
47,23,False
48,73,True
48,49,True
48,74,False
48,24,False
49,74,True
50,51,True
50,26,False
51,52,True
51,75,False
51,27,False
52,75,True
52,53,True
52,76,False
52,28,False
53,76,True
53,54,True
53,77,False
53,29,False
54,77,True
54,55,True
54,78,False
54,30,False
55,78,True
55,56,True
55,79,False
55,31,False
56,79,True
56,57,True
56,80,False
56,32,False
57,80,True
57,58,True
57,81,False
57,33,False
