year,method,outcome,subset,mae,bias,outer_fold
1991,graph,A,all,0.008578038874888835,0.0006768172187552062,1
1991,graph,A,high,0.008067751504899386,0.0006146686672208953,1
1991,graph,A_new344,all,0.010674985858624177,0.0009234605795649743,1
1991,graph,A_new344,high,0.010092863365851096,0.0008388823836377742,1
1991,graph,C,all,0.014592768218014657,0.00038552475091901565,1
1991,graph,C,high,0.013662366782137692,-0.0001020970258125743,1
1991,interpolation,A,all,0.01426441472231275,0.006469877488122463,1
1991,interpolation,A,high,0.01442363157713036,0.006211598092775708,1
1991,interpolation,A_new344,all,0.018984667216511045,0.008610831459595007,1
1991,interpolation,A_new344,high,0.019196570688389477,0.0082670845576019,1
1991,interpolation,C,all,0.018385974848732112,0.014009934272056728,1
1991,interpolation,C,high,0.019170794204335075,0.01445414699416921,1
1991,mean,A,all,0.027691031325731356,0.0011838159469125566,1
1991,mean,A,high,0.02262781602492197,0.00042081249822378125,1
1991,mean,A_new344,all,0.02803988678396874,0.0013945060811926993,1
1991,mean,A_new344,high,0.02290321095805955,0.0005427810626420611,1
1991,mean,C,all,0.03085500948107124,0.0010472218347405058,1
1991,mean,C,high,0.02574416526802744,-5.463525872712894e-05,1
1991,simple,A,all,0.00876537618924159,0.0008836947677949948,1
1991,simple,A,high,0.008050195775740364,0.0008026157246602974,1
1991,simple,A_new344,all,0.010892493218963765,0.0011310983396097284,1
1991,simple,A_new344,high,0.010082746365703126,0.0010729664656475356,1
1991,simple,C,all,0.014762319797195616,0.0007421846794565467,1
1991,simple,C,high,0.013503027391031895,9.770390793197974e-05,1
1991,variogram,A,all,0.00847960633509698,0.0005581548601217987,1
1991,variogram,A,high,0.0078434330318677,0.0005122191870754576,1
1991,variogram,A_new344,all,0.010564574572163058,0.0008420424237164767,1
1991,variogram,A_new344,high,0.009849826132146943,0.0007887233658901021,1
1991,variogram,C,all,0.014432091790803599,7.271045929801713e-05,1
1991,variogram,C,high,0.013690846118968555,-0.00018499370597976173,1
1992,graph,A,all,0.008280156751218348,0.0004034549090904327,1
1992,graph,A,high,0.007322863784726274,0.0006748630625407904,1
