year,outcome,subset,reference,improvement_pp
1991,A,all,simple,0.018733731435275486
1992,A,all,simple,-0.004523172280879867
1993,A,all,simple,0.013318830521389866
1994,A,all,simple,0.006129451048711432
1995,A,all,simple,0.009175572184028612
1996,A,all,simple,0.00649224171414553
1997,A,all,simple,0.0029518685739578915
1998,A,all,simple,0.007424401141446508
1999,A,all,simple,0.006003267953753888
2000,A,all,simple,0.0072224706866101315
2001,A,all,simple,3.618334522281774e-05
2002,A,all,simple,0.019067839238884506
2003,A,all,simple,-0.002349309037136607
2004,A,all,simple,0.008779396175293691
2005,A,all,simple,0.009078547290399148
2006,A,all,simple,-0.004445069471124656
2007,A,all,simple,0.011486103958168944
2008,A,all,simple,0.005430658196024958
2009,A,all,simple,0.0062826980072015065
2010,A,all,simple,0.011594861707055204
2011,A,all,simple,0.0037104335446083714
2012,A,all,simple,0.0030287879981808277
2013,A,all,simple,0.017496510160992275
2014,A,all,simple,0.01693264525884624
2016,A,all,simple,-0.0005659365856607035
2017,A,all,simple,0.004677395407558932
2018,A,all,simple,0.002917905325763512
2019,A,all,simple,0.013583167322652606
2020,A,all,simple,0.011767975905719284
2021,A,all,simple,0.009222287110510242
2023,A,all,simple,0.007002012263180625
2024,A,all,simple,-0.004410204323102539
2025,A,all,simple,0.0033426462378963705
1991,A,all,variogram,-0.00984325397918543
1992,A,all,variogram,-0.007048076850654089
1993,A,all,variogram,-0.006440103593221419
1994,A,all,variogram,-0.00394506595270995
1995,A,all,variogram,-5.9182764379842046e-05
1996,A,all,variogram,-0.007955690872176423
1997,A,all,variogram,-0.001267952683134399
1998,A,all,variogram,-0.009137890021665776
1999,A,all,variogram,-0.015818461570107564
2000,A,all,variogram,-0.008853760306153612
2001,A,all,variogram,-0.010118663799334529
2002,A,all,variogram,-0.014046603335593141
2003,A,all,variogram,-0.0012170808400567557
2004,A,all,variogram,0.011756213006846629
2005,A,all,variogram,-0.008020144074157715
2006,A,all,variogram,0.0009641793646738075
2007,A,all,variogram,-0.010951637829060244
2008,A,all,variogram,-0.005584567535065442
2009,A,all,variogram,-0.012907123090262311
2010,A,all,variogram,0.001494961738900992
2011,A,all,variogram,-0.002878406505928306
2012,A,all,variogram,-0.008873919608218608
2013,A,all,variogram,-0.006711563448760956
2014,A,all,variogram,-0.0005903575648695189
2016,A,all,variogram,-0.007519490076963488
2017,A,all,variogram,-0.007575503366583601
2018,A,all,variogram,-0.0007952237129524656
2019,A,all,variogram,-0.001028739197811608
2020,A,all,variogram,-0.006440817851857163
2021,A,all,variogram,-0.008275852899752682
2023,A,all,variogram,-0.006609639954661441
2024,A,all,variogram,0.007938583331687683
2025,A,all,variogram,-0.005894946363622141
1991,A,high,simple,-0.0017555729159022052
1992,A,high,simple,-0.005217609010167625
1993,A,high,simple,0.0025675401854690326
1994,A,high,simple,0.007338015947065766
1995,A,high,simple,0.011768049545968391
1996,A,high,simple,-0.0006448973293227307
1997,A,high,simple,-0.009971698863167188
1998,A,high,simple,0.002996901173287804
1999,A,high,simple,0.02156135120783458
2000,A,high,simple,0.002501401947876611
2001,A,high,simple,0.009465923279977206
2002,A,high,simple,-0.0039848760371417186
2003,A,high,simple,-3.924342662411234e-05
2004,A,high,simple,-0.0016511148054695543
2005,A,high,simple,0.0038517265844627627
2006,A,high,simple,-0.01749489919229512
2007,A,high,simple,0.011901870762022482
2008,A,high,simple,0.011006655863027813
2009,A,high,simple,0.003702336687312277
2010,A,high,simple,-0.002809499128309228
2011,A,high,simple,0.00018637229809636766
2012,A,high,simple,0.012174050929849353
2013,A,high,simple,0.03463680932754912
2014,A,high,simple,0.013038633351154794
2016,A,high,simple,0.006150792455775038
2017,A,high,simple,0.016059052321744198
2018,A,high,simple,0.013980600324887352
2019,A,high,simple,0.0022453452506510096
2020,A,high,simple,0.0010573295281393787
2021,A,high,simple,0.0048145467615576774
2023,A,high,simple,-0.002453520527264698
2024,A,high,simple,-0.008684258201336215
2025,A,high,simple,-0.0015122171956351294
1991,A,high,variogram,-0.022431847303168613
1992,A,high,variogram,0.0003556869617217691
1993,A,high,variogram,-0.0028482796768060197
1994,A,high,variogram,-0.0003026369670552573
1995,A,high,variogram,0.0008601889125848042
1996,A,high,variogram,0.0027024021883338516
1997,A,high,variogram,-0.007295900215139022
1998,A,high,variogram,-0.01291297972304973
1999,A,high,variogram,-0.008869154431244506
2000,A,high,variogram,-0.0028122545085328653
2001,A,high,variogram,-0.0038691799191444345
2002,A,high,variogram,-0.015523687544495221
2003,A,high,variogram,0.0105116910533401
2004,A,high,variogram,0.012319770780122585
2005,A,high,variogram,0.009089452368619532
2006,A,high,variogram,-0.011934642863714248
2007,A,high,variogram,-0.02714600642050825
2008,A,high,variogram,-0.003301642313785578
2009,A,high,variogram,-0.007999821592817938
2010,A,high,variogram,0.010896596640502625
2011,A,high,variogram,-0.0012580591085327268
2012,A,high,variogram,-0.0028119896888223472
2013,A,high,variogram,0.002254758127516465
2014,A,high,variogram,0.01370430438099408
2016,A,high,variogram,-0.005557252399165675
2017,A,high,variogram,-0.00469269199733658
2018,A,high,variogram,0.023403262748429837
2019,A,high,variogram,-0.01116721537565233
2020,A,high,variogram,-0.004207356814052432
2021,A,high,variogram,-0.0026097936483279044
2023,A,high,variogram,-0.005421457790270607
2024,A,high,variogram,0.019983898004199887
2025,A,high,variogram,0.0018974255240976519
1991,A_new344,all,simple,0.02175073603395885
1992,A_new344,all,simple,-0.008059707512838264
1993,A_new344,all,simple,0.01583404884725574
1994,A_new344,all,simple,0.005768076308885345
1995,A_new344,all,simple,0.009186662992774139
1996,A_new344,all,simple,0.008263818396742409
1997,A_new344,all,simple,0.0040187885510478
1998,A_new344,all,simple,0.007299074170193792
1999,A_new344,all,simple,0.008243751103401663
2000,A_new344,all,simple,0.01058605595697995
2001,A_new344,all,simple,0.0007680375307194537
