year,method,threshold_c,mae,bias,outcome,subset
1991,graph,9.5,0.0011981633543020173,-0.0003621934523673225,A,all
1991,graph,9.75,0.001200262205805756,-0.0003866534469214879,A,all
1991,graph,10.0,0.001465485551130039,-0.00023050295902826,A,all
1991,graph,10.25,0.0017816246313211472,-0.0002766537838281278,A,all
1991,graph,10.5,0.0017243455247961607,-0.0003954434114648156,A,all
1991,graph,10.75,0.0018740493680197666,-0.0005770601665209341,A,all
1991,graph,11.0,0.0019905746307928023,-0.00021438937775038894,A,all
1991,graph,11.25,0.0020741036389477423,0.00031777617818876553,A,all
1991,graph,11.5,0.002441518324974267,0.0007004686542658057,A,all
1991,graph,11.75,0.002430398859943571,0.0009686185996745423,A,all
1991,graph,12.0,0.0026895450686046075,0.0004921965959602799,A,all
1991,graph,12.25,0.003649776871992564,0.00039132679055029255,A,all
1991,graph,12.5,0.004592872187575641,0.0007547792863002283,A,all
1991,graph,12.75,0.005331990169814587,0.0011921002615351466,A,all
1991,graph,13.0,0.005307952087820526,0.0013847460259658086,A,all
1991,graph,13.25,0.00528958231999934,0.0014344480982743954,A,all
1991,graph,13.5,0.005539712599346357,0.0026215099021529437,A,all
1991,graph,13.75,0.005188271524046563,0.002447968656408659,A,all
1991,graph,14.0,0.0049272852588527335,0.0026592388042712303,A,all
1991,graph,14.25,0.005873775099738496,0.0027652934980734963,A,all
1991,graph,14.5,0.006439861561028075,0.002356339670882074,A,all
1991,graph,14.75,0.006651464213794647,0.001790706013733768,A,all
1991,graph,15.0,0.00741769872696347,0.00025366021052184974,A,all
1991,graph,15.25,0.0066486694062836416,0.0005325460700594836,A,all
1991,graph,15.5,0.006612036968590585,0.0010617538784057853,A,all
1991,graph,15.75,0.00673799879964317,0.0003715523115583898,A,all
1991,graph,16.0,0.007868309535360931,0.0004673365412128236,A,all
1991,graph,16.25,0.00911055352460262,-0.0013122152386989578,A,all
1991,graph,16.5,0.009347321907209572,-0.0014543475000627437,A,all
1991,graph,16.75,0.008896964467132564,-0.0008308407066686183,A,all
1991,graph,17.0,0.009129156024620463,-0.0015347246565950946,A,all
1991,graph,17.25,0.009543247663896477,-0.001178052452521822,A,all
1991,graph,17.5,0.009625000017050231,-0.0016025737651306773,A,all
1991,graph,17.75,0.010016191392481989,-0.0018887217513727853,A,all
1991,graph,18.0,0.010583749754752755,-0.0015599056605273458,A,all
1991,graph,18.25,0.011335532023662347,-0.0021309876724175535,A,all
1991,graph,18.5,0.01103294227271793,-8.62418858355657e-05,A,all
1991,graph,18.75,0.01198423923389559,-0.0005026786309538072,A,all
1991,graph,19.0,0.011079906822604011,-0.0011012570585909396,A,all
1991,graph,19.25,0.011376811756787666,-0.0004163324332706547,A,all
1991,graph,19.5,0.012108240860018321,-0.0004125839210184369,A,all
1991,graph,19.75,0.01160938330133461,0.0008754515877579163,A,all
1991,graph,20.0,0.010660560371488471,-3.483049183958781e-05,A,all
1991,graph,20.25,0.011227354117811292,0.0007163410131754474,A,all
1991,graph,20.5,0.012894729023268844,-1.5351819402018713e-05,A,all
1991,graph,20.75,0.012080570174275653,9.33554149676492e-05,A,all
1991,graph,21.0,0.01158570967686203,0.0002914646287161199,A,all
1991,graph,21.25,0.011845977130343481,3.5513967705538644e-05,A,all
1991,graph,21.5,0.013550155035310379,-0.0015424008391806158,A,all
1991,graph,21.75,0.014214753076102843,-0.002846445166688165,A,all
1991,graph,22.0,0.014642956478669812,-0.003131124490424308,A,all
1991,graph,22.25,0.014311294900884737,-0.0033000793891823517,A,all
1991,graph,22.5,0.013281327878796925,-0.0018778442016176924,A,all
1991,graph,22.75,0.01370602450174172,-0.0004172615931927054,A,all
1991,graph,23.0,0.011731346670577252,-0.0012782712575258794,A,all
1991,graph,23.25,0.011144101407654624,-0.001999045383796546,A,all
1991,graph,23.5,0.01269560753946789,-0.0006290529297772573,A,all
1991,graph,23.75,0.013288800336692467,0.004217098756491262,A,all
1991,graph,24.0,0.013511126697378325,0.001420442564038051,A,all
1991,graph,24.25,0.014042651765107222,0.0019342098118431711,A,all
1991,graph,24.5,0.014478796061217691,0.0016353002914588119,A,all
1991,graph,24.75,0.013234432330423996,0.0019018179437119166,A,all
1991,graph,25.0,0.012148665292231539,0.003514918535160144,A,all
1991,graph,25.25,0.012906175806228513,0.004021107700280239,A,all
1991,graph,25.5,0.013987149459850875,0.0069638033104897105,A,all
1991,graph,25.75,0.014051491784628842,0.0056272066837663726,A,all
1991,graph,26.0,0.013056337370726645,0.0032419327610232838,A,all
1991,graph,26.25,0.011868412693018216,0.003348064215486953,A,all
1991,graph,26.5,0.010164561206456634,0.004239105372304227,A,all
1991,graph,26.75,0.010114949298053818,0.0038423115866363876,A,all
1991,graph,27.0,0.007541453220870427,0.003990279722805717,A,all
1991,graph,27.25,0.0069576526163016945,0.0029284075540035874,A,all
1991,graph,27.5,0.004954470034129293,0.0025914246803646792,A,all
1991,graph,27.75,0.004799272782421875,0.0025394648599663234,A,all
1991,graph,28.0,0.003950848519334486,0.0010761067837267253,A,all
1991,graph,28.25,0.0024443326330666707,0.0008991694468988091,A,all
1991,graph,28.5,0.001708375962788707,0.0007323280975495354,A,all
1991,interpolation,9.5,0.0011954890314943428,0.0011954890314943428,A,all
1991,interpolation,9.75,0.0014528141468290454,0.0014528141468290454,A,all
1991,interpolation,10.0,0.0016922689069201696,0.0016922689069201696,A,all
1991,interpolation,10.25,0.0021697922543530888,0.0021697922543530888,A,all
1991,interpolation,10.5,0.0023924848310885372,0.0023924848310885372,A,all
1991,interpolation,10.75,0.0026954739118874842,0.0026954739118874842,A,all
1991,interpolation,11.0,0.003097564177378744,0.003097564177378744,A,all
1991,interpolation,11.25,0.00368143083958083,0.003680602991348676,A,all
1991,interpolation,11.5,0.004482101175846457,0.004437018135062732,A,all
1991,interpolation,11.75,0.005068896505696224,0.005068896505696224,A,all
1991,interpolation,12.0,0.00545587928912795,0.005455407333058628,A,all
1991,interpolation,12.25,0.006064144117472354,0.005717143241316353,A,all
1991,interpolation,12.5,0.006281609676164523,0.006054066456665309,A,all
1991,interpolation,12.75,0.007397872273564844,0.007144282040404651,A,all
1991,interpolation,13.0,0.007626866806115611,0.0073950206178915465,A,all
1991,interpolation,13.25,0.007814981528345645,0.007479919209702789,A,all
1991,interpolation,13.5,0.008550111011467177,0.008110280278948173,A,all
1991,interpolation,13.75,0.007821767767270645,0.007613496639831877,A,all
1991,interpolation,14.0,0.008192973102419027,0.007788810846284271,A,all
1991,interpolation,14.25,0.008407942486922497,0.008111154019500256,A,all
1991,interpolation,14.5,0.00868953072792887,0.007846078356374011,A,all
1991,interpolation,14.75,0.008480024705823312,0.0076970159226620255,A,all
1991,interpolation,15.0,0.008256801703037135,0.007216397577471984,A,all
1991,interpolation,15.25,0.008886786011299849,0.008015563955893989,A,all
1991,interpolation,15.5,0.00934336264084148,0.00822783220511726,A,all
1991,interpolation,15.75,0.009835536839121433,0.00906427152083004,A,all
1991,interpolation,16.0,0.01060108623742771,0.009782276676322704,A,all
1991,interpolation,16.25,0.010348506540161213,0.009256070423867668,A,all
1991,interpolation,16.5,0.010334074246028018,0.009322124466922453,A,all
1991,interpolation,16.75,0.011401449775530634,0.010699854553061121,A,all
1991,interpolation,17.0,0.012385502872877277,0.011261907849923128,A,all
1991,interpolation,17.25,0.011375626243166929,0.010382112753056895,A,all
1991,interpolation,17.5,0.011839779978569309,0.01098681013591297,A,all
1991,interpolation,17.75,0.012440291171724314,0.011586175751837721,A,all
1991,interpolation,18.0,0.01424202507166806,0.013241649421690418,A,all
1991,interpolation,18.25,0.014609842362784951,0.013765948106156346,A,all
1991,interpolation,18.5,0.01608358499426218,0.015462561729633673,A,all
1991,interpolation,18.75,0.018168595605782167,0.01773422281670424,A,all
1991,interpolation,19.0,0.019380403633202887,0.01886520325338443,A,all
1991,interpolation,19.25,0.020744282818217594,0.0206963524802693,A,all
1991,interpolation,19.5,0.02157185104871268,0.021490698015370346,A,all
1991,interpolation,19.75,0.024792807613041295,0.024452419921223992,A,all
1991,interpolation,20.0,0.02583456659580657,0.025467641007107047,A,all
1991,interpolation,20.25,0.027340470585237652,0.02714767626811902,A,all
1991,interpolation,20.5,0.02824052474605257,0.027534304703294127,A,all
1991,interpolation,20.75,0.029636295862319657,0.02842876440134619,A,all
1991,interpolation,21.0,0.028780045558393114,0.027927043397290716,A,all
1991,interpolation,21.25,0.028350277986117684,0.027672222114055126,A,all
1991,interpolation,21.5,0.02705106760183772,0.02570349329703329,A,all
1991,interpolation,21.75,0.026572891419676527,0.02515373560823149,A,all
1991,interpolation,22.0,0.023777854644978166,0.0232818702701663,A,all
1991,interpolation,22.25,0.024395346284129944,0.02234282632616706,A,all
1991,interpolation,22.5,0.024110870913477286,0.021844798743613725,A,all
1991,interpolation,22.75,0.02292198468349192,0.019902648358325406,A,all
1991,interpolation,23.0,0.022960301286189564,0.0159107851188157,A,all
1991,interpolation,23.25,0.020880460892835923,0.012991030949145154,A,all
1991,interpolation,23.5,0.02080180311643733,0.010613810469653292,A,all
1991,interpolation,23.75,0.0207879252557564,0.00815745858756157,A,all
1991,interpolation,24.0,0.01929375411140356,0.003524953949772506,A,all
1991,interpolation,24.25,0.019015748772835118,-0.0011657039615498262,A,all
1991,interpolation,24.5,0.018449929723485706,-0.0061982900669309724,A,all
1991,interpolation,24.75,0.01991266340414809,-0.012077056006224496,A,all
1991,interpolation,25.0,0.02174674517380228,-0.01585598440110225,A,all
1991,interpolation,25.25,0.023222176574757263,-0.020330452571094376,A,all
1991,interpolation,25.5,0.02420535516995879,-0.022198060828819116,A,all
1991,interpolation,25.75,0.024699801148430747,-0.023612355380588933,A,all
1991,interpolation,26.0,0.023867295252799292,-0.02367369653131672,A,all
1991,interpolation,26.25,0.02297451640812204,-0.022945401400790908,A,all
1991,interpolation,26.5,0.019450611712968493,-0.019450611712968493,A,all
1991,interpolation,26.75,0.017020939580261508,-0.017019405162589027,A,all
1991,interpolation,27.0,0.013578522927906745,-0.013578522927906745,A,all
1991,interpolation,27.25,0.01096661853212993,-0.01096661853212993,A,all
