threshold_c,queen_minus_rook,coslat_minus_land_A,coslat_minus_land_C
9.5,-4.7136961049376504e-05,0.0004073459017964573,0.0004325562664602191
9.75,-5.66077587295993e-05,0.0005117147118804,0.0005442479708376215
10.0,-4.630136236638202e-05,0.0005989211383859478,0.0006280013449301439
10.25,-8.549442237320301e-05,0.0006909109288784185,0.0007446589010053715
10.5,-8.210186712114247e-05,0.0008018613701398156,0.0008623582065394103
10.75,-0.00012733557402075466,0.0009444967270764385,0.0010019604283090459
11.0,-0.0001503247346856841,0.0010648946714294175,0.0011572864557204835
11.25,-0.00022988327531638098,0.0011852779740566047,0.0013154646431421547
11.5,-0.0003051941531959871,0.0013271307150813164,0.001458767621429909
11.75,-0.00037143296730497537,0.0014925073427951331,0.0016564516903702625
12.0,-0.000488643330455724,0.0016460740669474762,0.0018596396249643543
12.25,-0.0005649417317343513,0.0018238944721978116,0.002057513307278779
12.5,-0.0004118386827702651,0.002065713424719255,0.0022779303047803373
12.75,-0.0005396326169375514,0.002198635674041386,0.002439573707737508
13.0,-0.00048538633705295584,0.0024198748182036565,0.0026724121891441785
13.25,-0.00046180221334769095,0.002634882974579207,0.002869371561561671
13.5,-0.00045130120934054607,0.0027899062564342714,0.0030113600985988247
13.75,-0.0004864898058281712,0.0029772112823656938,0.0031969501375559636
14.0,-0.0005903459920625631,0.0031499588167800616,0.003372915039344771
14.25,-0.0006757770392123788,0.0032942901952955628,0.0035235458948845375
14.5,-0.0007544932342664137,0.0034947552802945744,0.0036996096496056813
14.75,-0.0006395193043477326,0.0036179372634705387,0.0037523006076878446
15.0,-0.0005521228605840436,0.003588977222168631,0.0037269533538020344
15.25,-0.0005669928625881282,0.0036097766917656537,0.0038125888732263302
15.5,-0.0007989295759883511,0.003550213725742969,0.0037831840432021105
15.75,-0.0008759446024365278,0.0035741950162997,0.0038238455332186144
16.0,-0.0008671899687060711,0.0035395823899463663,0.003860770223362592
16.25,-0.0007705118572371855,0.003375629337616523,0.0036905410958205168
16.5,-0.0008290085063148295,0.003221698918235455,0.0035440596107390587
16.75,-0.0007979413448485767,0.00307667540161366,0.0033175517596743392
17.0,-0.0011423410044824195,0.0029830193403030947,0.0031282244251696484
17.25,-0.0009419752850941543,0.002766056105385717,0.0029071609470816134
17.5,-0.0008862131738256035,0.0025399696336673577,0.002721102380781923
17.75,-0.0006072904665699319,0.002227900628375107,0.002368893625892196
18.0,-0.0009069101702390281,0.0019527885903182773,0.00209017960566428
18.25,-0.001168554976834893,0.001701017137819727,0.0017941601272829094
18.5,-0.0008908850247668354,0.0014433493572426764,0.0014931922430440336
18.75,-0.0011227066824919668,0.0012121799431732,0.0012495154431774874
19.0,-0.0007840863274103937,0.0009133960518258322,0.0008901726994147291
19.25,-0.0009960329984438354,0.0005403003947606899,0.0005628021809667844
19.5,-0.0014775952872331383,0.00016543775136769467,0.00015634643945597326
19.75,-0.001779488895549755,-0.000223234574128775,-0.00024530961758899295
20.0,-0.0032642942344292686,-0.0006045917615829927,-0.00056204761660128
20.25,-0.003158260261260884,-0.0009763252675372702,-0.0008881415871954262
20.5,-0.003790170806307433,-0.0012713583828452418,-0.0011127205020671632
20.75,-0.0036297641667511205,-0.0017330216257307046,-0.0015552775545382147
21.0,-0.003531574068570714,-0.002086566054676886,-0.0019296991695348237
21.25,-0.003063794731316405,-0.0024460775557245823,-0.0022674974734756825
21.5,-0.0023984710384102464,-0.0027663175029366688,-0.0027114844799595583
21.75,-0.00269028887155609,-0.003036078728574379,-0.003043090336114926
22.0,-0.0021727356361376515,-0.003288120655911428,-0.00339357266494672
22.25,-0.0028318389040413727,-0.003526110332526089,-0.0037218335303075833
22.5,-0.002238067177909947,-0.0036922644599270554,-0.004058466970062541
22.75,-0.001995340916299715,-0.003920158341893354,-0.004427548677435084
23.0,-0.0020710914535395364,-0.004088257871501702,-0.0047468704615160895
23.25,0.00010557297714375302,-0.004278648214072048,-0.005016378245709968
23.5,0.0011814092944696097,-0.004510232202057707,-0.005342296329535312
23.75,0.0021028612554216397,-0.004656129848236351,-0.005663619917720714
24.0,0.004416180947542453,-0.004729644619141049,-0.005792289175209769
24.25,0.006449776403398097,-0.0048350811287667245,-0.00598232200666729
24.5,0.005544491990436121,-0.004810352260269102,-0.006108875529628105
24.75,0.005961514058304598,-0.00470252828856986,-0.005996528152598282
25.0,0.009645124336327693,-0.004548721291271957,-0.005878026926960669
25.25,0.009567909872930616,-0.004336903414021626,-0.005689205134427902
25.5,0.008772143463276039,-0.004151615841674963,-0.005216147998425916
25.75,0.005231989867182721,-0.003946865572736866,-0.004956505117523449
26.0,0.0035246608795613255,-0.0038479862791254565,-0.004641734753943874
26.25,0.0031708927615113,-0.003565449858488931,-0.004152708723047564
26.5,0.002548393911928376,-0.003220589162808485,-0.0036293051560981615
26.75,0.0020699107719216667,-0.0028520710434434826,-0.0031838272367058842
27.0,0.0015656351322074769,-0.0025166242305509345,-0.0026868952187393616
27.25,0.0017584804890098532,-0.002138903775708398,-0.002182114149812904
27.5,0.0018097205697479926,-0.001763954506005888,-0.0017062500969262477
27.75,0.0014025963337201894,-0.0014161547537651017,-0.0013038601229211598
28.0,0.001261262738243599,-0.0010300424948466377,-0.0009128179234765589
28.25,0.0011374215178751156,-0.0007063267412234699,-0.0005821502225783612
28.5,0.0007992666974878503,-0.0004238180922848094,-0.0003069161549430176
