threshold_c,high,middle,difference,lower,upper,outcome,positive_years,negative_years
9.5,0.999429001356253,0.9974436805790177,0.001985320777235454,0.0014502510041162471,0.0025124566330026305,A,30,3
9.75,0.9992753558724038,0.9968551759091266,0.0024201799632771717,0.0017563426350591348,0.0030561305722085364,A,29,4
10.0,0.9990691444626999,0.9961745239692299,0.0028946204934700835,0.0020895419556311817,0.003631235669435022,A,30,3
10.25,0.9988320969256869,0.99533428057384,0.003497816351847005,0.0025731196642289705,0.004341208580872578,A,31,2
10.5,0.9985115379264773,0.9943411833400789,0.004170354586398392,0.0031534876662963687,0.005116622750865552,A,31,2
10.75,0.9981806967296696,0.9931286087359054,0.0050520879937642855,0.0038649145687487552,0.0061505423083827275,A,32,1
11.0,0.99769075883638,0.9916697311048733,0.006021027731506754,0.004679008184865433,0.007236270954730136,A,32,1
11.25,0.9971235400288163,0.9900237838195951,0.007099756209221346,0.005666635243999064,0.008391793170471144,A,32,1
11.5,0.9964479309191665,0.9879697638043952,0.0084781671147715,0.006804106462071036,0.009937824884313459,A,32,1
11.75,0.9955771980829771,0.9857310590428231,0.009846139040154005,0.008049361870623419,0.011446885888905937,A,33,0
12.0,0.994568320628759,0.9830247104187205,0.01154361021003839,0.009569683636164167,0.013322505966800263,A,33,0
12.25,0.9933775039128273,0.9800308851538522,0.013346618758975078,0.011097301133462164,0.015276976394379756,A,33,0
12.5,0.9921006874496003,0.976737885982593,0.01536280146700735,0.012952203283424292,0.01751216489120767,A,33,0
12.75,0.9904740263117666,0.9729789728197559,0.017495053492010644,0.014876653284961993,0.019845843975570498,A,33,0
13.0,0.988694920625873,0.9688249933478706,0.01986992727800241,0.016955224729003064,0.022456005843195962,A,33,0
13.25,0.9864397816978621,0.9644515982898936,0.02198818340796846,0.018978125699921137,0.02465255400491941,A,33,0
13.5,0.9838626915611036,0.959455530681839,0.02440716087926453,0.02120111977674144,0.027244241911573014,A,33,0
13.75,0.9808971787009297,0.9541745238915588,0.02672265480937098,0.023165261569432508,0.029867878640764546,A,33,0
14.0,0.9775681500970969,0.948225204247569,0.02934294584952784,0.025384068073322132,0.032919790181816164,A,33,0
14.25,0.9740812505073879,0.9420156018549543,0.03206564865243368,0.027916365035473626,0.03587248464968714,A,33,0
14.5,0.9701942158930971,0.9353662081401309,0.03482800775296613,0.030455086689134256,0.03898328968478202,A,33,0
14.75,0.9659386894082579,0.9285034131211715,0.03743527628708643,0.032824031826726066,0.041863426318804464,A,33,0
15.0,0.9613588779398097,0.9210367425342526,0.04032213540555708,0.03539260416697159,0.044958099965108946,A,33,0
15.25,0.9565445322246678,0.9133113712757219,0.043233160948945956,0.038032408647201726,0.048149554505404556,A,33,0
15.5,0.951157513072595,0.9050876417622359,0.046069871310359174,0.040474086610085884,0.0513015327239869,A,33,0
15.75,0.9456049378089487,0.8965736471202723,0.0490312906886764,0.043050039636986975,0.054657411448211075,A,33,0
16.0,0.9399557694812776,0.8876404345470764,0.052315334934201194,0.04617956603257996,0.05830546012907506,A,33,0
16.25,0.933945199134178,0.8786885998152698,0.0552565993189081,0.04889406474667231,0.06136869950285874,A,33,0
16.5,0.9276287812271482,0.8693503438707221,0.05827843735642615,0.05177817896655835,0.06440318639873725,A,33,0
16.75,0.9209026386892685,0.8597244310453115,0.06117820764395708,0.054426808206585436,0.06749406026767195,A,33,0
17.0,0.9137854773159217,0.8500239485817751,0.06376152873414676,0.05677635414050581,0.07035898829980751,A,33,0
17.25,0.9065019092962402,0.8398627405281194,0.06663916876812077,0.059668152504848596,0.07344288856982639,A,33,0
17.5,0.8989300386919494,0.8297667283469229,0.06916331034502665,0.061996584312314244,0.07613473739703934,A,33,0
17.75,0.8909145283411182,0.8192535639191654,0.07166096442195276,0.06465639285918277,0.07848419586657149,A,33,0
18.0,0.8825476445642528,0.8084733361971466,0.07407430836710621,0.06698629628789218,0.08098874308777276,A,33,0
18.25,0.8738820412834377,0.7974290814074765,0.07645295987596126,0.06933036204915599,0.08353980416592126,A,33,0
18.5,0.8645175697492434,0.7861047527254181,0.07841281702382534,0.07136520075789805,0.0855700011557341,A,33,0
18.75,0.8551302242421853,0.7745858960562029,0.08054432818598256,0.07332808551331892,0.08789559452052667,A,33,0
19.0,0.8452899907609139,0.7627101750182855,0.0825798157426285,0.07519902322890613,0.09023053354717725,A,33,0
19.25,0.8350906666656216,0.7504280193357215,0.08466264732990016,0.07699728242681352,0.09245446411424053,A,33,0
19.5,0.8248816115348997,0.7378138621223294,0.08706774941257031,0.07943122183791979,0.09519878253315889,A,33,0
19.75,0.8143442204017527,0.7246668445493029,0.0896773758524498,0.08200132838096372,0.09777884533651471,A,33,0
20.0,0.8034070911913621,0.7108100506903039,0.0925970405010583,0.08480399014884321,0.10114237820412234,A,33,0
20.25,0.7922031363857935,0.6962232225622856,0.09597991382350791,0.087986699120572,0.10464261159965749,A,33,0
20.5,0.7803030964931822,0.6811735797671556,0.09912951672602656,0.09099724344978904,0.10838744624275316,A,33,0
20.75,0.7675732105925668,0.6653853588208547,0.10218785177171197,0.09390986169351458,0.11181133804459933,A,33,0
21.0,0.7544447940963529,0.648779039018554,0.1056657550777989,0.09732064334618735,0.11535132619573062,A,33,0
21.25,0.7402263331459904,0.6311903102252457,0.10903602292074463,0.10044507692474597,0.11922087555362212,A,33,0
21.5,0.7252732792048803,0.6128028423433374,0.1124704368615429,0.10378262902807162,0.12287416373106902,A,33,0
21.75,0.7094153910427469,0.5935825404527063,0.11583285059004056,0.10674686530015254,0.12675823476501843,A,33,0
22.0,0.6919597910047869,0.573333463736035,0.11862632726875193,0.10918215216498585,0.12982373228482022,A,33,0
22.25,0.6731017673712028,0.5519849894853284,0.12111677788587441,0.11122269559772083,0.13255878544685762,A,33,0
22.5,0.6532228153571734,0.529563329100357,0.12365948625681657,0.11314780388593498,0.13585883680797917,A,33,0
22.75,0.6317556199107242,0.5062291198976604,0.12552650001306373,0.11415657626896726,0.13831677931409442,A,33,0
23.0,0.6092357685621451,0.4820013684595002,0.1272344001026449,0.11561376910563967,0.1401603294319512,A,33,0
23.25,0.5853993647828815,0.456563466274341,0.12883589850854038,0.11688449164120543,0.14205430979880906,A,33,0
23.5,0.5598363958430452,0.42988097812278003,0.12995541772026525,0.11791757569445727,0.1434147828851725,A,33,0
23.75,0.5323893143302529,0.4020538621078264,0.13033545222242665,0.1182607302374863,0.143815065588266,A,33,0
24.0,0.5029255728276378,0.3738541255053923,0.1290714473222455,0.11703498349207676,0.14236598644283807,A,33,0
24.25,0.4724372268594461,0.3451278940568944,0.1273093328025517,0.11538907905609064,0.14057405713039978,A,33,0
24.5,0.44053532853776994,0.3160968375146832,0.12443849102308671,0.11268568924918285,0.13745003387966848,A,33,0
24.75,0.4068321062722875,0.2861922863943356,0.12063981987795193,0.10966056802215715,0.13279362117345636,A,33,0
25.0,0.37157503870856795,0.25617823457603656,0.11539680413253142,0.10486219759255441,0.12725663151158784,A,33,0
25.25,0.3359757170294442,0.22591725800370846,0.1100584590257357,0.10012048163508824,0.12160219321316083,A,33,0
25.5,0.2996811663154197,0.19642093729737642,0.1032602290180433,0.09411751471975698,0.11398089837900159,A,33,0
