outer_fold,inner_fold,year,role
1,0,1991,test
1,0,1992,test
1,0,1993,test
1,0,1994,test
1,0,1995,test
1,0,1996,buffer
1,0,1997,train
1,0,1998,train
1,0,1999,train
1,0,2000,train
1,0,2001,train
1,0,2002,train
1,0,2003,train
1,0,2004,train
1,0,2005,train
1,0,2006,train
1,0,2007,train
1,0,2008,train
1,0,2009,train
1,0,2010,train
1,0,2011,train
1,0,2012,train
1,0,2013,train
1,0,2014,train
1,0,2015,development
1,0,2016,train
1,0,2017,train
1,0,2018,train
1,0,2019,train
1,0,2020,train
1,0,2021,train
1,0,2022,development
1,0,2023,train
1,0,2024,train
1,0,2025,train
1,2,1997,validation
1,2,1998,validation
1,2,1999,validation
1,2,2000,validation
1,2,2001,buffer
1,2,2002,train
1,2,2003,train
1,2,2004,train
1,2,2005,train
1,2,2006,train
1,2,2007,train
1,2,2008,train
1,2,2009,train
1,2,2010,train
1,2,2011,train
1,2,2012,train
1,2,2013,train
1,2,2014,train
1,2,2016,train
1,2,2017,train
1,2,2018,train
1,2,2019,train
1,2,2020,train
1,2,2021,train
1,2,2023,train
1,2,2024,train
1,2,2025,train
1,3,1997,train
1,3,1998,train
1,3,1999,train
1,3,2000,buffer
1,3,2001,validation
1,3,2002,validation
1,3,2003,validation
1,3,2004,validation
1,3,2005,validation
1,3,2006,buffer
1,3,2007,train
1,3,2008,train
1,3,2009,train
1,3,2010,train
1,3,2011,train
1,3,2012,train
1,3,2013,train
1,3,2014,train
1,3,2016,train
1,3,2017,train
1,3,2018,train
1,3,2019,train
1,3,2020,train
1,3,2021,train
1,3,2023,train
1,3,2024,train
1,3,2025,train
1,4,1997,train
1,4,1998,train
1,4,1999,train
1,4,2000,train
1,4,2001,train
1,4,2002,train
1,4,2003,train
1,4,2004,train
1,4,2005,buffer
1,4,2006,validation
1,4,2007,validation
1,4,2008,validation
1,4,2009,validation
1,4,2010,validation
1,4,2011,buffer
1,4,2012,train
1,4,2013,train
1,4,2014,train
1,4,2016,train
1,4,2017,train
1,4,2018,train
1,4,2019,train
1,4,2020,train
1,4,2021,train
1,4,2023,train
1,4,2024,train
1,4,2025,train
1,5,1997,train
1,5,1998,train
1,5,1999,train
1,5,2000,train
1,5,2001,train
1,5,2002,train
1,5,2003,train
1,5,2004,train
1,5,2005,train
1,5,2006,train
1,5,2007,train
1,5,2008,train
1,5,2009,train
1,5,2010,buffer
1,5,2011,validation
1,5,2012,validation
1,5,2013,validation
1,5,2014,validation
1,5,2016,buffer
1,5,2017,train
1,5,2018,train
1,5,2019,train
1,5,2020,train
1,5,2021,train
1,5,2023,train
1,5,2024,train
1,5,2025,train
1,6,1997,train
1,6,1998,train
1,6,1999,train
1,6,2000,train
1,6,2001,train
1,6,2002,train
1,6,2003,train
1,6,2004,train
1,6,2005,train
1,6,2006,train
1,6,2007,train
1,6,2008,train
1,6,2009,train
1,6,2010,train
1,6,2011,train
1,6,2012,train
1,6,2013,train
1,6,2014,train
1,6,2016,validation
1,6,2017,validation
1,6,2018,validation
1,6,2019,validation
1,6,2020,validation
1,6,2021,buffer
1,6,2023,train
1,6,2024,train
1,6,2025,train
1,7,1997,train
1,7,1998,train
1,7,1999,train
1,7,2000,train
1,7,2001,train
1,7,2002,train
1,7,2003,train
1,7,2004,train
1,7,2005,train
1,7,2006,train
1,7,2007,train
1,7,2008,train
1,7,2009,train
1,7,2010,train
1,7,2011,train
1,7,2012,train
1,7,2013,train
1,7,2014,train
1,7,2016,train
1,7,2017,train
1,7,2018,train
1,7,2019,train
1,7,2020,buffer
1,7,2021,validation
1,7,2023,validation
1,7,2024,validation
1,7,2025,validation
2,0,1991,train
2,0,1992,train
2,0,1993,train
2,0,1994,train
2,0,1995,buffer
2,0,1996,test
2,0,1997,test
2,0,1998,test
2,0,1999,test
2,0,2000,test
2,0,2001,buffer
2,0,2002,train
2,0,2003,train
2,0,2004,train
2,0,2005,train
2,0,2006,train
2,0,2007,train
2,0,2008,train
2,0,2009,train
2,0,2010,train
2,0,2011,train
2,0,2012,train
2,0,2013,train
2,0,2014,train
2,0,2015,development
2,0,2016,train
2,0,2017,train
2,0,2018,train
2,0,2019,train
2,0,2020,train
2,0,2021,train
2,0,2022,development
2,0,2023,train
2,0,2024,train
2,0,2025,train
2,1,1991,validation
2,1,1992,validation
2,1,1993,validation
2,1,1994,validation
2,1,2002,train
2,1,2003,train
2,1,2004,train
2,1,2005,train
2,1,2006,train
2,1,2007,train
2,1,2008,train
2,1,2009,train
2,1,2010,train
2,1,2011,train
2,1,2012,train
2,1,2013,train
2,1,2014,train
2,1,2016,train
2,1,2017,train
2,1,2018,train
2,1,2019,train
2,1,2020,train
2,1,2021,train
2,1,2023,train
2,1,2024,train
2,1,2025,train
2,3,1991,train
2,3,1992,train
2,3,1993,train
2,3,1994,train
2,3,2002,validation
2,3,2003,validation
2,3,2004,validation
2,3,2005,validation
2,3,2006,buffer
2,3,2007,train
2,3,2008,train
2,3,2009,train
2,3,2010,train
2,3,2011,train
2,3,2012,train
2,3,2013,train
2,3,2014,train
2,3,2016,train
2,3,2017,train
2,3,2018,train
2,3,2019,train
2,3,2020,train
2,3,2021,train
2,3,2023,train
2,3,2024,train
2,3,2025,train
2,4,1991,train
2,4,1992,train
2,4,1993,train
2,4,1994,train
2,4,2002,train
2,4,2003,train
2,4,2004,train
2,4,2005,buffer
2,4,2006,validation
2,4,2007,validation
2,4,2008,validation
2,4,2009,validation
2,4,2010,validation
2,4,2011,buffer
2,4,2012,train
2,4,2013,train
2,4,2014,train
2,4,2016,train
2,4,2017,train
2,4,2018,train
2,4,2019,train
2,4,2020,train
2,4,2021,train
2,4,2023,train
2,4,2024,train
2,4,2025,train
2,5,1991,train
2,5,1992,train
2,5,1993,train
2,5,1994,train
2,5,2002,train
2,5,2003,train
2,5,2004,train
2,5,2005,train
2,5,2006,train
2,5,2007,train
2,5,2008,train
2,5,2009,train
2,5,2010,buffer
2,5,2011,validation
2,5,2012,validation
2,5,2013,validation
2,5,2014,validation
2,5,2016,buffer
2,5,2017,train
2,5,2018,train
2,5,2019,train
2,5,2020,train
2,5,2021,train
2,5,2023,train
2,5,2024,train
2,5,2025,train
2,6,1991,train
2,6,1992,train
2,6,1993,train
2,6,1994,train
2,6,2002,train
2,6,2003,train
2,6,2004,train
2,6,2005,train
2,6,2006,train
2,6,2007,train
2,6,2008,train
2,6,2009,train
2,6,2010,train
2,6,2011,train
2,6,2012,train
2,6,2013,train
2,6,2014,train
2,6,2016,validation
2,6,2017,validation
2,6,2018,validation
2,6,2019,validation
2,6,2020,validation
2,6,2021,buffer
2,6,2023,train
2,6,2024,train
2,6,2025,train
2,7,1991,train
2,7,1992,train
2,7,1993,train
2,7,1994,train
2,7,2002,train
2,7,2003,train
2,7,2004,train
2,7,2005,train
2,7,2006,train
2,7,2007,train
2,7,2008,train
2,7,2009,train
2,7,2010,train
2,7,2011,train
2,7,2012,train
2,7,2013,train
2,7,2014,train
2,7,2016,train
2,7,2017,train
2,7,2018,train
2,7,2019,train
2,7,2020,buffer
2,7,2021,validation
2,7,2023,validation
2,7,2024,validation
2,7,2025,validation
3,0,1991,train
3,0,1992,train
3,0,1993,train
3,0,1994,train
3,0,1995,train
3,0,1996,train
3,0,1997,train
3,0,1998,train
3,0,1999,train
3,0,2000,buffer
3,0,2001,test
3,0,2002,test
3,0,2003,test
3,0,2004,test
3,0,2005,test
3,0,2006,buffer
3,0,2007,train
3,0,2008,train
3,0,2009,train
3,0,2010,train
3,0,2011,train
3,0,2012,train
3,0,2013,train
3,0,2014,train
3,0,2015,development
3,0,2016,train
3,0,2017,train
3,0,2018,train
3,0,2019,train
3,0,2020,train
3,0,2021,train
3,0,2022,development
3,0,2023,train
3,0,2024,train
3,0,2025,train
3,1,1991,validation
3,1,1992,validation
3,1,1993,validation
3,1,1994,validation
3,1,1995,validation
3,1,1996,buffer
3,1,1997,train
3,1,1998,train
3,1,1999,train
3,1,2007,train
3,1,2008,train
3,1,2009,train
3,1,2010,train
3,1,2011,train
3,1,2012,train
3,1,2013,train
3,1,2014,train
3,1,2016,train
3,1,2017,train
3,1,2018,train
3,1,2019,train
3,1,2020,train
3,1,2021,train
3,1,2023,train
3,1,2024,train
3,1,2025,train
3,2,1991,train
3,2,1992,train
3,2,1993,train
3,2,1994,train
3,2,1995,buffer
3,2,1996,validation
3,2,1997,validation
3,2,1998,validation
3,2,1999,validation
3,2,2007,train
3,2,2008,train
3,2,2009,train
3,2,2010,train
3,2,2011,train
3,2,2012,train
3,2,2013,train
3,2,2014,train
3,2,2016,train
3,2,2017,train
3,2,2018,train
3,2,2019,train
3,2,2020,train
3,2,2021,train
3,2,2023,train
3,2,2024,train
3,2,2025,train
3,4,1991,train
3,4,1992,train
3,4,1993,train
3,4,1994,train
3,4,1995,train
3,4,1996,train
3,4,1997,train
3,4,1998,train
3,4,1999,train
3,4,2007,validation
3,4,2008,validation
3,4,2009,validation
3,4,2010,validation
3,4,2011,buffer
3,4,2012,train
3,4,2013,train
3,4,2014,train
3,4,2016,train
3,4,2017,train
3,4,2018,train
3,4,2019,train
3,4,2020,train
3,4,2021,train
3,4,2023,train
3,4,2024,train
3,4,2025,train
3,5,1991,train
3,5,1992,train
3,5,1993,train
3,5,1994,train
3,5,1995,train
3,5,1996,train
3,5,1997,train
3,5,1998,train
3,5,1999,train
3,5,2007,train
3,5,2008,train
3,5,2009,train
3,5,2010,buffer
3,5,2011,validation
3,5,2012,validation
3,5,2013,validation
3,5,2014,validation
3,5,2016,buffer
3,5,2017,train
3,5,2018,train
3,5,2019,train
3,5,2020,train
3,5,2021,train
3,5,2023,train
3,5,2024,train
3,5,2025,train
3,6,1991,train
