outcome,subset,reference,improvement_pp,lower_pp,upper_pp,improved_years,worse_years,relative_reduction
A,all,simple,0.006866551455017426,0.005666449153459239,0.008141727041381823,28,5,0.008300734331529537
A,all,variogram,-0.005280478248690652,-0.007028793601367551,-0.003797803745425136,4,29,-0.006478517128609224
A,high,simple,0.004145027245487076,0.0005145863888083029,0.008198075033721152,21,12,0.005550811031210235
A,high,variogram,-0.0017271034124593666,-0.004559994033683663,0.0010412821057795981,12,21,-0.002331181234348302
A_new344,all,simple,0.007700779697716586,0.006245166212693427,0.009040881722862487,28,5,0.007490094388917994
A_new344,all,variogram,-0.006982651122046979,-0.008674874540018395,-0.005412910612762785,4,29,-0.006890014230410765
A_new344,high,simple,0.004255121196139161,0.0005751450575258684,0.008139533294077276,20,13,0.004578866972882211
A_new344,high,variogram,-0.0028789470515425625,-0.006191087701107552,0.0004523710701628293,12,21,-0.003121955071381702
C,all,simple,0.009975593456010342,0.006856343051154279,0.012874163157363243,26,7,0.0071801514823371364
C,all,variogram,-0.013699806699711591,-0.017202953142851828,-0.010142198429831752,2,31,-0.010031684180678641
C,high,simple,0.0035907069537929872,-0.0033001581240020388,0.009952859016655432,18,15,0.0028315003108230854
C,high,variogram,0.0016473797912592125,-0.002754952751605556,0.005961101776037168,18,15,0.0013010573014871365
