outer_fold,method,outcome,alpha
1,mean,A,0.1
1,mean,C,0.1
1,mean,A_new344,0.1
1,simple,A,0.1
1,simple,C,1.0
1,simple,A_new344,0.1
1,variogram,A,0.1
1,variogram,C,1.0
1,variogram,A_new344,0.1
1,graph,A,0.1
1,graph,C,0.1
1,graph,A_new344,0.1
2,mean,A,0.1
2,mean,C,0.1
2,mean,A_new344,0.1
2,simple,A,0.1
2,simple,C,1.0
2,simple,A_new344,0.1
2,variogram,A,0.1
2,variogram,C,1.0
2,variogram,A_new344,0.1
2,graph,A,0.1
2,graph,C,0.1
2,graph,A_new344,0.1
3,mean,A,0.1
3,mean,C,0.1
3,mean,A_new344,0.1
3,simple,A,0.1
3,simple,C,1.0
3,simple,A_new344,0.1
3,variogram,A,0.1
3,variogram,C,1.0
3,variogram,A_new344,0.1
3,graph,A,0.1
3,graph,C,0.1
3,graph,A_new344,0.1
4,mean,A,0.1
4,mean,C,0.1
4,mean,A_new344,0.1
4,simple,A,0.1
4,simple,C,1.0
4,simple,A_new344,0.1
4,variogram,A,0.1
4,variogram,C,1.0
4,variogram,A_new344,0.1
4,graph,A,0.1
4,graph,C,0.1
4,graph,A_new344,0.1
5,mean,A,0.1
5,mean,C,0.1
5,mean,A_new344,0.1
5,simple,A,0.1
5,simple,C,1.0
5,simple,A_new344,0.1
5,variogram,A,0.1
5,variogram,C,1.0
5,variogram,A_new344,0.1
5,graph,A,0.1
5,graph,C,0.1
5,graph,A_new344,0.1
6,mean,A,0.1
6,mean,C,0.1
6,mean,A_new344,0.1
6,simple,A,0.1
6,simple,C,1.0
6,simple,A_new344,0.1
6,variogram,A,0.1
6,variogram,C,1.0
6,variogram,A_new344,0.1
6,graph,A,0.1
6,graph,C,0.1
6,graph,A_new344,0.1
7,mean,A,0.1
7,mean,C,0.1
7,mean,A_new344,0.1
7,simple,A,0.1
7,simple,C,1.0
7,simple,A_new344,0.1
7,variogram,A,0.1
7,variogram,C,1.0
7,variogram,A_new344,0.1
7,graph,A,0.1
7,graph,C,0.1
7,graph,A_new344,0.1
