method,outcome,subset,threshold_c,mae,bias
graph,A,all,9.5,0.0011964305520627853,-0.00014035354024320595
graph,A,all,9.75,0.001349122541940368,-0.00017042020082314567
graph,A,all,10.0,0.0015007619662284455,-0.00019482924408035005
graph,A,all,10.25,0.0016676533012274768,-0.00020473734390437446
graph,A,all,10.5,0.0018015225417199418,-0.00020543914390685607
graph,A,all,10.75,0.001996749283032608,-0.00020566432135489768
graph,A,all,11.0,0.0022280281488006857,-0.00019758450770275549
graph,A,all,11.25,0.002498208157051102,-0.00020839374575261198
graph,A,all,11.5,0.002604690834005046,-0.00018579470076787947
graph,A,all,11.75,0.002850161672437783,-0.0001476174216482641
graph,A,all,12.0,0.0031268363048314813,-0.00014906274025608472
graph,A,all,12.25,0.0034441346238795042,-0.00017561005458167244
graph,A,all,12.5,0.003903240626776262,-0.00017761946488856426
graph,A,all,12.75,0.004175571257976595,-0.00015534236249029103
graph,A,all,13.0,0.004478037051331869,-0.0001465453257200673
graph,A,all,13.25,0.004684067457817356,-0.0001673017079737022
graph,A,all,13.5,0.0049634220834691815,-0.00015256218347522795
graph,A,all,13.75,0.005204998258540139,-0.00015284131416685399
graph,A,all,14.0,0.005545065323964203,-0.0001267914506834084
graph,A,all,14.25,0.005915158741502439,-0.00011517725425471587
graph,A,all,14.5,0.0061881762781955596,-8.746323354708366e-05
graph,A,all,14.75,0.006532663609815438,-5.4092110319410064e-05
graph,A,all,15.0,0.00673880321212978,-8.29989015378522e-06
graph,A,all,15.25,0.007065347042654955,-3.961773157483904e-06
graph,A,all,15.5,0.007367159451108225,8.769519434081766e-06
graph,A,all,15.75,0.007509631204694889,-2.6989838580993608e-06
graph,A,all,16.0,0.007693695365029093,-3.412833400348222e-06
graph,A,all,16.25,0.00801202649111696,-3.8021268036860144e-05
graph,A,all,16.5,0.008181028685649676,-4.343560026973425e-05
graph,A,all,16.75,0.008476525796238539,-2.56825448873097e-05
graph,A,all,17.0,0.008808221861636668,-4.973818447861435e-05
graph,A,all,17.25,0.008987913480460828,-4.6947654011870223e-05
graph,A,all,17.5,0.009096367479434413,-2.8974885408998764e-05
graph,A,all,17.75,0.009356061637389147,-4.4264050974990086e-05
graph,A,all,18.0,0.009484670032214502,-1.922518411412955e-05
graph,A,all,18.25,0.009510221055927352,-2.7157460679277187e-05
graph,A,all,18.5,0.009619232632840369,-5.905562948314909e-05
graph,A,all,18.75,0.009948774393249813,-2.2520249354725915e-05
graph,A,all,19.0,0.010257465792072913,-3.499915810334254e-05
