outcome,subset,reference,threshold_c,improvement_pp,lower_pp,upper_pp
A,all,simple,9.5,-0.0014252217149659354,-0.0028937623190063155,3.4717657460753686e-05
A,all,simple,9.75,-0.0012884908991523726,-0.0029084311544622615,0.000250012670334927
A,all,simple,10.0,-0.00023712068113078687,-0.0015050931115357124,0.0010464366058637034
A,all,simple,10.25,-0.0009295703837911434,-0.002606269634519919,0.0010299839300080085
A,all,simple,10.5,-0.00022700180642347794,-0.0029439597849408457,0.002551771219866173
A,all,simple,10.75,-0.0003166173896652913,-0.0031154138156997547,0.0027124480393864877
A,all,simple,11.0,0.0003615524111965158,-0.001486146189892985,0.002132019558000647
A,all,simple,11.25,0.00024924726407033685,-0.0018944158030830196,0.002091505342334566
A,all,simple,11.5,0.0013676397090325008,-0.0007611628289489206,0.0032765625475717885
A,all,simple,11.75,0.0019457971319646135,0.00022713349607044202,0.0036668060935195327
A,all,simple,12.0,0.0030099056798176967,0.0006949937492882004,0.004894022585861343
A,all,simple,12.25,0.0020513032447761034,-0.0004383193442646013,0.0043311950035214075
A,all,simple,12.5,0.0018410296539502608,0.00018947634807030608,0.003365065436142786
A,all,simple,12.75,0.000919726907682939,-0.0008443625244857045,0.0026884552959760724
A,all,simple,13.0,0.0013193627593548432,0.0004143120348694977,0.0021249558233824364
A,all,simple,13.25,0.0004611156297968001,-0.0010023195931627101,0.002205712393409414
A,all,simple,13.5,0.0005692066581747751,-0.0014155497348604458,0.002667886918965509
A,all,simple,13.75,0.000492153268721621,-0.0007879735351928348,0.001997257680455476
A,all,simple,14.0,0.0014615639211121106,0.00015959904143379307,0.0028706662339620824
A,all,simple,14.25,0.0007643038969754208,-0.000783806608524446,0.002478800540859005
A,all,simple,14.5,0.001158259504911663,-0.0014004754634160572,0.003525275623467602
A,all,simple,14.75,0.0004011468466118457,-0.0023852370087102436,0.0032973753196772868
A,all,simple,15.0,0.0010626711029846302,-0.0023677401832897333,0.00508561183344212
A,all,simple,15.25,0.002888815659360368,-0.0004892803855257471,0.006170489325900949
A,all,simple,15.5,0.004186120017799154,0.0002292911077129726,0.008022630536878036
A,all,simple,15.75,0.0036588237316763973,-0.0004476545503436236,0.007485665664028024
A,all,simple,16.0,0.006250914040132958,0.0035402876915004468,0.00894560113209012
A,all,simple,16.25,0.000746597985615955,-0.0017752002533619235,0.003365166780477103
A,all,simple,16.5,0.0042210157275663,0.0015514087784959133,0.007051131425627374
A,all,simple,16.75,0.004481116117587179,0.0016018697860230766,0.0074697507009593685
A,all,simple,17.0,0.005527443478917241,0.002796451401685256,0.008260311377001929
A,all,simple,17.25,0.005588414510168256,0.0014043008078543646,0.009194616877039194
A,all,simple,17.5,0.005117856694274549,0.0002720248400996201,0.010012342418293367
A,all,simple,17.75,0.007013535088621216,-0.0008573334992464111,0.01395480259439783
A,all,simple,18.0,0.009951986731192968,0.0009567491223889561,0.0170586507384314
A,all,simple,18.25,0.00556996868377963,0.0005987764746661645,0.010673363126789239
A,all,simple,18.5,0.004814466132228351,-0.0008745158948635821,0.010071052952974288
A,all,simple,18.75,0.005743843282546196,-0.0006452407367756939,0.012032699038331908
A,all,simple,19.0,0.006011403686237737,0.0011904736603226475,0.010998702858385405
A,all,simple,19.25,0.003469524310088422,0.000762770161566362,0.00601219034707611
A,all,simple,19.5,0.00037272738153992075,-0.0032131078712527945,0.00395224567394118
A,all,simple,19.75,0.0015145385279115456,-0.003093620688485448,0.005448903260859932
A,all,simple,20.0,0.00108328333275514,-0.0034823652041223933,0.005107321859944331
A,all,simple,20.25,-0.002853376005896872,-0.006913414207940037,0.00037988617602917763
A,all,simple,20.5,0.0008305619217311173,-0.0040797947512252915,0.005095098905272133
A,all,simple,20.75,-0.00023707719468665537,-0.006802472463271965,0.005355258297401857
A,all,simple,21.0,0.0003206038082968302,-0.0051286738500465525,0.0059788016450344735
A,all,simple,21.25,0.0002521870528200361,-0.003674366238323503,0.0039853374560762595
A,all,simple,21.5,0.002572670327524271,-0.0020151827167632637,0.007149250116553692
A,all,simple,21.75,0.004752407953734569,-0.0010605946930516035,0.01027447901761604
A,all,simple,22.0,0.007746251729986493,-0.003121967253834811,0.018210028276596513
A,all,simple,22.25,0.0095823294934229,0.000490952038733192,0.01923156874173664
A,all,simple,22.5,0.014520120438630801,0.004348062992327715,0.024741561366229126
A,all,simple,22.75,0.022153813673602998,0.012782778705099158,0.03225345083200694
A,all,simple,23.0,0.022784483798470343,0.012926695706231398,0.033478373274021526
A,all,simple,23.25,0.025416584360576207,0.02011855686067465,0.030782200265691752
A,all,simple,23.5,0.02583993333464999,0.01839334532746375,0.03466958804937261
A,all,simple,23.75,0.0165843715775322,0.009641834135880567,0.023363060094575616
A,all,simple,24.0,0.013274577011869449,0.004470578354670652,0.021408959190925742
A,all,simple,24.25,0.02570794594580041,0.00944763142060049,0.04118209098790007
A,all,simple,24.5,0.03400852894939306,0.021866130628609527,0.046546135184845225
A,all,simple,24.75,0.0381834452483441,0.02857612466782118,0.047260808170938404
A,all,simple,25.0,0.026140630020831827,0.016694333105402158,0.034806085943844066
A,all,simple,25.25,0.022644257909242148,0.006955682669519201,0.039245196861651614
A,all,simple,25.5,0.015640088838843977,-1.2949335859662246e-05,0.030656835161970923
A,all,simple,25.75,0.009543303305496532,-0.0011746301057911726,0.020386558564902495
A,all,simple,26.0,0.012436999138736658,0.005684836832346303,0.019132133276677208
A,all,simple,26.25,0.010093935437685452,0.004208875827778481,0.015710305955548655
A,all,simple,26.5,0.01176677823863011,0.005608312490312279,0.017573778961139305
A,all,simple,26.75,0.014750410206728728,0.010980316512428012,0.018492466846822844
A,all,simple,27.0,0.009673965463360903,0.004020858622208856,0.014286869675977332
A,all,simple,27.25,0.010765743096306422,0.008961165419727555,0.013056827389179617
A,all,simple,27.5,0.009899679288345455,0.006459409247630154,0.013017161483778114
A,all,simple,27.75,0.006899561285338883,0.004559560688742344,0.008952600193404272
A,all,simple,28.0,0.002280373487290721,0.00020577148269146974,0.004024072748250503
A,all,simple,28.25,0.0010781927736748422,0.0001379171984673628,0.001981838826958104
A,all,simple,28.5,0.0004458222840234561,-0.0005848165114805378,0.0014178085462495682
A,all,variogram,9.5,0.0004158752983969939,-0.001871107071343977,0.0027026797525872637
A,all,variogram,9.75,0.00048403306228872174,-0.0021879613349359847,0.00315860416806767
A,all,variogram,10.0,0.0009521142679508223,-0.0017823768991259974,0.0037290423354308646
A,all,variogram,10.25,0.00031959066935403197,-0.0018444362672066568,0.0026673920132719115
A,all,variogram,10.5,0.0001040787437977825,-0.0019168344310938105,0.0020940296797668807
A,all,variogram,10.75,0.0003744327901917459,-0.0017303433601067201,0.002442327313212427
A,all,variogram,11.0,-0.00038381441366783697,-0.0023295166693345117,0.0014176099186734585
A,all,variogram,11.25,-0.000522226402046853,-0.003067599501700927,0.0017061863640297798
A,all,variogram,11.5,-0.0005303153267323861,-0.003102137356784936,0.0017783055641281363
A,all,variogram,11.75,-0.00042399923585430477,-0.003142679997264729,0.0019378603374806062
A,all,variogram,12.0,-0.0007926607467125064,-0.0028804607756968224,0.001056721962488788
A,all,variogram,12.25,-0.0018529923226416236,-0.0050993460782098494,0.001323372109027844
A,all,variogram,12.5,-0.0020898196935414753,-0.004876962591818739,0.0006999827179614395
A,all,variogram,12.75,-0.0024017182362155083,-0.00523207889029772,0.0005420770235076267
A,all,variogram,13.0,-0.0033691441651118406,-0.00613242653850617,-0.00022851878182974128
A,all,variogram,13.25,-0.0036134386936656757,-0.007714271568710478,0.0006685403133077514
A,all,variogram,13.5,-0.0043405771526661575,-0.00782775211634038,-0.000779827350865335
A,all,variogram,13.75,-0.00421885451445453,-0.006760889785406229,-0.001812396184408768
A,all,variogram,14.0,-0.003792402522021023,-0.007629935477897799,-0.0006477596059540287
A,all,variogram,14.25,-0.0036414171646433837,-0.006744209836133393,-0.0006916093085748495
A,all,variogram,14.5,-0.0025707304159739083,-0.004719768410467447,-0.0002337760005300914
A,all,variogram,14.75,-0.0014621988239248314,-0.003683036282507069,0.001130328911457999
A,all,variogram,15.0,0.0008335950339869476,-0.002284408276344383,0.00392279481928665
A,all,variogram,15.25,0.0018103837698468836,-0.0022218927524365792,0.005628109606057921
A,all,variogram,15.5,0.0014605174875649053,-0.001475837063711742,0.004521271915942534
A,all,variogram,15.75,0.0018763011924287291,-0.0014234114671182096,0.004911792984108822
A,all,variogram,16.0,0.0010478835766617584,-0.0022979559153985837,0.005234588036116171
A,all,variogram,16.25,-0.0004675595413746024,-0.004846049709145574,0.004053936246924135
A,all,variogram,16.5,0.002018719509382722,-0.0033833648335322235,0.007942475647762987
A,all,variogram,16.75,-0.00345050798020141,-0.009397730770638182,0.0027381760076400385
A,all,variogram,17.0,0.0007110886470079542,-0.004910448731657884,0.006103036722423484
A,all,variogram,17.25,-0.00415581853627245,-0.009897890723672718,0.001345490382085348
A,all,variogram,17.5,-0.006508615894947716,-0.012453342586679256,-0.0013967213118288814
A,all,variogram,17.75,-0.010451869284923788,-0.01649551723865158,-0.004447896332515485
A,all,variogram,18.0,-0.008645485546504178,-0.017871226506451295,0.0014558082153990758
A,all,variogram,18.25,-0.012026076775021204,-0.017666942061552223,-0.0064849826362097865
A,all,variogram,18.5,-0.011182641095029517,-0.022733755876586607,0.00041733463116132654
A,all,variogram,18.75,-0.009866766976782862,-0.01657804191375314,-0.003424543109920847
A,all,variogram,19.0,-0.007953208283687204,-0.01485701070893433,-0.0017466452323889696
A,all,variogram,19.25,-0.00741784236795302,-0.012297952536191202,-0.0029336746672700533
A,all,variogram,19.5,-0.004448390696524968,-0.01174030604170202,0.002678941184048618
A,all,variogram,19.75,-0.002161225027974619,-0.009082711062599086,0.003845857343298857
A,all,variogram,20.0,-0.0057915194452574335,-0.011143976180383031,-0.0006824305676069439
A,all,variogram,20.25,-0.004768432488645987,-0.009580805725518225,-0.000374259069313167
A,all,variogram,20.5,-0.0015429365195373827,-0.007246766764647318,0.004799501981349827
A,all,variogram,20.75,-0.00198838384462974,-0.006430545500082252,0.0022563201297152394
A,all,variogram,21.0,-0.001724045422635641,-0.004584393392020334,0.0009461508222090929
A,all,variogram,21.25,-0.0027620125212697933,-0.007600004284761263,0.0021406997300418736
A,all,variogram,21.5,-0.0005944586081385227,-0.005573120781575723,0.004679130296888899
A,all,variogram,21.75,0.0012034363274720588,-0.0023445119844673202,0.004694512096749617
A,all,variogram,22.0,0.0021926773864476895,-0.001655441973979505,0.006359414073717587
A,all,variogram,22.25,0.0018838246788504015,-0.0041304109180282005,0.007524496054181873
A,all,variogram,22.5,-0.0044626270887458295,-0.010377116541655152,0.0006518809851550899
A,all,variogram,22.75,-0.0027704966243961185,-0.0126835073974669,0.006863530342834137
A,all,variogram,23.0,-0.005302493830403033,-0.017226058446008972,0.005222615058554446
A,all,variogram,23.25,-0.010096789074638159,-0.018066920766307035,-0.0019230063751933624
A,all,variogram,23.5,-0.010314675225432416,-0.019900317972125024,-0.0007127797689867926
A,all,variogram,23.75,-0.01228420649078147,-0.02548537473653129,0.0020453653920576528
A,all,variogram,24.0,-0.01286166714025728,-0.02398473463594523,-0.00022403324301255659
A,all,variogram,24.25,-0.01425863990776055,-0.026071456322729586,-0.0006271638660938862
A,all,variogram,24.5,-0.014818810083031686,-0.028510773913644122,0.00024692342266104757
A,all,variogram,24.75,-0.017166384491218108,-0.03033803462892108,-0.0029576932245295173
A,all,variogram,25.0,-0.02521714247356833,-0.039187437622851075,-0.00993946177714696
A,all,variogram,25.25,-0.03158995944041934,-0.045351656243678214,-0.018722150437715333
A,all,variogram,25.5,-0.025909951437751166,-0.03936044232607318,-0.014043784070049707
A,all,variogram,25.75,-0.02437941327650524,-0.038028211373018844,-0.013503205070519407
A,all,variogram,26.0,-0.01563972872777637,-0.02701494371338852,-0.0042574868128036755
A,all,variogram,26.25,-0.004460361209434361,-0.010291228998063857,0.0016128817980599047
A,all,variogram,26.5,-0.005374410618798865,-0.010638093391500233,-0.0004690414267636282
A,all,variogram,26.75,-0.005760227282531199,-0.013316602564622979,0.001650166540152756
A,all,variogram,27.0,-0.01069630054787666,-0.017585960064002315,-0.002904190483858954
A,all,variogram,27.25,-0.009340280013497907,-0.017879572074888914,-0.0008952818902361261
A,all,variogram,27.5,-0.005218516124245415,-0.013815922288942748,0.003136579063240813
A,all,variogram,27.75,-0.003466226932359205,-0.009447216269879221,0.004511950352648879
A,all,variogram,28.0,-0.005917498144462156,-0.010879266102563763,-0.0008157324939085471
A,all,variogram,28.25,-0.0029940618476797607,-0.005966805135781823,-0.00011679936928476888
A,all,variogram,28.5,-7.040287005116965e-05,-0.002117449129809971,0.0021106493719880836
A,high,simple,9.5,-0.0034723899197827836,-0.004857660427377962,-0.0020526735389797073
A,high,simple,9.75,-0.003846335591517144,-0.005247713882551229,-0.0024420273838436242
A,high,simple,10.0,-0.002844028053787277,-0.004082886952040828,-0.0014934232142928296
A,high,simple,10.25,-0.0035083324074332606,-0.004854171695914052,-0.0021463562917928797
A,high,simple,10.5,-0.0022269797243408902,-0.0042317563440272985,-0.00026163932062656917
A,high,simple,10.75,-0.0017142759355607876,-0.003597717468385893,8.232284497643171e-05
A,high,simple,11.0,-0.0020334159621032805,-0.004294531187172287,0.00018042777417200858
A,high,simple,11.25,-0.0016864770540730818,-0.004851963221536622,0.001542055084726074
A,high,simple,11.5,0.0004781892902811453,-0.0023054834046136972,0.003009284031568583
A,high,simple,11.75,0.001999381245553606,-0.0011707491488249947,0.004811242721520147
A,high,simple,12.0,0.0028139579891970573,-0.0005704131202943478,0.005865739300454587
A,high,simple,12.25,0.005306716636673682,0.0009096132575182024,0.009048239471603164
A,high,simple,12.5,0.005449571706366175,0.0006721611158834904,0.009346955874890898
A,high,simple,12.75,0.005732511126664495,0.000806878802723843,0.009764939994204311
A,high,simple,13.0,0.004256199060776063,-0.00016105298848981107,0.008589495824271294
A,high,simple,13.25,0.003079149174558098,-0.0017857157779698552,0.007205781221679126
A,high,simple,13.5,0.0042556765507428315,0.00033341319281588713,0.008343940653786687
A,high,simple,13.75,0.003062048405689879,9.977609731151158e-05,0.0062655089429518186
A,high,simple,14.0,0.002206593044658339,-0.001199507928708874,0.005905849985198522
A,high,simple,14.25,0.0011927597819905269,-0.0016449032454694838,0.004360268156073496
A,high,simple,14.5,-0.0007004932476702367,-0.005159694954470792,0.0032293475802225797
A,high,simple,14.75,-0.0024273189721940877,-0.007484327376633178,0.002163256875633914
A,high,simple,15.0,-0.0008202596480974334,-0.006877964773282412,0.0060166602049792055
A,high,simple,15.25,0.0018430878359182177,-0.004209182026253173,0.009850175052959728
A,high,simple,15.5,0.0023562353266948026,-0.005827420988561659,0.011906344980023785
A,high,simple,15.75,0.00046677634717420135,-0.007156695071424089,0.007310521132236244
A,high,simple,16.0,0.005836278295839391,-0.00012897382709776812,0.011955967484585609
A,high,simple,16.25,-0.00101511051517836,-0.00878779095078206,0.007367430675164486
A,high,simple,16.5,0.0028985029557423766,-0.007257402030307584,0.013580073359619416
A,high,simple,16.75,0.002799790712604426,-0.004428200172136859,0.01009805385152721
A,high,simple,17.0,0.0019376560040226306,-0.00562976195426882,0.009007056445410186
A,high,simple,17.25,-0.0008992350100796172,-0.008932623819226432,0.0063001210850887664
A,high,simple,17.5,-0.0008572374817405453,-0.007928480639178826,0.005185273711056781
A,high,simple,17.75,0.000731603292515001,-0.008147793038517055,0.00972814687654531
A,high,simple,18.0,0.009778473932996705,0.0018302919124840954,0.017108712424307723
A,high,simple,18.25,0.006773554909811554,-0.001869553462283398,0.016672830698175652
A,high,simple,18.5,0.006913300687668075,-0.002318521977481189,0.01620939747518291
A,high,simple,18.75,0.010975091952200058,0.004575305795627582,0.01832698219200495
A,high,simple,19.0,0.009395322475316166,0.0028947836948641703,0.015911746902675123
A,high,simple,19.25,0.0034691386565469783,-0.0009097726768999975,0.007885234791447442
A,high,simple,19.5,4.936784881585754e-05,-0.006815370076175007,0.007495989776082384
A,high,simple,19.75,-0.002619309777409714,-0.008833914679360826,0.004004663311946436
A,high,simple,20.0,-0.004703884903988699,-0.010030441810356658,0.0013012520555141967
A,high,simple,20.25,-0.005864602265848796,-0.012732013012016754,-0.00042758286122295854
A,high,simple,20.5,-0.006987013652630272,-0.01419824982611134,0.00036923121781041774
A,high,simple,20.75,-0.011446541869290066,-0.020804888888993123,-0.0020361543631643424
A,high,simple,21.0,-0.017678185962196873,-0.025365617972930084,-0.007434518422632448
A,high,simple,21.25,-0.016367154863634527,-0.02629585218512494,-0.005429324873157373
A,high,simple,21.5,-0.013215523688784144,-0.021489171214767372,-0.003272029212212964
A,high,simple,21.75,-0.01870744635949183,-0.034625040545808915,-0.0031688752141449898
A,high,simple,22.0,-0.008214777697611288,-0.024413336984553512,0.007090593447178992
A,high,simple,22.25,0.00010802488629085786,-0.017061239644506038,0.01567955195057426
A,high,simple,22.5,0.007271529315397046,-0.010828771007026155,0.024893018818585598
A,high,simple,22.75,0.011045185527402345,-0.005456777225045219,0.0276199606378224
A,high,simple,23.0,0.013504356868650482,-0.0014428005001591961,0.028946290785047592
A,high,simple,23.25,0.00803822424818931,-0.007352826663255415,0.02427747417467233
A,high,simple,23.5,0.013204475747906973,-0.004029021659402937,0.03094461448567564
A,high,simple,23.75,0.003378770624686145,-0.016891979610440158,0.026543256527304233
A,high,simple,24.0,0.015382476056787404,-0.004290135233897112,0.03681123082705737
A,high,simple,24.25,0.030455229627160636,0.004206113272234422,0.05716028308060644
A,high,simple,24.5,0.04723424938998554,0.02721282335582841,0.06670523432840114
A,high,simple,24.75,0.038094981387221054,0.017185984015059563,0.05734627805412228
A,high,simple,25.0,0.03112175579747563,0.016558302110193955,0.045145438715061464
A,high,simple,25.25,0.021566381498698,0.0033631915901817596,0.042711612825704834
A,high,simple,25.5,0.029824840538049152,0.015127454244787631,0.047289955294575754
A,high,simple,25.75,0.020060589598853967,0.006035463154985064,0.034266624213366986
A,high,simple,26.0,0.01707828305556726,0.004226705989212235,0.029131207886476936
A,high,simple,26.25,0.008268794901898288,-0.004663827989516669,0.020418151469559314
A,high,simple,26.5,0.004355994095460826,-0.003980447458454609,0.013993798178479866
A,high,simple,26.75,0.004355501186601616,-0.0038171236615459243,0.013518526742275036
A,high,simple,27.0,0.003541818275325237,-0.0065664466649232546,0.014089099057235262
A,high,simple,27.25,0.003855931311959279,-0.0022581014259672834,0.011086238765053586
A,high,simple,27.5,0.0045587838843558085,-0.0018334499774670444,0.01018283005393278
A,high,simple,27.75,0.00831054169456117,0.0032623327046654776,0.013497680595285678
A,high,simple,28.0,0.001085453353618905,-0.002267490842706361,0.004501341737885
A,high,simple,28.25,-0.00017591968646154355,-0.0013197493446758179,0.000929792821812428
A,high,simple,28.5,0.0014402400342925516,-0.0003073191325138477,0.0031508267905982837
A,high,variogram,9.5,0.0033132206429803217,9.9310088049206e-05,0.006346289481861873
A,high,variogram,9.75,0.0037881856959558007,0.00016379253146633875,0.0071602744661253106
A,high,variogram,10.0,0.005354877015094379,0.001265321612510607,0.009574156614342669
A,high,variogram,10.25,0.0038538647637162337,0.00031727964900169224,0.007522988609439788
A,high,variogram,10.5,0.003849017368221718,0.0001792341224289096,0.007261642662001158
A,high,variogram,10.75,0.004186710306605779,0.00012269133602574306,0.007891041130110897
A,high,variogram,11.0,0.003570627896010721,-0.001292706834694498,0.00789170359744203
A,high,variogram,11.25,0.0029778477204675264,-0.0025516724518879724,0.007998934398321911
A,high,variogram,11.5,0.002363375178202611,-0.0034912158077885004,0.008097245281762448
A,high,variogram,11.75,0.002422513420916167,-0.0023619511926760758,0.0073123160290594295
A,high,variogram,12.0,0.0032280203334643463,-0.0022583122539507764,0.008707809744753096
A,high,variogram,12.25,0.0011925768697625906,-0.005072479052687851,0.007309392242236388
A,high,variogram,12.5,0.001609613562701994,-0.005168702424091872,0.008713690736262622
A,high,variogram,12.75,0.00011983556743936662,-0.006259328411431861,0.006287170888680641
A,high,variogram,13.0,-0.001377889628136445,-0.007827351696394057,0.005198335623427559
A,high,variogram,13.25,-0.004903482556484831,-0.012013674041142293,0.002721028055850546
A,high,variogram,13.5,-0.006753935048468555,-0.01445627171990755,0.0014160880540877838
A,high,variogram,13.75,-0.004801822781502635,-0.01063466482744209,0.0014894336475712465
A,high,variogram,14.0,-0.004885423878937856,-0.010522020612002105,0.0007311250771483255
A,high,variogram,14.25,-0.005273338837375328,-0.009733333379672046,-0.0008348814198396644
A,high,variogram,14.5,-0.00364156683349937,-0.007619264356926087,0.000346338779324662
A,high,variogram,14.75,-0.0019034793663547302,-0.006507971146675735,0.0025871107560523927
A,high,variogram,15.0,0.0010993177418886471,-0.004492418725429392,0.0070197310096011215
A,high,variogram,15.25,0.004686623872341956,-0.0028649593471881604,0.012833089173509268
A,high,variogram,15.5,0.006539809691264872,0.00011441250261845788,0.01335337240660696
A,high,variogram,15.75,0.005194089405587109,-0.0015273642295917523,0.011719663201271512
A,high,variogram,16.0,0.007647312457068746,0.002224295756753492,0.013241694800712123
A,high,variogram,16.25,0.010927307085937006,-0.0006838794177676546,0.021935969544857287
A,high,variogram,16.5,0.0162813930848436,0.002995017477163344,0.030331360247804015
A,high,variogram,16.75,0.00995339996637092,-0.003974789553534418,0.023622808507766598
A,high,variogram,17.0,0.02220986942946293,0.014420272385015937,0.03101972146257039
A,high,variogram,17.25,0.017747807454400855,0.008111555784071673,0.0269231661618522
A,high,variogram,17.5,0.011137309453591013,-0.002939726881031702,0.023559419465882313
A,high,variogram,17.75,0.007202285230833654,-0.008976838428026337,0.023793121129721116
A,high,variogram,18.0,0.014236495906401248,-0.0031469745378269495,0.03174942629855603
A,high,variogram,18.25,0.0076315272999704295,-0.00689851035848243,0.020727363949089382
A,high,variogram,18.5,-0.014152570898758415,-0.03626366626294174,0.006692166706525199
A,high,variogram,18.75,-0.010043623201744522,-0.021972210962328435,0.002219488085205366
A,high,variogram,19.0,-0.0156308210942749,-0.033464826361711164,0.0011041242589635884
A,high,variogram,19.25,-0.011967500870771478,-0.026460133785960554,0.001014366365885543
A,high,variogram,19.5,-0.006662686761715642,-0.01709891168286455,0.004175281911915716
A,high,variogram,19.75,-0.012336943784205606,-0.02251081316728467,-0.002607724792169531
A,high,variogram,20.0,-0.021200230395177534,-0.031376974306950876,-0.0126717705534128
A,high,variogram,20.25,-0.01580025723280534,-0.025676421907562672,-0.006576502639985398
A,high,variogram,20.5,-0.012322423609097693,-0.01928688679818477,-0.004223593631830787
A,high,variogram,20.75,-0.01283090442213242,-0.021806469682301467,-0.004593361102195972
A,high,variogram,21.0,-0.011571299579788773,-0.01785998657145075,-0.0058631867777302685
A,high,variogram,21.25,-0.011904164540562265,-0.021538094013119204,-0.003070719549008727
A,high,variogram,21.5,-0.004714381055203683,-0.013693276350739523,0.005375228152416969
A,high,variogram,21.75,0.0026693039771382297,-0.005234203836495554,0.011571486981213104
A,high,variogram,22.0,0.011321181053539008,9.293234915056218e-05,0.02312760436621835
A,high,variogram,22.25,0.017284479992341516,0.0033376516410342774,0.03043773210224532
A,high,variogram,22.5,0.011452553456602881,-0.00894332955877653,0.03070596752002781
A,high,variogram,22.75,0.003968732299567451,-0.017619842050005996,0.02288676349453898
A,high,variogram,23.0,0.0012373357837289418,-0.0241228111733945,0.024157654497060033
A,high,variogram,23.25,0.003407565951871165,-0.014638852368208678,0.023504911977215735
A,high,variogram,23.5,-0.011552424282849921,-0.02388214923743968,0.0042549839772965635
A,high,variogram,23.75,-0.013219386796869579,-0.02779391507307317,0.00327646061079513
A,high,variogram,24.0,-0.0156819282289657,-0.023843204298194167,-0.007563572682838072
A,high,variogram,24.25,-0.016699765459189865,-0.03106449187131192,-0.0032520906319555612
A,high,variogram,24.5,-0.01860673346318685,-0.029346485014857888,-0.007215938378461152
A,high,variogram,24.75,-0.018973532434449887,-0.04272145093591295,0.005406396433586632
A,high,variogram,25.0,-0.009819060075594263,-0.03026060997506783,0.012585069216150845
A,high,variogram,25.25,-0.013566047165822851,-0.03961469265935875,0.01266606088726312
A,high,variogram,25.5,-0.012617465007849823,-0.027688313378983306,0.0015179780952218258
A,high,variogram,25.75,-0.006598224612427689,-0.02929760181831521,0.016918645616487742
A,high,variogram,26.0,-0.010827702679672714,-0.03318172212335655,0.010496922071053572
A,high,variogram,26.25,0.0013749892262965723,-0.0156203412234706,0.019646615212705294
A,high,variogram,26.5,-0.0002795537161456847,-0.012650830884813929,0.011242971019404809
A,high,variogram,26.75,0.001727980453346057,-0.020938792239056724,0.02648893434947746
A,high,variogram,27.0,-0.000677012938728262,-0.021999532946546784,0.022101770669648517
A,high,variogram,27.25,-0.006186790266370787,-0.023072325257651596,0.013801857863063975
A,high,variogram,27.5,-0.0006405602009147782,-0.02041977158272806,0.01655717752029136
A,high,variogram,27.75,-0.005118847834314489,-0.016847322729576456,0.00853646684951205
A,high,variogram,28.0,-0.00808869541212861,-0.0177485004804477,0.000756601512693893
A,high,variogram,28.25,-0.007701893040444193,-0.01344840584479569,-0.0029191576858238625
A,high,variogram,28.5,-0.0002215493823814431,-0.0038147525505841614,0.0035483735999684
