outer_fold,method,outcome,alpha,inner_mae
1,mean,A,0.1,0.0282778548084916
1,mean,A,1.0,0.028287607773572865
1,mean,A,10.0,0.02851195429383486
1,mean,A,100.0,0.02995753986179071
1,mean,A,1000.0,0.03401633321372417
1,mean,C,0.1,0.031010784450231636
1,mean,C,1.0,0.031019405782763187
1,mean,C,10.0,0.031239896420428917
1,mean,C,100.0,0.03264461554943803
1,mean,C,1000.0,0.03658741919971964
1,mean,A_new344,0.1,0.028519769469346243
1,mean,A_new344,1.0,0.02852906776269247
1,mean,A_new344,10.0,0.028743985330456974
1,mean,A_new344,100.0,0.030157023445705224
1,mean,A_new344,1000.0,0.03420756922389894
1,simple,A,0.1,0.008302289171935314
1,simple,A,1.0,0.008311607563364055
1,simple,A,10.0,0.008605104173389808
1,simple,A,100.0,0.010737030720807976
1,simple,A,1000.0,0.01631599297195653
1,simple,C,0.1,0.013911742187689013
1,simple,C,1.0,0.013908225071469469
1,simple,C,10.0,0.014105936406668292
1,simple,C,100.0,0.015995079085154344
1,simple,C,1000.0,0.02078525400097722
1,simple,A_new344,0.1,0.01031934579456706
1,simple,A_new344,1.0,0.010324647333357917
1,simple,A_new344,10.0,0.010552592987510157
1,simple,A_new344,100.0,0.012339658439891618
1,simple,A_new344,1000.0,0.017346701684489187
1,variogram,A,0.1,0.008185390157264922
1,variogram,A,1.0,0.00819375787912677
1,variogram,A,10.0,0.008503094714536055
1,variogram,A,100.0,0.010687642785614878
1,variogram,A,1000.0,0.0166806271430195
1,variogram,C,0.1,0.013678834546746463
1,variogram,C,1.0,0.013672774869703789
1,variogram,C,10.0,0.01389569467038513
1,variogram,C,100.0,0.015884712707107368
1,variogram,C,1000.0,0.021011455457909303
1,variogram,A_new344,0.1,0.010176036375313668
1,variogram,A_new344,1.0,0.010181130078024266
1,variogram,A_new344,10.0,0.010429819033312812
1,variogram,A_new344,100.0,0.012268272946757152
1,variogram,A_new344,1000.0,0.017653268427829865
1,graph,A,0.1,0.008236360160659114
1,graph,A,1.0,0.008251339468428301
1,graph,A,10.0,0.008555935161553039
1,graph,A,100.0,0.01072042704513243
1,graph,A,1000.0,0.01654370914757795
1,graph,C,0.1,0.013811492641923086
1,graph,C,1.0,0.013820370296856774
1,graph,C,10.0,0.014036413439212513
1,graph,C,100.0,0.015935732028902475
1,graph,C,1000.0,0.02089871780416482
1,graph,A_new344,0.1,0.010245042042702393
1,graph,A_new344,1.0,0.010255297816946165
1,graph,A_new344,10.0,0.0104960616280783
1,graph,A_new344,100.0,0.012313074397121737
1,graph,A_new344,1000.0,0.01753115561432431
2,mean,A,0.1,0.027759130097396518
2,mean,A,1.0,0.02776966455556544
2,mean,A,10.0,0.02800281477195978
2,mean,A,100.0,0.029566605787615604
2,mean,A,1000.0,0.03370736626155979
2,mean,C,0.1,0.03050159025473065
2,mean,C,1.0,0.030510272455628262
2,mean,C,10.0,0.030735900048666793
2,mean,C,100.0,0.03225875827803609
2,mean,C,1000.0,0.036227578097574265
2,mean,A_new344,0.1,0.027984064374963164
2,mean,A_new344,1.0,0.02799429030562643
2,mean,A_new344,10.0,0.028217665087296617
2,mean,A_new344,100.0,0.029748071049234673
2,mean,A_new344,1000.0,0.03388357119461387
2,simple,A,0.1,0.008350160511125384
2,simple,A,1.0,0.008359856274889745
2,simple,A,10.0,0.008659910207316155
2,simple,A,100.0,0.010803641427893047
2,simple,A,1000.0,0.01636383112811614
2,simple,C,0.1,0.014021045277278333
2,simple,C,1.0,0.01401859713803119
2,simple,C,10.0,0.014222330615875668
2,simple,C,100.0,0.01614225662573566
2,simple,C,1000.0,0.020871289847631855
2,simple,A_new344,0.1,0.010370658767269725
2,simple,A_new344,1.0,0.010375813758807886
2,simple,A_new344,10.0,0.010606078258867514
2,simple,A_new344,100.0,0.012402811068102482
2,simple,A_new344,1000.0,0.017392076074862897
2,variogram,A,0.1,0.008231059598058161
2,variogram,A,1.0,0.008240429263594851
2,variogram,A,10.0,0.008555928504063
2,variogram,A,100.0,0.010746531417428243
2,variogram,A,1000.0,0.016732388988535747
2,variogram,C,0.1,0.013794847795827452
2,variogram,C,1.0,0.013788062448844039
2,variogram,C,10.0,0.01401004074219984
2,variogram,C,100.0,0.016015818169467833
2,variogram,C,1000.0,0.021096657998090816
2,variogram,A_new344,0.1,0.010224748657273951
2,variogram,A_new344,1.0,0.010229909504200949
2,variogram,A_new344,10.0,0.010481786852802414
2,variogram,A_new344,100.0,0.012323155735426701
2,variogram,A_new344,1000.0,0.017707006650045952
2,graph,A,0.1,0.008278743778317154
2,graph,A,1.0,0.008296219294087824
2,graph,A,10.0,0.008608611468941381
2,graph,A,100.0,0.010781651638263114
2,graph,A,1000.0,0.01660934512266207
2,graph,C,0.1,0.013918136880067782
2,graph,C,1.0,0.013923209047105978
2,graph,C,10.0,0.014145079194990641
2,graph,C,100.0,0.016071709913027962
2,graph,C,1000.0,0.020997330924938853
2,graph,A_new344,0.1,0.010292553411342352
2,graph,A_new344,1.0,0.010304830907756735
2,graph,A_new344,10.0,0.010547769731151752
2,graph,A_new344,100.0,0.01237137988576854
2,graph,A_new344,1000.0,0.0175985927698501
3,mean,A,0.1,0.027998353648828776
3,mean,A,1.0,0.02801079075380391
3,mean,A,10.0,0.028258763118705968
3,mean,A,100.0,0.029790254128681984
3,mean,A,1000.0,0.03386158477293193
3,mean,C,0.1,0.030796561199098092
3,mean,C,1.0,0.030806615858639273
3,mean,C,10.0,0.031039567485596255
3,mean,C,100.0,0.032515390495040986
3,mean,C,1000.0,0.0364092146014718
3,mean,A_new344,0.1,0.02821753530318988
3,mean,A_new344,1.0,0.02822928483897921
3,mean,A_new344,10.0,0.028470119748232867
3,mean,A_new344,100.0,0.029974568462796503
3,mean,A_new344,1000.0,0.03404122828696662
3,simple,A,0.1,0.008253512448548512
3,simple,A,1.0,0.008263213178415533
3,simple,A,10.0,0.008563016782843266
3,simple,A,100.0,0.010694616082256565
3,simple,A,1000.0,0.016342201950882235
3,simple,C,0.1,0.013842893476437563
3,simple,C,1.0,0.013840010239531735
3,simple,C,10.0,0.01404153259072832
3,simple,C,100.0,0.01593805164551062
3,simple,C,1000.0,0.02077226723787647
3,simple,A_new344,0.1,0.010255962174023064
3,simple,A_new344,1.0,0.010261538534666194
3,simple,A_new344,10.0,0.010495451126299757
3,simple,A_new344,100.0,0.012284098616407078
3,simple,A_new344,1000.0,0.017363362714191942
3,variogram,A,0.1,0.008130024585639845
3,variogram,A,1.0,0.008139544096840565
3,variogram,A,10.0,0.008459326329466391
3,variogram,A,100.0,0.010647706849520825
3,variogram,A,1000.0,0.016685627894304438
3,variogram,C,0.1,0.013613407996219766
3,variogram,C,1.0,0.013605453411367718
3,variogram,C,10.0,0.013827775297344249
3,variogram,C,100.0,0.015821119325574617
3,variogram,C,1000.0,0.02096679626706678
3,variogram,A_new344,0.1,0.010107905417273121
3,variogram,A_new344,1.0,0.010113563654534823
3,variogram,A_new344,10.0,0.010372411392744281
3,variogram,A_new344,100.0,0.012217506941048546
3,variogram,A_new344,1000.0,0.017649487341596937
3,graph,A,0.1,0.008183986016293847
3,graph,A,1.0,0.00820101276045514
3,graph,A,10.0,0.00851531696212869
3,graph,A,100.0,0.010681623692853078
3,graph,A,1000.0,0.016551536636252057
3,graph,C,0.1,0.013751157732768084
3,graph,C,1.0,0.013756491756560914
3,graph,C,10.0,0.01397165599676197
3,graph,C,100.0,0.015880069890301045
3,graph,C,1000.0,0.020857406133854093
3,graph,A_new344,0.1,0.01018075408206116
3,graph,A_new344,1.0,0.010193632848718708
3,graph,A_new344,10.0,0.010442164093924499
3,graph,A_new344,100.0,0.012263550354159112
3,graph,A_new344,1000.0,0.017532750165039225
4,mean,A,0.1,0.028266427402491395
4,mean,A,1.0,0.02827408754918622
4,mean,A,10.0,0.028460674094190234
4,mean,A,100.0,0.030354670513518645
4,mean,A,1000.0,0.03496823684528889
4,mean,C,0.1,0.031028360422106584
4,mean,C,1.0,0.031035988213967688
4,mean,C,10.0,0.03121926993191744
4,mean,C,100.0,0.03304530816143868
4,mean,C,1000.0,0.0374850261046462
4,mean,A_new344,0.1,0.028502956049467714
4,mean,A_new344,1.0,0.028510479871685278
4,mean,A_new344,10.0,0.028695041093146693
4,mean,A_new344,100.0,0.030561685863262265
4,mean,A_new344,1000.0,0.03517361502656205
4,simple,A,0.1,0.00830822607420589
4,simple,A,1.0,0.008317152909463887
4,simple,A,10.0,0.008599475984520271
4,simple,A,100.0,0.010844001484085458
4,simple,A,1000.0,0.016798977344276673
4,simple,C,0.1,0.013926426315260775
4,simple,C,1.0,0.01392249822457837
4,simple,C,10.0,0.01410898782592475
4,simple,C,100.0,0.016072734042755176
4,simple,C,1000.0,0.02121549701711395
4,simple,A_new344,0.1,0.010321049122043891
4,simple,A_new344,1.0,0.010325341972517556
4,simple,A_new344,10.0,0.01053747720621221
4,simple,A_new344,100.0,0.012450180717863931
4,simple,A_new344,1000.0,0.0178208879733715
4,variogram,A,0.1,0.008187792901693301
4,variogram,A,1.0,0.008197179627688296
4,variogram,A,10.0,0.008496224389507166
4,variogram,A,100.0,0.01079659512708501
4,variogram,A,1000.0,0.017128193881170886
4,variogram,C,0.1,0.013692395605766535
4,variogram,C,1.0,0.013685530492017225
4,variogram,C,10.0,0.013897110663891024
4,variogram,C,100.0,0.015957757061758095
4,variogram,C,1000.0,0.021402655750402826
4,variogram,A_new344,0.1,0.010178947258416681
4,variogram,A_new344,1.0,0.010184158037947559
4,variogram,A_new344,10.0,0.010418197196532428
4,variogram,A_new344,100.0,0.012386332539784646
4,variogram,A_new344,1000.0,0.018098236717468807
4,graph,A,0.1,0.008240224123932464
4,graph,A,1.0,0.008252837925872468
4,graph,A,10.0,0.008544741925006675
4,graph,A,100.0,0.010827579352927497
4,graph,A,1000.0,0.01701493141933488
4,graph,C,0.1,0.013827103850907631
4,graph,C,1.0,0.013831091009165696
4,graph,C,10.0,0.014031940484049552
4,graph,C,100.0,0.016010217341413894
4,graph,C,1000.0,0.02130735910754495
4,graph,A_new344,0.1,0.010245328715563776
4,graph,A_new344,1.0,0.010253385924882888
4,graph,A_new344,10.0,0.010476344302459238
4,graph,A_new344,100.0,0.012426054418705625
4,graph,A_new344,1000.0,0.017999026031196724
5,mean,A,0.1,0.028144186777502255
5,mean,A,1.0,0.0281508186900466
5,mean,A,10.0,0.02831626827854771
5,mean,A,100.0,0.0301147646464125
5,mean,A,1000.0,0.034518090807226516
5,mean,C,0.1,0.030867727859237682
5,mean,C,1.0,0.030873193849552005
5,mean,C,10.0,0.031030663399800422
5,mean,C,100.0,0.032742325542133396
5,mean,C,1000.0,0.03698410854889463
5,mean,A_new344,0.1,0.028377654189885654
5,mean,A_new344,1.0,0.028384069459646364
5,mean,A_new344,10.0,0.028546467311227144
5,mean,A_new344,100.0,0.03031561860936895
5,mean,A_new344,1000.0,0.03472665365886908
5,simple,A,0.1,0.008313543083289368
5,simple,A,1.0,0.008322972212827934
5,simple,A,10.0,0.008581121528733957
5,simple,A,100.0,0.010692715527517148
5,simple,A,1000.0,0.01644487334689452
5,simple,C,0.1,0.013979029515040023
5,simple,C,1.0,0.013978314536989426
5,simple,C,10.0,0.014153651678947369
5,simple,C,100.0,0.0159903890182243
5,simple,C,1000.0,0.020902728576221153
5,simple,A_new344,0.1,0.01033154464347422
5,simple,A_new344,1.0,0.010335993843595095
5,simple,A_new344,10.0,0.010529751272471934
5,simple,A_new344,100.0,0.012326301209160805
5,simple,A_new344,1000.0,0.017498889451683534
5,variogram,A,0.1,0.008198577078588133
5,variogram,A,1.0,0.008207510769625014
5,variogram,A,10.0,0.008477909236512584
5,variogram,A,100.0,0.010647093380459386
5,variogram,A,1000.0,0.016776867063062955
5,variogram,C,0.1,0.013749863383377995
5,variogram,C,1.0,0.013745239878296912
5,variogram,C,10.0,0.013938342869708445
5,variogram,C,100.0,0.01586821112217744
5,variogram,C,1000.0,0.021104285451247946
5,variogram,A_new344,0.1,0.01019041905155722
5,variogram,A_new344,1.0,0.010194823223311332
5,variogram,A_new344,10.0,0.010407568692004833
5,variogram,A_new344,100.0,0.012257739333665616
5,variogram,A_new344,1000.0,0.017771445258875352
5,graph,A,0.1,0.008252083424503823
5,graph,A,1.0,0.008265341881561847
5,graph,A,10.0,0.008531287870752139
5,graph,A,100.0,0.010676757028042161
5,graph,A,1000.0,0.016669845113630347
5,graph,C,0.1,0.013871457790234432
5,graph,C,1.0,0.013878816252783808
5,graph,C,10.0,0.014066920253444961
5,graph,C,100.0,0.01591819776232793
5,graph,C,1000.0,0.021012896531586223
5,graph,A_new344,0.1,0.010261610987413121
5,graph,A_new344,1.0,0.010269232384527548
5,graph,A_new344,10.0,0.010471694170418626
5,graph,A_new344,100.0,0.012299117745263028
5,graph,A_new344,1000.0,0.017678616284097417
6,mean,A,0.1,0.027831301445198915
6,mean,A,1.0,0.027841147870462327
6,mean,A,10.0,0.028071168059408184
6,mean,A,100.0,0.029496395651557546
6,mean,A,1000.0,0.03340662221686296
6,mean,C,0.1,0.030634203626143004
6,mean,C,1.0,0.03064147027648551
6,mean,C,10.0,0.030863749841059194
6,mean,C,100.0,0.032238427748314376
6,mean,C,1000.0,0.03600279758869881
6,mean,A_new344,0.1,0.028079137645664512
6,mean,A_new344,1.0,0.028087923540689848
6,mean,A_new344,10.0,0.0283059747153257
6,mean,A_new344,100.0,0.029696565413652794
6,mean,A_new344,1000.0,0.03359867910086477
6,simple,A,0.1,0.00828096665882467
6,simple,A,1.0,0.008289289308348838
6,simple,A,10.0,0.008576330413637508
6,simple,A,100.0,0.01060911236876343
6,simple,A,1000.0,0.015998783872266484
6,simple,C,0.1,0.01396780642352086
6,simple,C,1.0,0.013964949176972205
6,simple,C,10.0,0.014159015575452473
6,simple,C,100.0,0.01595388902806939
6,simple,C,1000.0,0.020525318962944496
6,simple,A_new344,0.1,0.010296595710881443
6,simple,A_new344,1.0,0.010301271576172222
6,simple,A_new344,10.0,0.010525062252823066
6,simple,A_new344,100.0,0.012225019914532016
6,simple,A_new344,1000.0,0.017038206738641343
6,variogram,A,0.1,0.008163435505900265
6,variogram,A,1.0,0.008171429885469565
6,variogram,A,10.0,0.008470279289448041
6,variogram,A,100.0,0.010551465731049568
6,variogram,A,1000.0,0.01629669794406648
6,variogram,C,0.1,0.01375053146618677
6,variogram,C,1.0,0.01374429249437318
6,variogram,C,10.0,0.013954484216724692
6,variogram,C,100.0,0.015855362101539046
6,variogram,C,1000.0,0.020706571552937356
6,variogram,A_new344,0.1,0.010156556932003872
6,variogram,A_new344,1.0,0.01016134035797628
6,variogram,A_new344,10.0,0.010401309408594307
6,variogram,A_new344,100.0,0.012146626938607921
6,variogram,A_new344,1000.0,0.017281351838848154
6,graph,A,0.1,0.008217178062956215
6,graph,A,1.0,0.008228593042383364
6,graph,A,10.0,0.00852498250293345
6,graph,A,100.0,0.010588608774237354
6,graph,A,1000.0,0.016193058309060065
6,graph,C,0.1,0.013874147719977121
6,graph,C,1.0,0.01388686747907284
6,graph,C,10.0,0.014099383258707543
6,graph,C,100.0,0.015908036885710616
6,graph,C,1000.0,0.020607256237672882
