analysis,domain,distance_method,target_weighting,label_rule,n_sites,n_years,estimate,standard_error,ci_lower,ci_upper,negative_years,difference_from_primary_reference
primary_equirect_equal_fixed_labels,primary_121,equirectangular,equal_site,frozen_primary,121,33,-0.0728344831814079,0.013325741361000537,-0.09997813008595527,-0.04569083627686051,28,0.0
primary_wgs84_equal_fixed_labels,primary_121,WGS84_geodesic,equal_site,frozen_primary,121,33,-0.06973712319708796,0.01360526723073815,-0.09745014566606357,-0.04202410072811234,27,0.003097359984319939
primary_wgs84_area_fixed_labels,primary_121,WGS84_geodesic,cosine_latitude_area,frozen_primary,121,33,-0.07802418189600338,0.012981573985683519,-0.10446678279803638,-0.05158158099397038,29,-0.0051896987145954865
primary_wgs84_area_relabelled,primary_121,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,121,33,-0.07369593119050659,0.01271848412641271,-0.09960263558586466,-0.04778922679514852,29,-0.0008614480090986948
full_downloaded_domain_wgs84_equal_frozen_primary,full_downloaded_domain,WGS84_geodesic,equal_site,frozen_primary,465,33,-0.07762046332932106,0.012882903326099726,-0.10386207867482664,-0.05137884798381548,29,-0.004785980147913163
full_downloaded_domain_wgs84_equal_domain_mean_relabelled,full_downloaded_domain,WGS84_geodesic,equal_site,domain_mean_relabelled,465,33,-0.06933924629660365,0.012932931930723155,-0.09568276657499347,-0.04299572601821383,28,0.0034952368848042425
full_downloaded_domain_wgs84_area_relabelled,full_downloaded_domain,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,465,33,-0.06837684913096909,0.012146699952036252,-0.09311886727627694,-0.04363483098566123,29,0.004457634050438808
south_edge_inward_0.9deg_wgs84_equal_frozen_primary,south_edge_inward_0.9deg,WGS84_geodesic,equal_site,frozen_primary,462,33,-0.07660494601454572,0.012931958752984954,-0.10294648399475148,-0.05026340803433996,29,-0.003770462833137825
south_edge_inward_0.9deg_wgs84_equal_domain_mean_relabelled,south_edge_inward_0.9deg,WGS84_geodesic,equal_site,domain_mean_relabelled,462,33,-0.0666637089497451,0.013015160418100928,-0.093174723175857,-0.04015269472363321,28,0.00617077423166279
south_edge_inward_1.8deg_wgs84_equal_frozen_primary,south_edge_inward_1.8deg,WGS84_geodesic,equal_site,frozen_primary,457,33,-0.07450663108703405,0.013050414810351355,-0.10108945616022426,-0.04792380601384384,29,-0.0016721479056261562
south_edge_inward_1.8deg_wgs84_equal_domain_mean_relabelled,south_edge_inward_1.8deg,WGS84_geodesic,equal_site,domain_mean_relabelled,457,33,-0.06443917503001084,0.013039205945136086,-0.09099916839190172,-0.03787918166811997,28,0.008395308151397052
north_edge_inward_0.9deg_wgs84_equal_frozen_primary,north_edge_inward_0.9deg,WGS84_geodesic,equal_site,frozen_primary,439,33,-0.09028147216009325,0.012141805724725091,-0.11501352109060052,-0.06554942322958597,30,-0.01744698897868535
north_edge_inward_0.9deg_wgs84_equal_domain_mean_relabelled,north_edge_inward_0.9deg,WGS84_geodesic,equal_site,domain_mean_relabelled,439,33,-0.07393577762066253,0.011559224111026924,-0.09748114663694121,-0.050390408604383846,30,-0.0011012944392546353
