analysis,domain,distance_method,target_weighting,label_rule,n_sites,bandwidth_km,weighted_mean_pair_distance_km,effective_edges,n_years,estimate,standard_error,ci_lower,ci_upper,negative_years
primary_equirect_equal_fixed_labels,primary_121,equirectangular,equal_site,frozen_primary,121,125.799765031298,200.25494508122208,366.1950574253316,33,-0.02856008189021088,0.01073806862257747,-0.050432811911901604,-0.006687351868520149,22
primary_equirect_equal_fixed_labels,primary_121,equirectangular,equal_site,frozen_primary,121,251.599530062597,318.7031472994114,1138.1619008249236,33,-0.03944716416618943,0.012543257537093438,-0.06499694367910228,-0.013897384653276581,23
primary_equirect_equal_fixed_labels,primary_121,equirectangular,equal_site,frozen_primary,121,503.199060125194,548.5809627287972,3222.657739271882,33,-0.05906682668665216,0.014768150092871801,-0.08914856403204613,-0.0289850893412582,25
primary_equirect_equal_fixed_labels,primary_121,equirectangular,equal_site,frozen_primary,121,1006.39812025039,825.9510192803705,6004.801365533024,33,-0.10441426332651235,0.014985347797978115,-0.13493841791956038,-0.07389010873346433,29
primary_equirect_equal_fixed_labels,primary_121,equirectangular,equal_site,frozen_primary,121,2012.79624050077,991.8466927476301,7108.910114147115,33,-0.13268407983747463,0.014793289252567468,-0.16281702397547926,-0.10255113569947,30
primary_wgs84_equal_fixed_labels,primary_121,WGS84_geodesic,equal_site,frozen_primary,121,125.799765031298,199.41962957876402,365.04611181240307,33,-0.02422912043711201,0.011280440115192988,-0.047206625036653516,-0.001251615837570507,20
primary_wgs84_equal_fixed_labels,primary_121,WGS84_geodesic,equal_site,frozen_primary,121,251.599530062597,318.2636543781219,1141.3217310761174,33,-0.03470298449111073,0.013022305456948428,-0.061228552685091406,-0.008177416297130046,22
primary_wgs84_equal_fixed_labels,primary_121,WGS84_geodesic,equal_site,frozen_primary,121,503.199060125194,548.0280236629902,3227.54359697205,33,-0.05496077868353128,0.01507142060496672,-0.0856602578470996,-0.02426129951996296,23
primary_wgs84_equal_fixed_labels,primary_121,WGS84_geodesic,equal_site,frozen_primary,121,1006.39812025039,825.069952033169,6007.411988264548,33,-0.10261761601860753,0.015078085756375726,-0.13333067165132007,-0.07190456038589499,29
primary_wgs84_equal_fixed_labels,primary_121,WGS84_geodesic,equal_site,frozen_primary,121,2012.79624050077,990.7018164874189,7109.125088793616,33,-0.13217511635507823,0.014814296840478233,-0.16235085154936396,-0.10199938116079249,30
primary_wgs84_area_fixed_labels,primary_121,WGS84_geodesic,cosine_latitude_area,frozen_primary,121,125.799765031298,200.24617635282652,366.19488667848464,33,-0.031052624570498302,0.010489493314284356,-0.052419023258365914,-0.00968622588263069,22
primary_wgs84_area_fixed_labels,primary_121,WGS84_geodesic,cosine_latitude_area,frozen_primary,121,251.599530062597,318.8830975431199,1127.7744126712942,33,-0.04328400644217546,0.012246470683745854,-0.06822925091760401,-0.01833876196674691,24
primary_wgs84_area_fixed_labels,primary_121,WGS84_geodesic,cosine_latitude_area,frozen_primary,121,503.199060125194,548.382747995589,3183.8724050944575,33,-0.06447368652771493,0.014406849465935005,-0.09381947857908829,-0.03512789447634157,26
primary_wgs84_area_fixed_labels,primary_121,WGS84_geodesic,cosine_latitude_area,frozen_primary,121,1006.39812025039,824.1394424692418,5923.210007974439,33,-0.11135066708686554,0.014599141472580119,-0.14108814513825518,-0.0816131890354759,30
primary_wgs84_area_fixed_labels,primary_121,WGS84_geodesic,cosine_latitude_area,frozen_primary,121,2012.79624050077,988.6148989181532,7024.3059073338,33,-0.1399599248527626,0.014434004228703293,-0.16936102934585243,-0.11055882035967277,33
primary_wgs84_area_relabelled,primary_121,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,121,125.799765031298,200.24617635282652,366.19488667848464,33,-0.0294761817702472,0.009957116334507925,-0.049758164036717616,-0.009194199503776784,21
primary_wgs84_area_relabelled,primary_121,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,121,251.599530062597,318.8830975431199,1127.7744126712942,33,-0.04040610538565667,0.011851681538409055,-0.06454719068731259,-0.01626502008400076,24
primary_wgs84_area_relabelled,primary_121,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,121,503.199060125194,548.382747995589,3183.8724050944575,33,-0.060003023980472976,0.01415888429021724,-0.08884372749740987,-0.031162320463536074,24
primary_wgs84_area_relabelled,primary_121,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,121,1006.39812025039,824.1394424692418,5923.210007974439,33,-0.10544628187341011,0.014446543234034383,-0.13487292748455268,-0.07601963626226756,30
primary_wgs84_area_relabelled,primary_121,WGS84_geodesic,cosine_latitude_area,area_mean_relabelled,121,2012.79624050077,988.6148989181532,7024.3059073338,33,-0.13314806294274603,0.014295135316656419,-0.16226630071851755,-0.10402982516697451,33
full_downloaded_domain_wgs84_equal_frozen_primary,full_downloaded_domain,WGS84_geodesic,equal_site,frozen_primary,465,125.799765031298,163.84165248790168,5165.736207146133,33,-0.03066590309115409,0.010235689452242984,-0.05151532022973068,-0.009816485952577496,22
