year,analysis_role,hours_with_buffer,sites,dewpoint_exceedances_clipped,t2m_min_c,t2m_max_c,sp_min_pa,sp_max_pa,wbt_min_c,wbt_max_c
1991,confirmatory,2232,121,33,4.233270263671898,39.53463134765627,80502.3125,101633.015625,6.635772705078125,31.351890563964844
1992,confirmatory,2232,121,52,-0.44293823242185226,40.06789550781252,80461.9609375,101528.9140625,2.976348876953125,30.466766357421875
1993,confirmatory,2232,121,53,3.1574951171875227,39.41732177734377,80462.1796875,101780.953125,4.601898193359375,29.565902709960938
1994,confirmatory,2232,121,54,4.638024902343773,39.48928222656252,80456.078125,101381.71875,6.841522216796875,30.725555419921875
1995,confirmatory,2232,121,76,3.6678100585937727,39.63674316406252,80422.5,101341.1875,7.167144775390625,30.120758056640625
1996,confirmatory,2232,121,52,3.0890136718750227,39.07955322265627,80451.625,101647.15625,4.943756103515625,29.900970458984375
1997,confirmatory,2232,121,95,1.1114135742187727,41.15938720703127,80204.5390625,101576.421875,4.439239501953125,29.25684356689453
1998,confirmatory,2232,121,62,2.7954345703125227,39.3804870605469,80573.8125,101520.765625,5.830047607421875,30.456878662109375
1999,confirmatory,2232,121,73,5.448266601562523,41.77352294921877,80523.5,101540.5625,7.424957275390625,29.09234619140625
2000,confirmatory,2232,121,68,4.526086425781273,41.58870849609377,80317.21875,101310.65625,8.143585205078125,30.242767333984375
2001,confirmatory,2232,121,86,5.252343750000023,39.78603515625002,80365.203125,101587.15625,7.900177001953125,30.191497802734375
2002,confirmatory,2232,121,70,2.3661132812500227,41.5309997558594,80270.21875,101455.46875,5.642913818359375,30.86536407470703
2003,confirmatory,2232,121,28,2.3005615234375227,40.57003173828127,80344.7890625,101697.8515625,4.698652267456055,30.616607666015625
2004,confirmatory,2232,121,32,3.4740234375000227,39.97805175781252,80275.953125,101956.3125,7.549652099609375,30.185089111328125
2005,confirmatory,2232,121,59,2.8586669921875227,43.83257446289065,80281.03125,101474.359375,6.592742919921875,30.292510986328125
2006,confirmatory,2232,121,93,2.3269897460937727,42.35531005859377,80341.703125,101355.515625,5.321502685546875,30.533477783203125
2007,confirmatory,2232,121,53,4.419244384765648,39.92659912109377,80187.4765625,101419.4375,4.466156005859375,29.639984130859375
2008,confirmatory,2232,121,69,0.6281982421875227,39.76198730468752,80331.0,101204.375,5.932220458984375,29.640777587890625
2009,confirmatory,2232,121,38,3.4874511718750227,44.4247985839844,80280.3125,101803.875,4.071014404296875,29.723419189453125
2010,confirmatory,2232,121,92,4.760705566406273,42.45437011718752,80560.7265625,101778.171875,7.914154052734375,30.348541259765625
2011,confirmatory,2232,121,46,3.1447082519531477,41.27449951171877,80183.0859375,101387.8671875,6.295928955078125,29.786224365234375
2012,confirmatory,2232,121,60,1.7154785156250227,41.26308593750002,80320.890625,101610.34375,4.705718994140625,29.50320816040039
2013,confirmatory,2232,121,45,3.7020507812500227,41.43221435546877,80149.859375,101522.171875,6.061737060546875,30.110443115234375
2014,confirmatory,2232,121,85,2.5404907226562727,40.61232910156252,80493.625,101624.25,6.953033447265625,30.348236083984375
2015,discovery,2232,121,76,4.101770019531273,42.66594848632815,80246.171875,101437.8203125,5.712982177734375,29.824615478515625
2016,confirmatory,2232,121,57,4.265924072265648,39.71395263671877,80236.34375,101584.4375,6.503204345703125,30.730743408203125
2017,confirmatory,2232,121,85,0.8412414550781477,41.43990478515627,80476.796875,101930.984375,5.872549057006836,30.398773193359375
2018,confirmatory,2232,121,44,4.705957031250023,41.8732849121094,80398.234375,101654.5703125,6.207000732421875,29.721221923828125
2019,confirmatory,2232,121,75,3.7783447265625227,40.81270751953127,80293.265625,101667.53125,7.109710693359375,29.952957153320312
2020,confirmatory,2232,121,37,3.6462951660156477,40.68489990234377,80704.1875,101673.1171875,5.440521240234375,29.978424072265625
2021,confirmatory,2232,121,39,1.7773986816406477,40.36788330078127,80597.90625,101399.21875,-0.496734619140625,29.786712646484375
2022,discovery,2232,121,47,1.6784301757812727,43.02681884765627,80494.828125,101765.359375,4.792999267578125,30.779998779296875
2023,confirmatory,2232,121,62,3.4479003906250227,43.14214477539065,80629.796875,101394.625,6.169342041015625,30.513641357421875
2024,confirmatory,2232,121,65,3.9517150878906477,42.5556579589844,80512.9609375,101673.375,6.670562744140625,30.442840576171875
2025,confirmatory,2232,121,31,3.5592285156250227,42.15224609375002,80632.140625,101384.4765625,3.467132568359375,30.578826904296875
