year,analysis_role,hours_with_buffer,sites,dewpoint_exceedances_clipped,t2m_min_c,t2m_max_c,sp_min_pa,sp_max_pa,wbt_min_c,wbt_max_c,definitions,same_peak_days,mean_absolute_peak_shift_hours,max_absolute_peak_shift_hours
1991,confirmatory,2232,465,164,2.8592773437500227,40.66414794921877,78535.609375,101841.96875,5.346221923828125,31.256011962890625,2,78,0.25,4.0
1992,confirmatory,2232,465,271,-0.6499694824218523,40.06789550781252,78451.9609375,101573.9140625,2.725189208984375,29.657135009765625,2,82,0.16304347826086957,3.0
1993,confirmatory,2232,465,259,2.1548400878906477,39.41732177734377,78469.140625,101780.953125,3.477386474609375,29.496612548828125,2,75,0.31521739130434784,4.0
1994,confirmatory,2232,465,280,4.363092041015648,39.67250976562502,78478.4375,101541.140625,4.875213623046875,30.452056884765625,2,75,0.25,4.0
1995,confirmatory,2232,465,423,3.6678100585937727,39.63674316406252,78382.6328125,101688.3125,5.494537353515625,30.125946044921875,2,70,0.30434782608695654,4.0
1996,confirmatory,2232,465,277,2.5235229492187727,39.65715942382815,78531.625,101724.15625,4.532135009765625,29.241546630859375,2,80,0.18478260869565216,4.0
1997,confirmatory,2232,465,351,-0.13468017578122726,42.21016845703127,78251.5390625,101631.28125,2.982208251953125,29.538665771484375,2,77,0.18478260869565216,2.0
1998,confirmatory,2232,465,258,2.7319580078125227,40.35402832031252,78527.171875,101649.5703125,4.337493896484375,30.069488525390625,2,78,0.17391304347826086,3.0
1999,confirmatory,2232,465,229,3.8076110839843977,43.02724609375002,78573.59375,101553.5625,5.816497802734375,29.414154052734375,2,78,0.17391304347826086,2.0
2000,confirmatory,2232,465,297,4.526086425781273,41.58870849609377,78206.265625,101487.65625,6.055816650390625,29.368194580078125,2,78,0.1956521739130435,3.0
2001,confirmatory,2232,465,327,4.201562500000023,40.41103515625002,78200.703125,101681.8515625,6.374298095703125,29.663543701171875,2,74,0.2391304347826087,2.0
2002,confirmatory,2232,465,299,2.3661132812500227,42.60280761718752,78201.140625,101667.546875,4.175018310546875,30.773895263671875,2,80,0.15217391304347827,2.0
2003,confirmatory,2232,465,189,0.27797851562502274,41.05440673828127,78047.265625,101853.5625,4.069427490234375,30.788055419921875,2,71,0.391304347826087,5.0
