metric,configuration,years,estimate,standard_error,t_statistic,t_p_value,ci_lower,ci_upper,hac_lag,hac_standard_error,hac_statistic,hac_p_value,hac_ci_lower,hac_ci_upper,negative_years,negative_fraction,sign_p_value,consistency,t_holm_p,hac_holm_p,sign_holm_p,scale_consistency,h_factor,bandwidth_km
graph_h_0.125,primary_121_reproduction,33,-0.0285600818902097,0.0107380686225773,-2.65970379721365,0.00605840848253703,-0.0504328119119002,-0.00668735186851926,2,0.0108383441123314,-2.63509643117119,0.00642946245086513,-0.0506370664005121,-0.00648309737990742,22,0.666666666666667,0.0400716562289745,FALSE,0.00605840848253703,0.00642946245086513,0.0400716562289745,FALSE,0.125,125.799765031298
graph_h_0.125,dense_465_fixed_labels,33,-0.0339500518568671,0.00982357236747802,-3.45597819071017,0.00078420547589149,-0.0539600139640764,-0.0139400897496579,2,0.0102087208982537,-3.3255931076218,0.00111154211935928,-0.054744535848598,-0.0131555678651362,22,0.666666666666667,0.0400716562289745,FALSE,0.00078420547589149,0.00111154211935928,0.0400716562289745,FALSE,0.125,125.799765031298
graph_h_0.125,dense_465_recomputed,33,-0.0285353022805135,0.00955857850264237,-2.98530814729671,0.00269651626334464,-0.0480054895486267,-0.00906511501240029,2,0.00910505983223417,-3.13400491663893,0.00183915963900211,-0.0470817022469905,-0.00998890231403645,23,0.696969696969697,0.0175410166848451,TRUE,0.00273648131624179,0.00183915963900211,0.0350820333696903,FALSE,0.125,125.799765031298
graph_h_0.250,primary_121_reproduction,33,-0.0394471641661906,0.0125432575370935,-3.14488991791291,0.00178783707201348,-0.0649969436791036,-0.0138973846532776,2,0.0128365755573491,-3.07302862745249,0.00215358192061319,-0.0655944129347998,-0.0132999153975814,23,0.696969696969697,0.0175410166848451,TRUE,0.00357567414402697,0.00430716384122638,0.0350820333696903,FALSE,0.25,251.599530062597
graph_h_0.250,dense_465_fixed_labels,33,-0.0454309811532339,0.0118450132501187,-3.83545211760558,0.00027738648097668,-0.0695584835961274,-0.0213034787103404,2,0.0121136568824902,-3.7503935924504,0.000351126384835675,-0.0701056927684131,-0.0207562695380547,24,0.727272727272727,0.00676549342460932,TRUE,0.00055477296195336,0.000702252769671349,0.0135309868492186,TRUE,0.25,251.599530062597
graph_h_0.250,dense_465_recomputed,33,-0.038365257035693,0.0118153931065308,-3.2470571812365,0.00136824065812089,-0.0624324252204742,-0.0142980888509118,2,0.0108822174616207,-3.52549994254381,0.000649897816477869,-0.0605316086340519,-0.0161989054373341,23,0.696969696969697,0.0175410166848451,TRUE,0.00273648131624179,0.00129979563295574,0.0350820333696903,FALSE,0.25,251.599530062597
graph_h_0.500,primary_121_reproduction,33,-0.0590668266866512,0.0147681500928717,-3.99960904481608,0.000175309548369905,-0.089148564032045,-0.0289850893412574,2,0.0152434608794738,-3.87489607207167,0.000248541297179917,-0.0901167404217809,-0.0280169129515214,25,0.757575757575758,0.00227569206617773,TRUE,0.000525928645109714,0.00074562389153975,0.00682707619853319,TRUE,0.5,503.199060125194
graph_h_0.500,dense_465_fixed_labels,33,-0.0689753830390306,0.0141114290605108,-4.88790913686058,1.37589454257646e-05,-0.097719423416257,-0.0402313426618043,2,0.0142206814980963,-4.85035706961473,1.53425164265537e-05,-0.0979419633492291,-0.0400088027288322,27,0.818181818181818,0.000162031734362245,TRUE,4.12768362772939e-05,4.6027549279661e-05,0.000486095203086734,TRUE,0.5,503.199060125194
graph_h_0.500,dense_465_recomputed,33,-0.0603825724111166,0.0143796838347888,-4.1991585562565,9.97555130452099e-05,-0.0896730298826121,-0.0310921149396211,2,0.0130905172036123,-4.61269569963624,3.05135737871882e-05,-0.0870470833862926,-0.0337180614359406,27,0.818181818181818,0.000162031734362245,TRUE,0.00029926653913563,9.15407213615647e-05,0.000486095203086734,TRUE,0.5,503.199060125194
graph_h_1.000,primary_121_reproduction,33,-0.104414263326513,0.0149853477979782,-6.96775708739981,3.40562128601412e-08,-0.134938417919562,-0.0738901087334653,2,0.0153485581046136,-6.80287116319598,5.42871811792391e-08,-0.135678253103836,-0.0731502735491914,29,0.878787878787879,5.46430237591267e-06,TRUE,1.36224851440565e-07,2.17148724716956e-07,2.18572095036507e-05,TRUE,1,1006.39812025039
graph_h_1.000,dense_465_fixed_labels,33,-0.113403796212582,0.014457760640808,-7.8438009197975,2.99916187479906e-09,-0.142853290933609,-0.0839543014915551,2,0.0143918339441617,-7.87973212118573,2.71975614642362e-09,-0.142719002646986,-0.0840885897781782,29,0.878787878787879,5.46430237591267e-06,TRUE,1.19966474991963e-08,1.08790245856945e-08,2.18572095036507e-05,TRUE,1,1006.39812025039
graph_h_1.000,dense_465_recomputed,33,-0.104505708023333,0.014791038665014,-7.06547460189703,2.58658047152637e-08,-0.134634067864508,-0.0743773481821586,2,0.0135431615226372,-7.71649277376285,4.24631907489453e-09,-0.132092225304659,-0.0769191907420075,30,0.909090909090909,7.00587406754495e-07,TRUE,1.03463218861055e-07,1.69852762995781e-08,2.80234962701798e-06,TRUE,1,1006.39812025039
graph_h_2.000,primary_121_reproduction,33,-0.132684079837477,0.0147932892525677,-8.96920742724257,1.51344417268796e-10,-0.162817023975482,-0.102551135699472,2,0.0149138530378303,-8.8967002357414,1.82562529090172e-10,-0.163062604369698,-0.102305555305257,30,0.909090909090909,7.00587406754495e-07,TRUE,7.56722086343982e-10,9.1281264545086e-10,3.50293703377247e-06,TRUE,2,2012.79624050077
graph_h_2.000,dense_465_fixed_labels,33,-0.139585219629047,0.0142780662115014,-9.7761992108292,1.96640245675228e-11,-0.168668688775385,-0.110501750482709,2,0.0140397097304935,-9.94217275916146,1.30612892409404e-11,-0.168183172511591,-0.110987266746503,31,0.939393939393939,6.54254108667374e-08,TRUE,9.83201228376141e-11,6.53064462047019e-11,3.27127054333687e-07,TRUE,2,2012.79624050077
graph_h_2.000,dense_465_recomputed,33,-0.130754391237499,0.0145635296274956,-8.97820752124801,1.47869164655379e-10,-0.160419330334214,-0.101089452140784,2,0.0133595120716628,-9.78736278212178,1.91281033400465e-11,-0.157966826828626,-0.103541955646371,32,0.96969696969697,3.95812094211579e-09,TRUE,7.39345823276898e-10,9.56405167002324e-11,1.97906047105789e-08,TRUE,2,2012.79624050077
