basis,record_id,year,month,analysis_role,bandwidth_km,total_effect,structured_component,residual_component
latitude,199106,1991,6,held_out,125.799765,0.08371187655285596,-0.0038017556620598258,0.08751363221491539
latitude,199107,1991,7,held_out,125.799765,0.0963914539930687,-0.02742056280665567,0.12381201679972466
latitude,199108,1991,8,held_out,125.799765,0.038327900457745985,-0.016250461231421577,0.054578361689169054
latitude,199206,1992,6,held_out,125.799765,0.029506156464861596,-0.013868095993489184,0.04337425245834947
latitude,199207,1992,7,held_out,125.799765,0.019222659607279088,-0.0209989282142957,0.04022158782157618
latitude,199208,1992,8,held_out,125.799765,0.09215781473356643,-0.03373405949972381,0.12589187423329226
latitude,199306,1993,6,held_out,125.799765,-0.0866718304789495,-0.03828922634725335,-0.04838260413169588
latitude,199307,1993,7,held_out,125.799765,0.07912739888034184,-0.018492679840251047,0.09762007872059358
latitude,199308,1993,8,held_out,125.799765,-0.0430975471143597,-0.02848587804792936,-0.014611669066430515
latitude,199406,1994,6,held_out,125.799765,0.09275410553264471,-0.020163412772400927,0.11291751830504392
latitude,199407,1994,7,held_out,125.799765,-0.03391208048639457,-0.022702030431869368,-0.011210050054523999
latitude,199408,1994,8,held_out,125.799765,0.055975367616936667,-0.011915618706073489,0.06789098632300865
latitude,199506,1995,6,held_out,125.799765,0.09444151499206141,0.035152051943112196,0.059289463048948596
latitude,199507,1995,7,held_out,125.799765,0.019076192753893703,-0.029772132245403676,0.04884832499929796
latitude,199508,1995,8,held_out,125.799765,-0.09195303299457903,-0.020839527880435152,-0.07111350511414456
latitude,199606,1996,6,held_out,125.799765,-0.1298518964556923,-0.04032265199173013,-0.08952924446396139
latitude,199607,1996,7,held_out,125.799765,0.015719153438204448,-0.033342845363874635,0.04906199880207788
latitude,199608,1996,8,held_out,125.799765,-0.09358665720976193,-0.03490221424410622,-0.058684442965655635
latitude,199706,1997,6,held_out,125.799765,-0.17250021685005543,-0.0502947726576055,-0.1222054441924509
latitude,199707,1997,7,held_out,125.799765,0.06981012056596178,-0.010568133230123133,0.08037825379608467
latitude,199708,1997,8,held_out,125.799765,-0.12028757377972187,-0.018443530601142368,-0.10184404317857994
latitude,199806,1998,6,held_out,125.799765,-0.12989611040576526,-0.06391574755626807,-0.06598036284949577
latitude,199807,1998,7,held_out,125.799765,0.04426463796450573,0.0035508346673023493,0.04071380329720305
latitude,199808,1998,8,held_out,125.799765,0.0821730838122658,-0.0036188158792494957,0.08579189969151572
latitude,199906,1999,6,held_out,125.799765,-0.1697585136389411,-0.059717877869594704,-0.11004063576934704
latitude,199907,1999,7,held_out,125.799765,-0.000349965308419993,-0.014634885302019547,0.014284919993600171
latitude,199908,1999,8,held_out,125.799765,-0.1514386842623608,-0.05812999957475916,-0.09330868468760213
latitude,200006,2000,6,held_out,125.799765,0.0028817902351598343,-0.019039754490341326,0.021921544725502198
latitude,200007,2000,7,held_out,125.799765,-0.1535131147016426,-0.04047904281983382,-0.11303407188180893
latitude,200008,2000,8,held_out,125.799765,-0.18044906581750317,-0.039626909981696386,-0.14082215583580668
latitude,200106,2001,6,held_out,125.799765,-0.006244274209636319,-0.03318913223344099,0.026944858023806206
latitude,200107,2001,7,held_out,125.799765,-0.03313110604531836,-0.005910203229971577,-0.027220902815346622
