partition,lower,upper,record,year,scale,high_n,middle_n,ratio,rms_absolute
Quartiles,0.25,0.75,199106,1991,1,8,14,0.08371187656566037,0.0931698190834096
Quartiles,0.25,0.75,199106,1991,2,8,14,0.1330967011816775,0.18898970592308562
Quartiles,0.25,0.75,199106,1991,3,8,14,0.18515352553012265,0.3550105895078115
Quartiles,0.25,0.75,199106,1991,4,8,14,0.15385180576017965,0.3855171220309508
Quartiles,0.25,0.75,199106,1991,5,8,14,0.11614352097904157,0.33103558551150414
Quartiles,0.25,0.75,199106,1991,6,8,14,0.0986048042501686,0.2948361048228607
Quartiles,0.25,0.75,199107,1991,1,8,15,0.0963914539767694,0.10594012213338111
Quartiles,0.25,0.75,199107,1991,2,8,15,0.03166054861889456,0.0457371284262762
Quartiles,0.25,0.75,199107,1991,3,8,15,-0.04965379728613817,-0.09977929339160241
Quartiles,0.25,0.75,199107,1991,4,8,15,-0.1452466482558542,-0.3772277784489715
Quartiles,0.25,0.75,199107,1991,5,8,15,-0.18946751210879575,-0.5460573135352664
Quartiles,0.25,0.75,199107,1991,6,8,15,-0.20556079708968467,-0.6131529478820008
Quartiles,0.25,0.75,199108,1991,1,8,15,0.03832790046220058,0.042864337816142406
Quartiles,0.25,0.75,199108,1991,2,8,15,0.06690066339033218,0.09227154290449269
Quartiles,0.25,0.75,199108,1991,3,8,15,0.11707911675831006,0.20537744758413012
Quartiles,0.25,0.75,199108,1991,4,8,15,0.11653002426386005,0.2514257706138938
Quartiles,0.25,0.75,199108,1991,5,8,15,0.08762206696670094,0.2088694062401819
Quartiles,0.25,0.75,199108,1991,6,8,15,0.07133932104394747,0.17626294554709343
Quartiles,0.25,0.75,199206,1992,1,8,14,0.029506156462575373,0.032476417401879676
Quartiles,0.25,0.75,199206,1992,2,8,14,0.005728163265245723,0.008114300242757277
Quartiles,0.25,0.75,199206,1992,3,8,14,0.013285827283625373,0.025158468632348274
Quartiles,0.25,0.75,199206,1992,4,8,14,0.020472682813182708,0.05063963554716011
Quartiles,0.25,0.75,199206,1992,5,8,14,0.004542601044835504,0.012904588956859975
Quartiles,0.25,0.75,199206,1992,6,8,14,-0.004584066924241403,-0.013733595057606074
Quartiles,0.25,0.75,199207,1992,1,8,15,0.01922265959339886,0.022227814178772842
Quartiles,0.25,0.75,199207,1992,2,8,15,-0.024155470496846077,-0.03664245011198064
Quartiles,0.25,0.75,199207,1992,3,8,15,-0.07108715069132476,-0.1489967910518648
Quartiles,0.25,0.75,199207,1992,4,8,15,-0.12055378453431276,-0.3199101311789381
Quartiles,0.25,0.75,199207,1992,5,8,15,-0.1460954263778219,-0.42549554611672047
Quartiles,0.25,0.75,199207,1992,6,8,15,-0.15623597099030806,-0.4689933905875865
Quartiles,0.25,0.75,199208,1992,1,8,15,0.09215781473968554,0.09821030214831161
Quartiles,0.25,0.75,199208,1992,2,8,15,0.12571364165399834,0.16568077461512853
Quartiles,0.25,0.75,199208,1992,3,8,15,0.14490590631539768,0.249038158311631
Quartiles,0.25,0.75,199208,1992,4,8,15,0.03908249733433489,0.08743996906036156
Quartiles,0.25,0.75,199208,1992,5,8,15,-0.0327507240003444,-0.08321122544308768
Quartiles,0.25,0.75,199208,1992,6,8,15,-0.06241542625556895,-0.16617258156100423
Quartiles,0.25,0.75,199306,1993,1,8,14,-0.08667183048252769,-0.10640860813568676
Quartiles,0.25,0.75,199306,1993,2,8,14,-0.0842616335939741,-0.13587089778739925
Quartiles,0.25,0.75,199306,1993,3,8,14,-0.061360189271535304,-0.13753892805437218
Quartiles,0.25,0.75,199306,1993,4,8,14,-0.05808504744768739,-0.17022310521250006
Quartiles,0.25,0.75,199306,1993,5,8,14,-0.07307386739067134,-0.2417295728633473
Quartiles,0.25,0.75,199306,1993,6,8,14,-0.08122578169412842,-0.28062805927481627
Quartiles,0.25,0.75,199307,1993,1,8,15,0.0791273988922423,0.08546476869515285
Quartiles,0.25,0.75,199307,1993,2,8,15,0.10992815774371012,0.14947980418721585
Quartiles,0.25,0.75,199307,1993,3,8,15,0.11349345136356237,0.2079672958903478
