partition,scale,years,estimate,standard_error,ci_lower,ci_upper,negative_years
Quartiles,0,33,-0.07283448318140778,0.013325741361000523,-0.09997813008595513,-0.04569083627686043,28
Quartiles,1,33,-0.028560081890210816,0.010738068622577444,-0.05043281191190149,-0.006687351868520139,22
Quartiles,2,33,-0.039447164166189215,0.012543257537093403,-0.064996943679102,-0.013897384653276435,23
Quartiles,3,33,-0.05906682668665217,0.014768150092871798,-0.08914856403204613,-0.028985089341258215,25
Quartiles,4,33,-0.10441426332651216,0.014985347797978115,-0.13493841791956018,-0.07389010873346413,29
Quartiles,5,33,-0.13268407983747452,0.014793289252567456,-0.16281702397547912,-0.10255113569946991,30
Quartiles,6,33,-0.14453925377735974,0.014726029455114632,-0.17453519419125832,-0.11454331336346116,33
Tertiles,0,33,-0.06483947631275042,0.012725657115556028,-0.09076079160886678,-0.03891816101663405,27
Tertiles,1,33,-0.02422340315522545,0.011007210030675353,-0.04664435628517656,-0.0018024500252743422,20
Tertiles,2,33,-0.0332533297573187,0.012786384463885877,-0.05929834261410805,-0.007208316900529345,24
Tertiles,3,33,-0.051806272005883176,0.014432786011367722,-0.08120489507146261,-0.022407648940303743,26
Tertiles,4,33,-0.09440845689598336,0.013732134391065237,-0.12237989931401931,-0.0664370144779474,31
Tertiles,5,33,-0.1205059197493414,0.013178947363052886,-0.1473505570648494,-0.0936612824338334,31
Tertiles,6,33,-0.13140975523057533,0.012982075908361961,-0.15785337851564787,-0.10496613194550276,33
20--80,0,33,-0.08479058976730487,0.01324646281637669,-0.11177275156088695,-0.05780842797372279,28
20--80,1,33,-0.03424985095264849,0.00982431595636986,-0.05426132770086538,-0.014238374204431612,25
20--80,2,33,-0.04806132298676037,0.012055689764936076,-0.07261795944736933,-0.02350468652615141,25
20--80,3,33,-0.07114690078373358,0.014876896552858662,-0.10145014741945803,-0.040843654148009126,26
20--80,4,33,-0.12012916474313542,0.01547557391674534,-0.15165187726333546,-0.08860645222293541,30
20--80,5,33,-0.15036570937024643,0.015328806795528161,-0.18158946704751552,-0.11914195169297734,31
20--80,6,33,-0.16301339749750368,0.015246866074009298,-0.19407024738692383,-0.13195654760808354,32
30--70,0,33,-0.06881351602885648,0.012860342263045079,-0.09500917599276214,-0.04261785606495082,29
30--70,1,33,-0.025944780042698946,0.010609493838499424,-0.04755561179957292,-0.004333948285824972,22
30--70,2,33,-0.03628683362488016,0.012322157132509462,-0.061386246351443394,-0.011187420898316928,22
30--70,3,33,-0.055799215731399746,0.014376174263801215,-0.08508252444072942,-0.026515907022070077,24
30--70,4,33,-0.0995271260185311,0.014347667137941061,-0.12875236761267,-0.0703018844243922,30
30--70,5,33,-0.12650962472677243,0.014000881485989809,-0.1550284870634183,-0.09799076239012658,32
30--70,6,33,-0.13779850697237253,0.013865725593359463,-0.16604206576475453,-0.10955494817999055,33
25--70,0,33,-0.06898468718040188,0.012955891394925903,-0.09537497435697426,-0.042594400003829504,29
25--70,1,33,-0.026121559238385602,0.010620160245661089,-0.047754117755662094,-0.00448900072110911,21
25--70,2,33,-0.035812184674137715,0.012386472788065006,-0.061042604104008524,-0.010581765244266902,22
25--70,3,33,-0.05516999405531704,0.01447925296941598,-0.08466326721711413,-0.025676720893519953,24
25--70,4,33,-0.10002961055221188,0.014484022226663989,-0.12953259837312098,-0.07052662273130278,29
25--70,5,33,-0.12779008738195716,0.014179805105265184,-0.15667340520463757,-0.09890676955927674,32
25--70,6,33,-0.13941656312938216,0.014064035095342967,-0.16806406515867933,-0.11076906110008501,33
25--80,0,33,-0.08272584959940019,0.013061364433569098,-0.10933097832522094,-0.05612072087357943,29
25--80,1,33,-0.033379007728849046,0.009777420257869976,-0.053294961065126656,-0.013463054392571432,25
25--80,2,33,-0.04760343362089368,0.011969962761938143,-0.07198544989066125,-0.02322141735112611,25
25--80,3,33,-0.07056059945269642,0.0146814444368225,-0.10046572315621698,-0.04065547574917587,26
25--80,4,33,-0.1168898447583734,0.01517738829061158,-0.14780517303416102,-0.08597451648258576,30
25--80,5,33,-0.1451963624361884,0.015001177927111576,-0.17575276194709963,-0.11463996292527713,31
25--80,6,33,-0.15699187741544243,0.014915375517179315,-0.18737350313661344,-0.12661025169427143,32
