partition,year,scale,ratio,rms_absolute
20--80,1991,1,0.053211500769749266,0.05941844795989226
20--80,1991,2,0.06993978313935505,0.09628909984468888
20--80,1991,3,0.08419058654986895,0.1476213193696876
20--80,1991,4,0.03996414152646991,0.07550264612764786
20--80,1991,5,0.0006148319391671153,-0.020823993444622897
20--80,1991,6,-0.017289866500752964,-0.07059309555378117
20--80,1992,1,0.05396034456793889,0.05698532926215375
20--80,1992,2,0.036963478523201365,0.04509557176058632
20--80,1992,3,0.019651074542719787,0.02312492436436105
20--80,1992,4,-0.03694787903506939,-0.10376483617648713
20--80,1992,5,-0.07469798368296583,-0.2168481514642151
20--80,1992,6,-0.09064356593080991,-0.2704171218037388
20--80,1993,1,-0.023042332446118568,-0.0317422321819271
20--80,1993,2,-0.01433063636828554,-0.030227466310815004
20--80,1993,3,0.0003937556290575239,-0.011470050981473356
20--80,1993,4,-0.02172142124718583,-0.06912271934538013
20--80,1993,5,-0.04831046020240859,-0.15416203371353898
20--80,1993,6,-0.06079177578445812,-0.19832796202967864
20--80,1994,1,0.07728707156892937,0.08292391936819114
20--80,1994,2,0.09369712613804859,0.11843016525889076
20--80,1994,3,0.095175041592978,0.13622567866828442
20--80,1994,4,0.0297704985650612,0.025866446091336037
20--80,1994,5,-0.018537175214562367,-0.08139640141167319
20--80,1994,6,-0.03943273614814691,-0.13374574022630123
20--80,1995,1,-0.032594162000366356,-0.03903308628091443
20--80,1995,2,-0.06207836501682262,-0.09522758925281168
20--80,1995,3,-0.10595449630681109,-0.2241498920776904
20--80,1995,4,-0.14312755018986437,-0.38265349116582276
20--80,1995,5,-0.15882869422416612,-0.46442306447219533
20--80,1995,6,-0.16475186955470725,-0.49581245722514716
20--80,1996,1,-0.0727771352374152,-0.09228895030601425
20--80,1996,2,-0.06484261411768621,-0.10579133539380618
20--80,1996,3,-0.07200716035956505,-0.15590979469949642
20--80,1996,4,-0.13790551545399599,-0.3704900649941039
20--80,1996,5,-0.178968195411796,-0.5349229079307806
20--80,1996,6,-0.19576916038581138,-0.6082441798444963
20--80,1997,1,-0.10523328132163967,-0.13352600933157474
