basis,bandwidth_km,total_effect_years,total_effect_estimate,total_effect_standard_error,total_effect_ci_lower,total_effect_ci_upper,total_effect_negative_years,structured_component_years,structured_component_estimate,structured_component_standard_error,structured_component_ci_lower,structured_component_ci_upper,structured_component_negative_years,residual_component_years,residual_component_estimate,residual_component_standard_error,residual_component_ci_lower,residual_component_ci_upper,residual_component_negative_years,identity_error
latitude,125.7997650312984,33,-0.028560081890210982,0.010738068622577418,-0.050432811911901604,-0.006687351868520357,22,33,-0.025802617783942338,0.0016868368336741334,-0.029238591975429842,-0.022366643592454834,33,33,-0.0027574641062683993,0.009740151508833,-0.02259750348496355,0.017082575272426754,16,2.45029690981724e-16
latitude,251.5995300625968,33,-0.03944716416618959,0.012543257537093426,-0.06499694367910241,-0.013897384653276765,23,33,-0.04601756945713122,0.002592131897169639,-0.05129756934912255,-0.040737569565139894,33,33,0.006570405290941616,0.011042995923413512,-0.015923441317153335,0.029064251899036567,15,1.734723475976807e-17
latitude,503.1990601251936,33,-0.059066826686651905,0.014768150092871767,-0.0891485640320458,-0.028985089341258014,25,33,-0.08384631160758484,0.004397248585869282,-0.09280321387162475,-0.07488940934354492,33,33,0.0247794849209331,0.012256220445480706,-0.00018561916926396194,0.049744589011130165,10,1.700029006457271e-16
latitude,1006.3981202503873,33,-0.1044142633265124,0.014985347797978135,-0.13493841791956046,-0.07389010873346433,29,33,-0.1272745181898203,0.006698338630298401,-0.14091858749166197,-0.11363044888797863,33,33,0.02286025486330784,0.010826655406671496,0.0008070794673060884,0.04491343025930959,10,6.938893903907228e-17
latitude,2012.7962405007745,33,-0.13268407983747438,0.014793289252567444,-0.16281702397547895,-0.10255113569946979,30,33,-0.1495756188128322,0.007877419672536348,-0.16562139760425004,-0.13352984002141438,33,33,0.016891538975357723,0.009662039653329898,-0.0027893917603436236,0.03657246971105907,11,1.1102230246251565e-16
latitude_longitude,125.7997650312984,33,-0.028560081890210982,0.010738068622577418,-0.050432811911901604,-0.006687351868520357,22,33,-0.028125355110207077,0.002480570559877468,-0.03317811199442698,-0.023072598225987173,32,33,-0.00043472678000377514,0.008872562865926815,-0.01850754592355602,0.017638092363548467,15,1.299416303723877e-16
latitude_longitude,251.5995300625968,33,-0.03944716416618959,0.012543257537093426,-0.06499694367910241,-0.013897384653276765,23,33,-0.05073206189206552,0.003797694860877825,-0.05846771318247463,-0.04299641060165641,33,33,0.011284897725876092,0.009562760912861106,-0.008193808833067648,0.030763604284819834,12,1.6132928326584306e-16
latitude_longitude,503.1990601251936,33,-0.059066826686651905,0.014768150092871767,-0.0891485640320458,-0.028985089341258014,25,33,-0.09324645253677508,0.0061787772665251005,-0.10583220997277332,-0.08066069510077684,33,33,0.03417962585012296,0.009833752500113641,0.014148927491307355,0.05421032420893857,8,2.0816681711721685e-16
latitude_longitude,1006.3981202503873,33,-0.1044142633265124,0.014985347797978135,-0.13493841791956046,-0.07389010873346433,29,33,-0.1394221503200733,0.008469520511356035,-0.15667399905277365,-0.12217030158737294,33,33,0.035007886993560944,0.007962586470896574,0.018788629110807416,0.05122714487631447,7,4.163336342344337e-17
latitude_longitude,2012.7962405007745,33,-0.13268407983747438,0.014793289252567444,-0.16281702397547895,-0.10255113569946979,30,33,-0.16232028000578097,0.009484485728848233,-0.1816395452324434,-0.14300101477911853,33,33,0.029636200168306513,0.006722468225525748,0.015942980489382058,0.04332941984723097,6,7.979727989493313e-17
