window_days,record_id,year,month,analysis_role,bandwidth_km,matched_effect,high_days_total,high_days_matched,high_day_coverage,mean_eligible_middle_days,record_has_no_match
3,199106,1991,6,held_out,125.799765031298,0.09694698206955006,8,8,1.0,2.625,False
3,199106,1991,6,held_out,251.599530062597,0.12791319144138263,8,8,1.0,2.625,False
3,199106,1991,6,held_out,503.199060125194,0.1202306910077407,8,8,1.0,2.625,False
3,199106,1991,6,held_out,1006.39812025039,0.06330659896466313,8,8,1.0,2.625,False
3,199106,1991,6,held_out,2012.79624050077,0.03788919219044101,8,8,1.0,2.625,False
3,199107,1991,7,held_out,125.799765031298,0.03228089000501143,8,8,1.0,2.75,False
3,199107,1991,7,held_out,251.599530062597,-0.06246251481569684,8,8,1.0,2.75,False
3,199107,1991,7,held_out,503.199060125194,-0.13934112227372036,8,8,1.0,2.75,False
3,199107,1991,7,held_out,1006.39812025039,-0.19418180950616737,8,8,1.0,2.75,False
3,199107,1991,7,held_out,2012.79624050077,-0.21337117621999416,8,8,1.0,2.75,False
3,199108,1991,8,held_out,125.799765031298,0.12160354840118051,8,8,1.0,3.375,False
3,199108,1991,8,held_out,251.599530062597,0.1581185894070298,8,8,1.0,3.375,False
3,199108,1991,8,held_out,503.199060125194,0.2099573726096171,8,8,1.0,3.375,False
3,199108,1991,8,held_out,1006.39812025039,0.19738047667945433,8,8,1.0,3.375,False
3,199108,1991,8,held_out,2012.79624050077,0.1667608735640439,8,8,1.0,3.375,False
3,199206,1992,6,held_out,125.799765031298,0.06722027527835304,8,8,1.0,2.375,False
3,199206,1992,6,held_out,251.599530062597,0.051371489330712644,8,8,1.0,2.375,False
3,199206,1992,6,held_out,503.199060125194,0.05304534071438681,8,8,1.0,2.375,False
3,199206,1992,6,held_out,1006.39812025039,0.06904882808829298,8,8,1.0,2.375,False
3,199206,1992,6,held_out,2012.79624050077,0.0681620112753064,8,8,1.0,2.375,False
3,199207,1992,7,held_out,125.799765031298,-0.1289096019901637,8,8,1.0,2.625,False
3,199207,1992,7,held_out,251.599530062597,-0.19753222286634353,8,8,1.0,2.625,False
3,199207,1992,7,held_out,503.199060125194,-0.2423512377082216,8,8,1.0,2.625,False
3,199207,1992,7,held_out,1006.39812025039,-0.25438300420411686,8,8,1.0,2.625,False
3,199207,1992,7,held_out,2012.79624050077,-0.259623894890339,8,8,1.0,2.625,False
3,199208,1992,8,held_out,125.799765031298,0.03647030659590237,8,6,0.75,3.0,False
3,199208,1992,8,held_out,251.599530062597,0.08793142705375005,8,6,0.75,3.0,False
3,199208,1992,8,held_out,503.199060125194,0.11673032479870893,8,6,0.75,3.0,False
3,199208,1992,8,held_out,1006.39812025039,0.028899693026234536,8,6,0.75,3.0,False
3,199208,1992,8,held_out,2012.79624050077,-0.027783605510382725,8,6,0.75,3.0,False
3,199306,1993,6,held_out,125.799765031298,-0.08428610239189709,8,8,1.0,3.75,False
3,199306,1993,6,held_out,251.599530062597,-0.08313355896279485,8,8,1.0,3.75,False
3,199306,1993,6,held_out,503.199060125194,-0.058169442945025504,8,8,1.0,3.75,False
3,199306,1993,6,held_out,1006.39812025039,-0.05893719028412722,8,8,1.0,3.75,False
3,199306,1993,6,held_out,2012.79624050077,-0.07719399850629918,8,8,1.0,3.75,False
3,199307,1993,7,held_out,125.799765031298,0.02676152929570126,8,8,1.0,3.0,False
3,199307,1993,7,held_out,251.599530062597,0.02432904479284581,8,8,1.0,3.0,False
3,199307,1993,7,held_out,503.199060125194,-0.011072180533498968,8,8,1.0,3.0,False
