window_days,bandwidth_km,summers,estimate,standard_error,ci_lower,ci_upper,negative_summers
3,125.799765031298,33,-0.0231819515504717,0.011824907939943315,-0.04726850081668833,0.0009045977157449356,23
3,251.599530062597,33,-0.03292296821730125,0.013435597094213285,-0.06029038392779994,-0.0055555525068025635,24
3,503.199060125194,33,-0.04408340274583264,0.014884583363861998,-0.07440230690319466,-0.013764498588470623,24
3,1006.39812025039,33,-0.07166427907556058,0.015470276651669359,-0.1031762014198982,-0.04015235673122298,27
3,2012.79624050077,33,-0.08868615181407104,0.01566879967692147,-0.12060245232798925,-0.056769851300152836,29
5,125.799765031298,33,-0.025429850349744064,0.011590864382499585,-0.04903966848998154,-0.001820032209506585,22
5,251.599530062597,33,-0.035430859998084485,0.0129670494293844,-0.06184387534709285,-0.009017844649076123,25
5,503.199060125194,33,-0.047448924051694125,0.0143112389925963,-0.07659996394193988,-0.018297884161448372,23
5,1006.39812025039,33,-0.07900184862761336,0.014932614207282166,-0.10941858841145244,-0.048585108843774295,27
5,2012.79624050077,33,-0.09887464248146778,0.015179761352257255,-0.12979480452564757,-0.06795448043728798,29
