scenario,family,mechanism,strength,null_type,records,days,rho_field,spatial_distribution,simulations,target_profile,bias_profile,rmse_profile,rejection_graph,rejection_variogram_profile,rejection_variance,rejection_nearest,rejection_binned,rejection_moran,rejection_geary,median_relative_variance,median_relative_nearest,median_relative_binned,median_relative_local,median_relative_broad
cyclic_base,null,null,0,cyclic,6,30,0.45,gaussian,1000,8.14163551391781e-17,0.00239789984971287,0.0362002938143564,0.046,0.049,0.054,0.055,0.043,0.047,0.052,0.00460754306156466,-0.000433874115560506,0.00037207284777709,0.000171571616397368,0.00479516736758211
cyclic_3_records,null,null,0,cyclic,3,30,0.45,gaussian,1000,8.14163551391781e-17,0.00155117115282925,0.0530309807341092,0.068,0.061,0.06,0.058,0.052,0.057,0.05,0.00123116370968744,0.000278959407432685,-0.000516825124870057,-0.000343409708944235,0.00146555571084707
cyclic_12_records,null,null,0,cyclic,12,30,0.45,gaussian,1000,8.14163551391781e-17,0.00310694135009372,0.0268408960732847,0.053,0.057,0.059,0.044,0.048,0.049,0.042,0.00412498634514521,0.00190004561763698,0.00296196443469268,0.00161594770911348,0.00357223719500829
cyclic_20_days,null,null,0,cyclic,6,20,0.45,gaussian,1000,-2.22044604925031e-17,0.00432352473638092,0.0466453686290956,0.058,0.053,0.05,0.052,0.064,0.048,0.048,0.00376275442831926,0.00123873795534498,0.00352143096796389,0.00110101925055387,0.00589187131701343
cyclic_60_days,null,null,0,cyclic,6,60,0.45,gaussian,1000,-3.5527136788005e-16,8.90680331126017e-05,0.0270361886487595,0.062,0.057,0.059,0.059,0.06,0.061,0.061,0.000563248816893671,0.000360739204609523,0.000569637264855825,-0.000436810329716847,0.000655143250335407
cyclic_rho0,null,null,0,cyclic,6,30,0,gaussian,1000,8.14163551391781e-17,0.00360124090841805,0.0370210250669644,0.062,0.058,0.056,0.04,0.057,0.056,0.052,0.00587958772184144,0.00167538348961669,0.00262554139595891,0.00168896301419742,0.00527773450367734
cyclic_rho075,null,null,0,cyclic,6,30,0.75,gaussian,1000,8.14163551391781e-17,0.00380789522394379,0.0385901190049751,0.045,0.042,0.041,0.054,0.041,0.049,0.041,0.00359354703085087,0.00125586840546864,0.00218198589138725,0.00106415743394206,0.00289401428770176
cyclic_t3,null,null,0,cyclic,6,30,0.45,t3,1000,8.14163551391781e-17,0.338128691632219,1.06765279012086,0.061,0.056,0.056,0.061,0.059,0.05,0.061,0.137919025221275,0.139280996701028,0.132555020607717,0.133186324059357,0.135276490500159
linear_base,null,null,0,linear,6,30,0.45,gaussian,1000,8.14163551391781e-17,0.00513421824588054,0.0378217419473656,0.046,0.042,0.044,0.046,0.046,0.055,0.049,0.00461502715772774,0.00128243602955931,0.00329445814504893,0.00253852328394014,0.00458787643092475
linear_rho075,null,null,0,linear,6,30,0.75,gaussian,1000,8.14163551391781e-17,0.00169400777185222,0.0394680292252642,0.051,0.051,0.05,0.046,0.051,0.047,0.058,0.000179551398172773,-0.000290524111760596,0.000506896433116845,0.000195928676681871,0.000735082336079968
amplitude_weak,alternative,amplitude,0.97,linear,6,30,0.45,gaussian,1000,-0.0591000000000001,0.00366034020719389,0.0355692396062221,0.5,0.336,0.311,0.764,0.45,0.052,0.059,-0.0539797855969891,-0.0591082729799682,-0.0562517818631562,-0.0597187921534466,-0.0533709990692721
amplitude_weak_plus,alternative,amplitude,0.955,linear,6,30,0.45,gaussian,1000,-0.087975,0.00274332094674061,0.0342627703069562,0.805,0.573,0.544,0.969,0.751,0.05,0.05,-0.0845587742864713,-0.0873450251693754,-0.0852311764979723,-0.0882894431519784,-0.0844762098020541
amplitude_medium,alternative,amplitude,0.94,linear,6,30,0.45,gaussian,1000,-0.1164,0.00232932457343017,0.0335621225550883,0.953,0.798,0.771,0.998,0.919,0.046,0.045,-0.113422308388455,-0.114735644532746,-0.114578117679583,-0.115789097373891,-0.114010131176173
amplitude_medium_plus,alternative,amplitude,0.92,linear,6,30,0.45,gaussian,1000,-0.1536,0.00348763886190404,0.0322824720353349,0.997,0.933,0.911,1,0.99,0.044,0.038,-0.148333045710952,-0.153188573765228,-0.150775859605345,-0.152547298842729,-0.148812174316046
amplitude_strong,alternative,amplitude,0.9,linear,6,30,0.45,gaussian,1000,-0.19,0.00130267751049991,0.0307191650796108,0.999,0.993,0.991,1,0.999,0.054,0.047,-0.189295521172899,-0.190185340391709,-0.188165251420156,-0.189240662809331,-0.188955301608542
range_weak,alternative,range,525,linear,6,30,0.45,gaussian,1000,-0.0606688100948157,0.00474863550027165,0.0381770847238762,0.489,0.19,0.164,0.954,0.515,0.155,0.159,-0.0267767722594514,-0.0837852843769206,-0.064084585740466,-0.0838642386140182,-0.0306558319379589
range_weak_plus,alternative,range,587,linear,6,30,0.45,gaussian,1000,-0.0606829526587656,0.00358814534017083,0.0365483476160271,0.508,0.203,0.178,0.952,0.524,0.132,0.151,-0.0317691374470396,-0.0854724165154776,-0.0640535782168142,-0.0845966593939746,-0.0344493727529809
range_medium,alternative,range,650,linear,6,30,0.45,gaussian,1000,-0.143777949304777,0.00313714525013571,0.0340589359268618,0.986,0.624,0.533,1,0.991,0.453,0.537,-0.0866847648689662,-0.19430757629302,-0.156766469698369,-0.19200055525221,-0.0941704474615429
range_medium_plus,alternative,range,725,linear,6,30,0.45,gaussian,1000,-0.143860304914394,0.00362338530199293,0.0345380843290445,0.988,0.608,0.51,1,0.996,0.49,0.562,-0.0861607334686336,-0.192320242520716,-0.157496239010084,-0.191787755644669,-0.0933025432053523
range_strong,alternative,range,800,linear,6,30,0.45,gaussian,1000,-0.222037183939649,0.00457829547318998,0.0326438809285547,1,0.914,0.856,1,1,0.74,0.85,-0.145550352749468,-0.283447827291112,-0.242075585842849,-0.281728301542071,-0.154412377334871
gradient_weak,alternative,gradient,1.6,linear,6,30,0.45,gaussian,1000,-0.103411422260438,0.000678282397950558,0.0332679413812061,0.909,0.939,0.965,0.408,0.789,0.324,0.816,-0.166776932956008,-0.0341629480100051,-0.0846670746033767,-0.0363800459767847,-0.161418742878946
gradient_weak_plus,alternative,gradient,1.5,linear,6,30,0.45,gaussian,1000,-0.150554864761519,0.00334664041514824,0.0319428537982598,0.996,0.999,0.999,0.652,0.95,0.648,0.987,-0.238537896385906,-0.0505408865448225,-0.119711258175272,-0.051328067589917,-0.229992268721186
gradient_medium,alternative,gradient,1.4,linear,6,30,0.45,gaussian,1000,-0.194656794843177,0.00134657160012045,0.0310878038375867,1,1,1,0.825,0.998,0.876,1,-0.311372935978217,-0.063989180109508,-0.15773090173039,-0.0655960370248574,-0.301291519564801
gradient_medium_plus,alternative,gradient,1.3,linear,6,30,0.45,gaussian,1000,-0.235717212505409,0.00227953395120777,0.0279863549905238,1,1,1,0.945,1,0.98,1,-0.377392143634851,-0.0771471028648208,-0.189868196445911,-0.0795741016056826,-0.364594192736162
gradient_strong,alternative,gradient,1.2,linear,6,30,0.45,gaussian,1000,-0.273736117748217,0.00109234406921522,0.0261255875737765,1,1,1,0.976,1,0.998,1,-0.44031124413277,-0.0900361638692583,-0.221758609618372,-0.0936929155488995,-0.42566986673677
