basis,bandwidth_km,total_effect_years,total_effect_estimate,total_effect_standard_error,total_effect_t_statistic,total_effect_t_p_value_lower,total_effect_ci_lower,total_effect_ci_upper,total_effect_negative_years,total_effect_negative_fraction,structured_component_years,structured_component_estimate,structured_component_standard_error,structured_component_t_statistic,structured_component_t_p_value_lower,structured_component_ci_lower,structured_component_ci_upper,structured_component_negative_years,structured_component_negative_fraction,residual_component_years,residual_component_estimate,residual_component_standard_error,residual_component_t_statistic,residual_component_t_p_value_lower,residual_component_ci_lower,residual_component_ci_upper,residual_component_negative_years,residual_component_negative_fraction,identity_error
latitude,125.799765,41,-0.059566244668752016,0.007012304584634351,-8.494531854659595,8.551522750790829e-11,-0.07373864089408835,-0.04539384844341568,38,0.926829268292683,41,-0.028281682071603295,0.0015394369142297077,-18.371445955454874,2.1032917362380334e-21,-0.031393000133881986,-0.025170364009324604,41,1.0,41,-0.03128456259714858,0.006516193214727587,-4.8010489508568766,1.1135499131406145e-05,-0.04445428034191523,-0.018114844852381934,34,0.8292682926829268,1.3877787807814457e-16
latitude,251.59953,41,-0.07510598301702762,0.008097948502076123,-9.27469259625104,8.087483361988142e-12,-0.09147254744654122,-0.05873941858751401,39,0.9512195121951219,41,-0.04921623630886995,0.002449353811107387,-20.093559405620784,8.223761231780565e-23,-0.05416656501865197,-0.044265907599087925,41,1.0,41,-0.025889746708157857,0.007200193381279152,-3.5957015787204325,0.00043937839635093713,-0.04044188035650727,-0.01133761305980845,30,0.7317073170731707,1.8735013540549517e-16
latitude,503.19906,41,-0.10076973037613944,0.010073510520141205,-10.003437250068698,9.56131654428809e-13,-0.12112905458238818,-0.0804104061698907,40,0.975609756097561,41,-0.08863376565160784,0.004289504939326695,-20.662935911089146,2.960139673892101e-23,-0.09730317852107823,-0.07996435278213745,41,1.0,41,-0.012135964724531493,0.008124573249971106,-1.4937356524633036,0.07154590673308293,-0.02855633977678875,0.004284410327725766,23,0.5609756097560976,1.0755285551056204e-16
latitude,1006.39812,41,-0.14497632570737712,0.011012805599751959,-13.164340766229671,2.001215522909182e-16,-0.16723403608326293,-0.12271861533149131,41,1.0,41,-0.13598127052166914,0.00658706685163344,-20.643675490852036,3.0630665473554807e-23,-0.1492942292298077,-0.12266831181353058,41,1.0,41,-0.008995055185707932,0.00739472319043919,-1.2164154024504727,0.11547805512226565,-0.02394034824403167,0.005950237872615805,23,0.5609756097560976,4.683753385137379e-17
latitude,2012.796241,41,-0.1717346155166989,0.011190555944683413,-15.34638818353697,1.1692063123253515e-18,-0.19435157274034412,-0.1491176582930537,41,1.0,41,-0.16125810289379588,0.007657922493558341,-21.05768281533827,1.4777194870015224e-23,-0.1767353415863995,-0.14578086420119227,41,1.0,41,-0.010476512622903104,0.00670524381657698,-1.5624357457371854,0.06303166736240984,-0.02402831588659015,0.003075290640783941,25,0.6097560975609756,7.632783294297951e-17
latitude_longitude,125.799765,41,-0.059566244668752016,0.007012304584634351,-8.494531854659595,8.551522750790829e-11,-0.07373864089408835,-0.04539384844341568,38,0.926829268292683,41,-0.031471991958950944,0.002240968294094785,-14.043925584258977,2.360099940944692e-17,-0.03600115782860255,-0.026942826089299342,41,1.0,41,-0.028094252709801176,0.0061909455171139825,-4.537958318666937,2.5469054908067598e-05,-0.04060662033716719,-0.015581885082435161,33,0.8048780487804879,1.0408340855860843e-16
latitude_longitude,251.59953,41,-0.07510598301702762,0.008097948502076123,-9.27469259625104,8.087483361988142e-12,-0.09147254744654122,-0.05873941858751401,39,0.9512195121951219,41,-0.05496668740265246,0.0036395549569340283,-15.10258480859884,2.02352129597423e-18,-0.06232250235777903,-0.04761087244752589,41,1.0,41,-0.020139295614375247,0.006417714267423079,-3.138079193803346,0.0015943214354462516,-0.03310997998228148,-0.0071686112464690085,31,0.7560975609756098,9.020562075079397e-17
latitude_longitude,503.19906,41,-0.10076973037613944,0.010073510520141205,-10.003437250068698,9.56131654428809e-13,-0.12112905458238818,-0.0804104061698907,40,0.975609756097561,41,-0.09923507144938044,0.006045364129364956,-16.41506935328389,1.1349142242942442e-19,-0.11145320811668026,-0.08701693478208063,41,1.0,41,-0.001534658926759156,0.006639852031192157,-0.23112848291645052,0.40919659663200986,-0.014954300462276745,0.011884982608758435,22,0.5365853658536586,1.5872719805187785e-16
latitude_longitude,1006.39812,41,-0.14497632570737712,0.011012805599751959,-13.164340766229671,2.001215522909182e-16,-0.16723403608326293,-0.12271861533149131,41,1.0,41,-0.1499162802070414,0.008147530241908903,-18.40021156790664,1.988511547004683e-21,-0.16638305307073958,-0.1334495073433432,41,1.0,41,0.0049399544996641355,0.005489844126011647,0.8998351112116175,0.81320321680906,-0.006155434360035455,0.016035343359363727,17,0.4146341463414634,1.4311468676808659e-16
latitude_longitude,2012.796241,41,-0.1717346155166989,0.011190555944683413,-15.34638818353697,1.1692063123253515e-18,-0.19435157274034412,-0.1491176582930537,41,1.0,41,-0.17615151400333964,0.008939280022667109,-19.705335726890382,1.6735180601463383e-22,-0.19421847286420865,-0.15808455514247063,41,1.0,41,0.004416898486640405,0.004625775351093211,0.9548450046534486,0.8273043426850654,-0.004932142236539446,0.013765939209820256,17,0.4146341463414634,3.2526065174565133e-16
