year,forcing_segment,profile_effect
1950,1950-1978,-0.12255858230169137
1951,1950-1978,-0.07311308973876074
1952,1950-1978,-0.18511508505749377
1953,1950-1978,-0.016164177989225276
1954,1950-1978,-0.11074165430734058
1955,1950-1978,-0.08360341680149119
1956,1950-1978,-0.10434914833627977
1957,1950-1978,-0.06427590175474254
1958,1950-1978,-0.07181840885542481
1959,1950-1978,-0.13864035090552726
1960,1950-1978,-0.11648668608953142
1961,1950-1978,-0.1752279260388342
1962,1950-1978,-0.07767560580206703
1963,1950-1978,-0.05432805777797363
1964,1950-1978,-0.1388248926570998
1965,1950-1978,-0.051504784015075813
1966,1950-1978,-0.03863025935865905
1967,1950-1978,-0.17316619066623948
1968,1950-1978,0.0036195995142444593
1969,1950-1978,-0.06741956963899284
1970,1950-1978,-0.08982240410638405
1971,1950-1978,-0.20471686639584757
1972,1950-1978,-0.13576462120050942
1973,1950-1978,-0.06671365514182485
1974,1950-1978,-0.17641608295004377
1975,1950-1978,-0.14609694448993246
1976,1950-1978,-0.09541675085295279
1977,1950-1978,-0.1168398942054177
1978,1950-1978,-0.15445075718710963
1979,1979-1990,-0.1619547809949929
1980,1979-1990,-0.05408392700522584
1981,1979-1990,-0.07404695298107508
1982,1979-1990,-0.1226757732915211
1983,1979-1990,-0.18138909595632405
1984,1979-1990,-0.19438704656294584
1985,1979-1990,-0.07524323670226396
1986,1979-1990,-0.06363297801017957
1987,1979-1990,-0.08762085751934373
1988,1979-1990,-0.27805056377902104
1989,1979-1990,-0.07834692138244007
1990,1979-1990,-0.10995947485159847
