analysis,bandwidth_km,component,n_years,estimate,standard_error,ci_lower,ci_upper,negative_years
inclusive_35_summer_monthly_climatology,125.799765031298,total_effect,33,-0.02856008189021089,0.01073806862257747,-0.05043281191190162,-0.00668735186852016,22
inclusive_35_summer_monthly_climatology,125.799765031298,anomaly_energy_component,33,-0.0263363247797793,0.004493332038274467,-0.035488942631778105,-0.017183706927780498,27
inclusive_35_summer_monthly_climatology,125.799765031298,climatology_anomaly_cross_component,33,-0.002223757110431373,0.00864469722147017,-0.019832429124960853,0.015384914904098108,16
inclusive_35_summer_monthly_climatology,125.799765031298,climatology_energy_component,33,-2.245988613481498e-16,1.6079771328511264e-18,-2.2787420358557563e-16,-2.2132351911072395e-16,33
inclusive_35_summer_monthly_climatology,251.599530062597,total_effect,33,-0.03944716416618943,0.012543257537093438,-0.06499694367910228,-0.013897384653276581,23
inclusive_35_summer_monthly_climatology,251.599530062597,anomaly_energy_component,33,-0.024501044453777515,0.004926055442312392,-0.03453509103595672,-0.014466997871598308,26
inclusive_35_summer_monthly_climatology,251.599530062597,climatology_anomaly_cross_component,33,-0.014946119712411872,0.010792706278985384,-0.0369301429982484,0.007037903573424655,18
inclusive_35_summer_monthly_climatology,251.599530062597,climatology_energy_component,33,3.3706868730913134e-17,5.054946481650925e-19,3.2677209827125026e-17,3.473652763470124e-17,0
inclusive_35_summer_monthly_climatology,503.199060125194,total_effect,33,-0.059066826686652155,0.014768150092871803,-0.08914856403204612,-0.02898508934125819,25
inclusive_35_summer_monthly_climatology,503.199060125194,anomaly_energy_component,33,-0.01419742324549009,0.0049571602396296915,-0.024294828226466475,-0.0041000182645137065,23
inclusive_35_summer_monthly_climatology,503.199060125194,climatology_anomaly_cross_component,33,-0.0448694034411621,0.013496154574401627,-0.07236017070225234,-0.01737863618007186,20
inclusive_35_summer_monthly_climatology,503.199060125194,climatology_energy_component,33,-7.206945494404599e-17,1.4219590039265197e-18,-7.496589065217723e-17,-6.917301923591475e-17,33
inclusive_35_summer_monthly_climatology,1006.39812025039,total_effect,33,-0.10441426332651235,0.014985347797978117,-0.13493841791956038,-0.07389010873346433,29
inclusive_35_summer_monthly_climatology,1006.39812025039,anomaly_energy_component,33,-0.0018141528963857186,0.004531645924580066,-0.011044813580917934,0.007416507788146497,21
inclusive_35_summer_monthly_climatology,1006.39812025039,climatology_anomaly_cross_component,33,-0.10260011043012658,0.014423924685910174,-0.1319806835664143,-0.07321953729383888,28
inclusive_35_summer_monthly_climatology,1006.39812025039,climatology_energy_component,33,8.423955188137736e-17,1.8987008918728476e-18,8.037202472546412e-17,8.810707903729059e-17,0
inclusive_35_summer_monthly_climatology,2012.79624050077,total_effect,33,-0.13268407983747463,0.014793289252567468,-0.16281702397547926,-0.10255113569947,30
inclusive_35_summer_monthly_climatology,2012.79624050077,anomaly_energy_component,33,0.0040671645327237564,0.004429341288907179,-0.004955108428215818,0.013089437493663331,16
inclusive_35_summer_monthly_climatology,2012.79624050077,climatology_anomaly_cross_component,33,-0.13675124437019837,0.014759117011835507,-0.16681458193163531,-0.10668790680876142,33
inclusive_35_summer_monthly_climatology,2012.79624050077,climatology_energy_component,33,-8.579530538784219e-17,2.0817352507274827e-18,-9.003566133230527e-17,-8.15549494433791e-17,33
leave_one_summer_out_monthly_climatology,125.799765031298,total_effect,33,-0.02856008189021089,0.01073806862257747,-0.05043281191190162,-0.00668735186852016,22
leave_one_summer_out_monthly_climatology,125.799765031298,anomaly_energy_component,33,-0.02652843893636503,0.004525077613603485,-0.03574572040925883,-0.017311157463471227,27
leave_one_summer_out_monthly_climatology,125.799765031298,climatology_anomaly_cross_component,33,-0.002031642953845635,0.008649607819761866,-0.019650317529771807,0.015587031622080538,16
leave_one_summer_out_monthly_climatology,125.799765031298,climatology_energy_component,33,7.29009552767347e-18,1.7308685498515574e-17,-2.7966543095717226e-17,4.254673415106417e-17,17
leave_one_summer_out_monthly_climatology,251.599530062597,total_effect,33,-0.03944716416618943,0.012543257537093438,-0.06499694367910228,-0.013897384653276581,23
leave_one_summer_out_monthly_climatology,251.599530062597,anomaly_energy_component,33,-0.02472102969218278,0.00497320523658814,-0.03485111726245954,-0.014590942121906014,26
leave_one_summer_out_monthly_climatology,251.599530062597,climatology_anomaly_cross_component,33,-0.014726134474006638,0.010809997428928922,-0.03674537867970992,0.007293109731696647,18
leave_one_summer_out_monthly_climatology,251.599530062597,climatology_energy_component,33,4.589330145325026e-19,1.543433938191364e-17,-3.097978750676676e-17,3.1897653535831766e-17,18
leave_one_summer_out_monthly_climatology,503.199060125194,total_effect,33,-0.059066826686652155,0.014768150092871803,-0.08914856403204612,-0.02898508934125819,25
leave_one_summer_out_monthly_climatology,503.199060125194,anomaly_energy_component,33,-0.014393971508800965,0.005022313726697296,-0.024624089800028046,-0.004163853217573883,23
leave_one_summer_out_monthly_climatology,503.199060125194,climatology_anomaly_cross_component,33,-0.044672855177851224,0.013529209456850716,-0.07223095303116617,-0.017114757324536278,20
leave_one_summer_out_monthly_climatology,503.199060125194,climatology_energy_component,33,3.8006823256761e-18,1.6519792839004955e-17,-2.98490345351465e-17,3.74503991864987e-17,16
leave_one_summer_out_monthly_climatology,1006.39812025039,total_effect,33,-0.10441426332651235,0.014985347797978117,-0.13493841791956038,-0.07389010873346433,29
