analysis,hour_utc,n_years,estimate,se,ci_lower,ci_upper,p_one_sided
daily_mean_field,-1,33.0,-0.07584131571772935,0.013093544782952287,-0.10251199367021292,-0.04917063776524579,9.910830033530755e-07
daily_mean_relabelled,-1,33.0,-0.09138698449628258,0.01285473800275634,-0.11757122895554067,-0.06520274003702448,2.2876724491390612e-08
fixed_hour,0,33.0,-0.1007261996499845,0.013030748095485075,-0.12726896493590725,-0.07418343436406175,4.093419435084135e-09
fixed_hour,1,33.0,-0.09326212846447034,0.013088572299858827,-0.11992267780034105,-0.06660157912859963,2.185700982170799e-08
fixed_hour,2,33.0,-0.09013286684210704,0.013044546354360285,-0.11670373826161441,-0.06356199542259967,4.012983465815314e-08
fixed_hour,3,33.0,-0.0869120616269142,0.013029000609169616,-0.11345126739969376,-0.06037285585413464,7.904072275627642e-08
fixed_hour,4,33.0,-0.08370956605049994,0.012744543912741685,-0.10966935249355494,-0.057749779607444936,1.0584355827009075e-07
fixed_hour,5,33.0,-0.0816000415630311,0.012462161653896136,-0.10698463416744203,-0.056215448958620184,1.1220896876236307e-07
fixed_hour,6,33.0,-0.07757833558653594,0.012482879199058586,-0.1030051284494829,-0.05215154272358899,2.9185589073255077e-07
fixed_hour,7,33.0,-0.06851966183973847,0.01285470245035525,-0.09470383388112534,-0.0423354897983516,3.7995927210475e-06
fixed_hour,8,33.0,-0.06403300582684304,0.01307397322184442,-0.09066381781392242,-0.03740219383976366,1.3371694430409314e-05
fixed_hour,9,33.0,-0.061268656321238235,0.013669487831616069,-0.08911249187347912,-0.033424820768997346,4.4435439350539786e-05
fixed_hour,10,33.0,-0.06137628033371515,0.013746032003109945,-0.08937603126111944,-0.03337652940631086,4.6676391301429096e-05
fixed_hour,11,33.0,-0.060295392735825425,0.013862133112168423,-0.08853163388348362,-0.032059151588167224,6.496397396318125e-05
fixed_hour,12,33.0,-0.06098856618326135,0.013810195435116903,-0.08911901374475145,-0.03285811862177125,5.369412466035631e-05
fixed_hour,13,33.0,-0.06630409179648646,0.013970760974829678,-0.09476160065962817,-0.03784658293334474,2.0763785409891723e-05
fixed_hour,14,33.0,-0.07065972683448923,0.0140881349688692,-0.09935631869974515,-0.041963134969233325,9.496794344643172e-06
fixed_hour,15,33.0,-0.07395691937959557,0.014271328177016105,-0.10302666359882134,-0.04488717516036981,5.848248772357877e-06
fixed_hour,16,33.0,-0.07681603437310779,0.01432479608010991,-0.10599468914695022,-0.04763737959926535,3.4601860106614597e-06
fixed_hour,17,33.0,-0.07879790801472975,0.014305546167990705,-0.10793735200071788,-0.0496584640287416,2.2636066581849416e-06
fixed_hour,18,33.0,-0.08073867728578857,0.014301443586104887,-0.10986976458593922,-0.05160758998563792,1.5182185548495606e-06
fixed_hour,19,33.0,-0.07876329307298005,0.014195960307518032,-0.10767951796579964,-0.049847068180160464,2.014364971816078e-06
fixed_hour,20,33.0,-0.07899222078620427,0.014257659309038908,-0.10803412243247992,-0.04995031913992862,2.0615317475124487e-06
fixed_hour,21,33.0,-0.07881924890768799,0.014196538794519273,-0.10773665213996916,-0.049901845675406814,1.992703004229143e-06
fixed_hour,22,33.0,-0.07548280376211543,0.01400165040532855,-0.10400323233620079,-0.046962375188030064,3.1842386583674046e-06
fixed_hour,23,33.0,-0.06069665908756329,0.013655697283572094,-0.08851240421266882,-0.032880913962457764,4.9467364222913066e-05
fixed_hour_relabelled,0,33.0,-0.09175725159726301,0.012343582495285008,-0.11690030635965948,-0.06661419683486655,9.257795773940646e-09
fixed_hour_relabelled,1,33.0,-0.08945394305339081,0.012500841158956043,-0.11491732323136679,-0.06399056287541484,2.007352276587698e-08
fixed_hour_relabelled,2,33.0,-0.08395488984167425,0.013390203352962595,-0.11122984152703501,-0.05667993815631349,2.4903302386223704e-07
fixed_hour_relabelled,3,33.0,-0.08101664636979714,0.013075670565472331,-0.10765091573270752,-0.05438237700688675,3.081031521828644e-07
fixed_hour_relabelled,4,33.0,-0.07993243847914838,0.01269270937007055,-0.10578664141389355,-0.05407823554440322,2.2999916640551804e-07
fixed_hour_relabelled,5,33.0,-0.07925916857084615,0.012472975365088903,-0.10466578798415216,-0.05385254915754014,1.952619796877918e-07
fixed_hour_relabelled,6,33.0,-0.07519335962243272,0.011969247451926615,-0.0995739188533869,-0.05081280039147854,2.4034551850739423e-07
fixed_hour_relabelled,7,33.0,-0.07205814565198203,0.011931884395639851,-0.09636259882777212,-0.04775369247619193,4.846328549059574e-07
fixed_hour_relabelled,8,33.0,-0.06963483480384933,0.01168991173335174,-0.09344640579561896,-0.0458232638120797,6.149678348846241e-07
fixed_hour_relabelled,9,33.0,-0.06338718696731065,0.012728323172742069,-0.08931393284420483,-0.03746044109041646,1.0530102122459329e-05
fixed_hour_relabelled,10,33.0,-0.055513783855105615,0.013346926098843274,-0.08270058265853733,-0.0283269850516739,0.00011170226528479357
fixed_hour_relabelled,11,33.0,-0.0542479204976876,0.013423999085289462,-0.0815917118370916,-0.026904129158283593,0.00015598941491431668
fixed_hour_relabelled,12,33.0,-0.059984783931177135,0.012966415949057064,-0.08639650892298432,-0.033573058939369946,2.935047786324453e-05
fixed_hour_relabelled,13,33.0,-0.07768115454000024,0.013222472673930617,-0.10461445001251955,-0.05074785906748093,7.797122939525123e-07
fixed_hour_relabelled,14,33.0,-0.09087664156189264,0.012888392731288846,-0.11712943845986369,-0.06462384466392158,2.6936511279179503e-08
fixed_hour_relabelled,15,33.0,-0.10183973580831289,0.012295093657665759,-0.12688402204057708,-0.0767954495760487,9.175224140847584e-10
fixed_hour_relabelled,16,33.0,-0.11060624940093863,0.012833906736288753,-0.1367480619589424,-0.08446443684293486,3.774872144945668e-10
