analysis_role,site_id,lon,lat,moderate_anomaly,extreme_anomaly,anomaly_difference,profile_contribution,contribution_h_0_125,contribution_h_0_250,contribution_h_0_500,contribution_h_1_000,contribution_h_2_000
confirmatory,1,105,20.4,3.68623658789532,2.49464426066867,-1.19159232722665,-0.000690630713662538,-1.93998310128774e-05,-0.000177869556158101,-0.000416317162876037,-0.00097459084382729,-0.00186497617443838
confirmatory,2,105,22.2,3.86094589506223,2.74418254223433,-1.11676335282791,-0.00103034267533226,-0.000447568612850426,-0.000675978572655356,-0.000715077087818008,-0.00128724934127207,-0.00202583976206544
confirmatory,3,105,24,-0.158992973191737,-1.11796376837173,-0.958970795179997,-0.000293713557898901,-0.000833274004529079,-0.00053275518047128,9.99530442690321e-05,1.29499706249686e-05,-0.000215441619388148
confirmatory,4,105,25.8,-1.50418990190747,-2.00309845397779,-0.498908552070329,-0.000744669690457942,-0.00136006837899958,-0.0012179199426448,-0.000634243312114359,-0.000277670980791758,-0.000233445837739213
confirmatory,5,105,27.6,-2.45881784911766,-2.45528522039194,0.00353262872572649,-0.00133760682328183,-0.00101383832431689,-0.00188914393709916,-0.00189594422297962,-0.0011029836123424,-0.000786124019671093
confirmatory,6,105,29.4,2.69026986995401,2.93086045890099,0.240590588946987,-9.96891084681872e-05,0.000560958187074836,0.000358370738592886,-0.000404199233129992,-0.000532389747214156,-0.000481185487664509
confirmatory,7,105,31.2,1.7606712644706,2.07738832758786,0.316717063117261,-0.000576081093246858,-0.000629114117343492,-0.000460874639661487,-0.000648486081243786,-0.000620780346401798,-0.000521150281583724
confirmatory,8,105,33,-4.25046921948803,-3.99195214400305,0.258517075484986,-0.000786302877012354,-0.000118563913829481,-0.000419937954998571,-0.000833047473347696,-0.001304291337193,-0.00125567370569302
confirmatory,9,105,34.8,-5.77170957619799,-5.43032691736163,0.341382658836357,-0.000589715806197232,0.000205698068853887,0.000116341052646069,-0.000382162363117504,-0.00134616345008116,-0.00154229233928745
confirmatory,10,105,36.6,-7.04662681823743,-6.79595023364951,0.25067658458792,1.1267259559851e-06,0.00060699452684773,0.000928608074415168,0.000510574761064111,-0.00076300259121706,-0.00127754114133002
confirmatory,11,105,38.4,-6.10131346354768,-5.89504495524042,0.206268508307256,7.51135494042247e-05,0.000508859149405063,0.000598281432057089,0.000573388109608715,-0.000351358394116441,-0.000953602549933304
confirmatory,12,105,40.2,-7.14303915443272,-7.15053589337173,-0.00749673893901609,0.000706773154006675,0.00104354691443934,0.000969572531473372,0.00116144581813095,0.000541141687485981,-0.00018184118149627
confirmatory,13,105,42,-6.89550079890121,-7.0161974445081,-0.120696645606885,0.000608785672420155,0.000370925162320289,0.000549068833501935,0.000964543684151366,0.00087626699369814,0.000283123688429048
confirmatory,14,106.6,20.4,5.46959275509109,4.27763073415352,-1.19196202093757,-0.00113899906057978,-0.000145529798693397,-0.000379395420194485,-0.000794872989980251,-0.00162526964684192,-0.00274992744718884
confirmatory,15,106.6,22.2,4.27458497991072,3.17571185915352,-1.0988731207572,-0.00112249079162981,-0.000399894912017747,-0.000752665111115749,-0.000835986105316735,-0.00144271859069047,-0.00218118923900837
confirmatory,16,106.6,24,3.75273323320557,2.84798848415352,-0.904744749052051,-0.00140330777446492,-0.00141355181738469,-0.00136594015083205,-0.000965889284705862,-0.00141766604394888,-0.00185349157545314
confirmatory,17,106.6,25.8,0.250693352830389,-0.29934276963436,-0.55003612246475,-0.000950713044335489,-0.00171742039220483,-0.00127924292593235,-0.000639231312998888,-0.000530888456503418,-0.000586782134037962
confirmatory,18,106.6,27.6,-0.000315539714103002,-0.216950087816178,-0.216634548102075,-0.000814507161697028,-0.000625483204835614,-0.000867175955278808,-0.00109530664540521,-0.000804068995307519,-0.000680501007657995
confirmatory,19,106.6,29.4,2.81176388226762,2.81521373920402,0.00344985693640489,-0.000780324635681822,-0.000388438831180844,-0.000633780674729948,-0.00107438070644625,-0.000969481128043187,-0.000835541838008881
confirmatory,20,106.6,31.2,2.64681768587512,2.78253844627473,0.135720760399608,-0.00102373594155029,-0.0013473266722679,-0.00121413470323894,-0.00109804469421207,-0.000812860237525277,-0.000646313400507288
confirmatory,21,106.6,33,-0.633617098468312,-0.272288477967693,0.361328620500618,-0.000980908950531427,-0.00112253656302553,-0.000986701008443153,-0.000961458592052612,-0.000981193658001391,-0.000852654931134449
confirmatory,22,106.6,34.8,-5.55697092405754,-5.10378711433133,0.453183809726207,-0.00102591366925841,0.00013970821578151,-0.000358526754275835,-0.00106521461277912,-0.00190801772508718,-0.0019375174699314
confirmatory,23,106.6,36.6,-6.79453162963714,-6.17518285991214,0.619348769725005,-0.00106995035010362,0.000432818302837564,-7.84868349791313e-05,-0.000958460471552359,-0.00222122866493173,-0.00252439408189243
confirmatory,24,106.6,38.4,-5.06720770349477,-4.6528620745586,0.414345628936164,-7.57977017990654e-05,0.000903362774813575,0.000795909363809728,0.000206129714449566,-0.000888527322782581,-0.00139586303928561
confirmatory,25,106.6,40.2,-5.73199454007485,-5.52099400827072,0.21100053180413,0.0004107297925552,0.00130405170661642,0.000866054154276022,0.000737126301334195,-9.06675514034058e-05,-0.000762915648047226
confirmatory,26,106.6,42,-6.36547831171987,-6.39336119387678,-0.0278828821569091,0.000498113174293801,0.000406725283001102,0.000598363931969652,0.000937121520998531,0.000604754604445946,-5.63994689462261e-05
confirmatory,27,108.2,22.2,4.78268888635612,3.64405667859796,-1.13863220775816,-0.00132008073780711,-0.000341427667768802,-0.000838923797634895,-0.00109460747656551,-0.00177911006343264,-0.00254633468363372
confirmatory,28,108.2,24,3.18442964951149,2.2441005409717,-0.940329108539786,-0.00118731855028318,-0.00105736981510044,-0.0011425377468397,-0.000819333443196903,-0.0012557623685021,-0.00166158937777679
